# Model: wabs(mekal) for r500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   3.79  4.36  0.00  0.00  8.48  7.03 10.50  0.52  0.52  0.52   2.10e-03   2.01e-03   2.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.146   32.0   1.35    140
3C_28.0                     3233   0.02   5.13  5.71  0.00  0.00  5.65  5.44  5.88  0.12  0.12  0.12   8.45e-03   8.36e-03   8.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.778   62.1   1.14    393
CL_1221+4918                1662   0.01   3.16  1.44  0.00  0.00  4.76  4.06  5.70  0.30  0.30  0.30   7.06e-04   6.59e-04   7.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.035    1.8   1.31    197
CL_1416+4446                 541   0.01   3.01  1.24  0.00  0.00 79.90 65.69 79.90  0.30  0.30  0.30   1.79e-03   1.71e-03   1.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4000  0.140  100.0   3.18    121
CL_J0542.8-4100              914   0.01   3.17  3.59  0.00  0.00  5.04  4.17  6.24  0.30  0.30  0.30   7.78e-04   7.26e-04   8.27e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.049   48.1   0.91    162
CL_J1113.1-2615              915   0.01   3.10  5.51  0.00  0.00 79.90 78.09 79.90  0.30  0.30  0.30   1.07e-03   1.05e-03   1.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.071  100.0   7.71    193
CL_J2302.8+0844              918   0.01   3.66  5.05  0.00  0.00 79.90 78.76 79.90  0.30  0.30  0.30   1.64e-03   1.61e-03   1.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.107  100.0   8.66    259
MS_0016.9+1609               520   0.01   4.16  4.06  0.00  0.00  6.52  6.12  6.97  0.30  0.30  0.30   3.66e-03   3.60e-03   3.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.249   52.8   1.23    339
MS_0302.7+1658               525   0.01   2.87 10.95  0.00  0.00  2.78  2.12  3.83  0.30  0.30  0.30   8.40e-04   7.14e-04   9.55e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.046   37.5   1.32     29
MS_1137.5+6625               536   0.01   2.84  1.18  0.00  0.00 79.90 78.50 79.90  0.30  0.30  0.30   1.51e-03   1.47e-03   1.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7820  0.091  100.0   5.21    239
MS_1455.0+2232              4192   0.02   4.45  3.35  0.00  0.00  4.45  4.33  4.59  0.35  0.35  0.35   5.72e-03   5.66e-03   5.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.477   50.6   1.54    398
MS_1621.5+2640               546   0.01   4.16  3.59  0.00  0.00  6.26  5.34  7.45  0.30  0.30  0.30   1.68e-03   1.62e-03   1.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.141   56.5   1.09    200
MS_2053.7-0449              1667   0.01   4.04  5.16  0.00  0.00  2.82  2.05  4.06  0.31  0.31  0.31   4.56e-04   3.92e-04   5.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.019   32.6   1.18    152
RBS_0797                    2202   0.02   4.29  2.22  0.00  0.00  6.82  6.17  7.60  0.30  0.30  0.30   5.83e-03   5.68e-03   5.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.526   66.8   1.05    177
RX_J0647.7+7015             3584   0.01   3.84  5.18  0.00  0.00 10.63  8.66 13.42  0.30  0.30  0.30   2.52e-03   2.43e-03   2.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.166   14.9   1.03    141
RX_J1347.5-1145             3592   0.01   4.81  4.89  0.00  0.00 12.28 11.61 13.01  0.30  0.30  0.30   1.04e-02   1.03e-02   1.05e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4510  0.800   66.5   1.15    405
RX_J1423.8+2404             1657   0.01   3.21  2.65  0.00  0.00  5.36  4.59  6.35  0.30  0.30  0.30   1.86e-03   1.76e-03   1.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5450  0.123   52.0   1.34     99
RX_J1532.9+3021             1665   0.02   4.01  2.21  0.00  0.00  5.49  5.00  6.07  0.30  0.30  0.30   5.82e-03   5.65e-03   6.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3450  0.492   69.6   0.84    156
RX_J1716.9+6708              548   0.01   3.50  3.71  0.00  0.00  7.79  5.78 11.65  0.30  0.30  0.30   6.76e-04   6.31e-04   7.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8100  0.041   50.6   0.89    177
RX_J1720.2+3536             3280   0.01   3.77  3.35  0.00  0.00  6.20  5.58  6.93  0.30  0.30  0.30   3.13e-03   3.03e-03   3.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3913  0.252   48.3   1.25    174
V_1121.0+2327               1660   0.01   3.21  1.30  0.00  0.00  3.06  2.55  3.77  0.30  0.30  0.30   4.76e-04   4.30e-04   5.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5600  0.023   31.6   1.31    174
