# Model: wabs(mekal) for r5000 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.20  1.98  0.00  6.70 10.48  8.18 13.77  0.51  0.24  0.82   1.75e-03   1.61e-03   1.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.127   84.0   1.02     78
3C_220.1                     839   0.00   1.03  0.00  0.00  2.24  7.55  5.81  9.83  0.00  0.00  0.24   8.71e-04   8.24e-04   9.37e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.085   74.9   1.00     49
3C_28.0                     3233   0.00   1.63  1.91  0.31  3.55  4.72  4.45  5.03  0.32  0.26  0.39   3.72e-03   3.59e-03   3.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.386   89.6   0.97    260
3C_346                      3129   0.00   0.98  0.00  0.00  1.40  5.46  4.83  6.24  0.27  0.07  0.50   7.29e-04   6.92e-04   7.73e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.115   61.4   0.98    113
4C_55.16                    4940   0.00   1.43  3.22  2.28  4.17  4.22  4.07  4.38  0.58  0.53  0.64   4.17e-03   4.07e-03   4.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.565   73.2   0.90    314
ABELL_0068                  3250   0.00   2.13  6.51  2.84 10.31  8.76  7.22 11.02  0.35  0.15  0.57   4.40e-03   4.11e-03   4.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.421   84.4   1.01    130
ABELL_0133                  2203   0.00   2.57  0.73  0.12  1.34  3.44  3.36  3.52  0.82  0.77  0.88   1.15e-02   1.13e-02   1.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.484   83.9   1.23    344
ABELL_0267                  3580   0.00   1.89  0.00  0.00  1.28  7.70  7.01  8.51  0.41  0.28  0.56   3.85e-03   3.75e-03   3.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.404   87.1   1.04    182
ABELL_0370                   515   0.00   1.39  0.05  0.00  1.68 13.59 11.41 14.66  0.48  0.31  0.65   1.92e-03   1.87e-03   1.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.261   80.4   1.02    235
ABELL_0383                  2321   0.00   1.69  1.00  0.00  2.34  4.55  4.29  4.84  0.62  0.53  0.72   5.65e-03   5.44e-03   5.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.945   81.4   1.19    213
ABELL_0399                  3230   0.00   4.71  9.49  8.68 10.31  7.32  7.02  7.65  0.23  0.18  0.28   1.55e-02   1.53e-02   1.57e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.736   82.4   1.15    414
ABELL_0401                   518   0.00   5.26  6.93  6.15  7.69 10.24  9.65 10.94  0.65  0.56  0.74   3.43e-02   3.38e-02   3.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  4.641   97.8   1.45    407
ABELL_0478                  1669   0.00   3.39 29.30 28.94 29.67  6.73  6.61  6.85  0.37  0.35  0.39   6.79e-02   6.74e-02   6.84e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  8.348   88.0   1.23    427
ABELL_0478                  6102   0.00   4.21 30.34 29.23 31.48  6.85  6.56  7.15  0.46  0.41  0.51   6.43e-02   6.32e-02   6.54e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  6.145   95.5   1.04    399
ABELL_0520                  4215   0.00   2.18  2.03  0.87  3.20  8.66  8.09  9.32  0.31  0.24  0.38   5.71e-03   5.59e-03   5.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.585   87.8   1.11    361
ABELL_0521                   430   0.00   1.75  2.82  0.83  4.83  8.94  7.66 10.74  0.47  0.29  0.65   2.68e-03   2.56e-03   2.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.388   60.4   1.16    188
ABELL_0576                  3289   0.00   3.85  6.51  5.71  7.31  3.93  3.79  4.07  0.42  0.37  0.47   1.20e-02   1.17e-02   1.23e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.959   53.5   0.99    346
