# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
1E0657_56                   5356   0.02   1.84  6.53  0.00  0.00 14.13 13.60 14.71  0.29  0.26  0.32   1.03e-02   1.02e-02   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.502   96.8   1.10   1050
1E0657_56                   3184   0.02   1.84  6.53  0.00  0.00 14.13 13.60 14.71  0.29  0.26  0.32   1.03e-02   1.02e-02   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.502   96.8   1.10   1050
1E0657_56                   5361   0.02   1.84  6.53  0.00  0.00 14.13 13.60 14.71  0.29  0.26  0.32   1.03e-02   1.02e-02   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.502   96.8   1.10   1050
1RXS_J2129.4-0741           3199   0.01   0.91  4.36  0.00  0.00  8.57  7.30 10.30  0.52  0.32  0.73   1.53e-03   1.42e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.076   87.5   1.27     87
1RXS_J2129.4-0741           3595   0.01   0.91  4.36  0.00  0.00  8.57  7.30 10.30  0.52  0.32  0.73   1.53e-03   1.42e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.076   87.5   1.27     87
2PIGG_J0011.5-2850          5797   0.85   4.71  2.18  0.00  0.00  6.21  5.53  7.04  0.19  0.08  0.29   7.83e-03   7.46e-03   8.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.348   78.8   1.01    215
2PIGG_J0311.8-2655          5799   1.02   4.67  1.46  0.00  0.00  3.67  3.13  4.38  0.24  0.01  0.57   2.11e-03   1.86e-03   2.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.076   51.3   1.10    177
2PIGG_J2227.0-3041          5798   0.88   3.35  1.11  0.00  0.00  2.99  2.71  3.35  0.53  0.30  0.80   3.82e-03   3.44e-03   4.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.128   77.8   1.10    105
3C_220.1                     839   0.01   1.03  1.91  0.00  0.00  2.52  1.15  8.92  0.00  0.00  1.34   8.95e-04   0.00e+00   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.007   64.1   0.76      7
3C_28.0                     3233   0.02   1.63  5.71  0.00  0.00  7.11  6.21  8.26  0.24  0.14  0.34   2.55e-03   2.42e-03   2.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.091   90.5   0.77    146
3C_295                      2254   0.01   1.16  1.35  0.00  0.00  8.06  6.54 10.41  0.30  0.15  0.46   8.01e-04   7.27e-04   8.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.021   86.9   1.07     72
3C_388                      5295   0.05   2.90  6.11  0.00  0.00  3.44  2.93  4.17  0.49  0.23  0.82   1.81e-03   1.59e-03   2.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.057   76.2   1.04     84
4C_55.16                    4940   0.02   1.43  4.00  0.00  0.00  5.11  4.72  5.55  0.48  0.40  0.56   2.77e-03   2.64e-03   2.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.093   71.1   0.85    197
ABELL_0013                  4945   0.70   4.02  2.03  0.00  0.00  9.29  8.21 10.66  0.66  0.49  0.85   3.33e-03   3.20e-03   3.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.207   56.2   1.10    283
ABELL_0068                  3250   0.02   2.13  4.60  0.00  0.00 10.89  8.04 16.10  0.45  0.18  0.79   3.83e-03   3.48e-03   4.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.142   87.3   1.03     54
ABELL_0119                  4180   1.39   7.97  3.30  0.00  0.00  6.20  5.61  6.94  0.49  0.36  0.62   1.75e-02   1.67e-02   1.83e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0442  0.808   75.6   0.89    264
ABELL_0168                  3203   0.13   5.31  3.27  0.00  0.00  3.37  2.96  3.85  0.04  0.00  0.26   2.51e-03   2.27e-03   2.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.076   44.3 367.93    378
ABELL_0168                  3204   0.13   5.31  3.27  0.00  0.00  3.37  2.96  3.85  0.04  0.00  0.26   2.51e-03   2.27e-03   2.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.076   44.3 367.93    378
ABELL_0209                  3579   0.03   2.21  1.68  0.00  0.00 10.05  8.47 12.38  0.19  0.03  0.33   4.84e-03   4.62e-03   5.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.244   88.5   1.15    164
ABELL_0209                   522   0.03   2.21  1.68  0.00  0.00 10.05  8.47 12.38  0.19  0.03  0.33   4.84e-03   4.62e-03   5.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.244   88.5   1.15    164
ABELL_0267                  3580   0.02   1.89  2.74  0.00  0.00  7.46  6.55  8.68  0.34  0.21  0.47   3.58e-03   3.41e-03   3.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.176   88.8   1.29    155
ABELL_0267                  1448   0.02   1.89  2.74  0.00  0.00  7.46  6.55  8.68  0.34  0.21  0.47   3.58e-03   3.41e-03   3.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.176   88.8   1.29    155
ABELL_0370                   515   0.02   1.39  3.37  0.00  0.00 10.15  8.63 12.32  0.39  0.23  0.57   1.80e-03   1.72e-03   1.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.108   50.4 185.88    183
ABELL_0383                  2321   0.02   1.69  4.07  0.00  0.00  5.92  5.07  6.97  0.43  0.28  0.58   3.81e-03   3.52e-03   4.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.148   75.0   1.10     96
ABELL_0399                  3230   0.06   4.71  8.33  0.00  0.00  8.86  8.27  9.53  0.33  0.27  0.39   1.42e-02   1.39e-02   1.44e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.624   87.3   0.96    326
ABELL_0401                   518   0.86   5.58 12.48  0.00  0.00  9.37  8.63 10.28  0.14  0.05  0.22   3.26e-02   3.19e-02   3.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  1.497   85.4   1.10    324
ABELL_0478                  6102   0.74   4.30 30.90  0.00  0.00  8.19  7.69  8.75  0.51  0.44  0.58   4.84e-02   4.73e-02   4.95e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.333   95.1   0.93    313
ABELL_0514                  3578   0.89   4.43  3.14  0.00  0.00  4.92  4.16  5.94  0.27  0.07  0.49   1.99e-03   1.83e-03   2.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.086   58.5   1.01    185
ABELL_0520                  4215   0.02   2.18  7.84  0.00  0.00 10.43  9.37 11.84  0.35  0.27  0.44   5.38e-03   5.23e-03   5.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.206   91.1   1.01    272
ABELL_0521                   430   0.02   1.75  6.17  0.00  0.00  9.01  7.14 12.74  0.40  0.19  0.61   2.61e-03   2.44e-03   2.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.102   55.4   0.95     99
ABELL_0586                   530   0.29   2.70  4.71  0.00  0.00  8.06  6.92  9.57  0.61  0.41  0.82   6.11e-03   5.76e-03   6.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.318   87.9   0.81    109
ABELL_0611                  3194   0.02   1.59  4.99  0.00  0.00  6.88  5.93  8.11  0.28  0.18  0.38   3.26e-03   3.04e-03   3.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.111   67.3   1.07    120
ABELL_0644                  2211   0.06   5.14  6.31  0.00  0.00  8.08  7.69  8.52  0.42  0.37  0.47   3.20e-02   3.15e-02   3.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.420   92.5   1.05    330
