# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1E0657_56                   5356   0.02   2.60  6.53  0.00  0.00 14.54 14.01 15.21  0.29  0.25  0.32   1.24e-02   1.23e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.597   94.8   1.11   1087
1E0657_56                   3184   0.02   2.60  6.53  0.00  0.00 14.54 14.01 15.21  0.29  0.25  0.32   1.24e-02   1.23e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.597   94.8   1.11   1087
1E0657_56                   5361   0.02   2.60  6.53  0.00  0.00 14.54 14.01 15.21  0.29  0.25  0.32   1.24e-02   1.23e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.597   94.8   1.11   1087
1RXS_J2129.4-0741           3199   0.01   1.29  4.36  0.00  0.00  8.10  7.00  9.57  0.43  0.26  0.60   1.87e-03   1.74e-03   2.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.088   80.0   1.05    106
1RXS_J2129.4-0741           3595   0.01   1.29  4.36  0.00  0.00  8.10  7.00  9.57  0.43  0.26  0.60   1.87e-03   1.74e-03   2.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.088   80.0   1.05    106
2PIGG_J0011.5-2850          5797   0.85   6.65  2.18  0.00  0.00  6.20  5.55  6.99  0.24  0.13  0.35   9.95e-03   9.49e-03   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.442   70.3   1.00    266
2PIGG_J2227.0-3041          5798   0.88   4.73  1.11  0.00  0.00  2.97  2.70  3.31  0.55  0.32  0.81   4.97e-03   4.49e-03   5.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.166   69.2   1.15    146
3C_220.1                     839   0.01   1.46  1.91  0.00  0.00  7.18  3.41 24.74  0.00  0.00  0.59   3.16e-04   2.53e-04   4.27e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.018   61.5   1.39     23
3C_28.0                     3233   0.02   2.30  5.71  0.00  0.00  6.81  6.21  7.52  0.24  0.16  0.32   3.61e-03   3.48e-03   3.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.169   87.0   0.88    216
3C_295                      2254   0.01   1.64  1.35  0.00  0.00  5.93  5.24  6.77  0.35  0.23  0.48   1.02e-03   9.66e-04   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.046   79.6   0.93    127
3C_388                      5295   0.05   4.10  6.11  0.00  0.00  3.26  2.89  3.75  0.64  0.36  0.99   2.18e-03   1.94e-03   2.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.082   68.9   0.95    128
4C_55.16                    4940   0.02   2.02  4.00  0.00  0.00  5.54  5.18  5.94  0.46  0.38  0.54   2.99e-03   2.90e-03   3.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.158   58.3   0.80    254
ABELL_0068                  3250   0.02   3.01  4.60  0.00  0.00  9.13  7.42 11.73  0.50  0.26  0.76   4.40e-03   4.09e-03   4.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.229   79.7   1.13     85
ABELL_0168                  3203   0.13   7.50  3.27  0.00  0.00  3.36  3.01  3.73  0.11  0.00  0.29   4.05e-03   3.71e-03   4.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.120   40.8 582.84    565
ABELL_0168                  3204   0.13   7.50  3.27  0.00  0.00  3.36  3.01  3.73  0.11  0.00  0.29   4.05e-03   3.71e-03   4.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.120   40.8 582.84    565
ABELL_0209                  3579   0.03   3.12  1.68  0.00  0.00 10.07  8.66 11.98  0.26  0.12  0.41   5.93e-03   5.66e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.302   82.4   1.11    207
ABELL_0209                   522   0.03   3.12  1.68  0.00  0.00 10.07  8.66 11.98  0.26  0.12  0.41   5.93e-03   5.66e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.302   82.4   1.11    207
ABELL_0267                  3580   0.02   2.67  2.74  0.00  0.00  8.88  7.61 10.56  0.29  0.15  0.43   4.08e-03   3.90e-03   4.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.204   82.7   1.15    184
ABELL_0267                  1448   0.02   2.67  2.74  0.00  0.00  8.88  7.61 10.56  0.29  0.15  0.43   4.08e-03   3.90e-03   4.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.204   82.7   1.15    184
ABELL_0370                   515   0.02   1.96  3.37  0.00  0.00 10.35  8.08 12.24  0.39  0.18  0.60   2.21e-03   2.10e-03   2.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.131   39.2 246.51    236
ABELL_0383                  2321   0.02   2.39  4.07  0.00  0.00  5.42  4.83  6.16  0.46  0.32  0.61   4.42e-03   4.17e-03   4.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.235   64.2   0.90    139
ABELL_0399                  3230   0.06   6.65 11.51  0.00  0.00  8.87  8.37  9.42  0.29  0.24  0.35   1.95e-02   1.92e-02   1.99e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.918   82.2   0.99    346
ABELL_0401                   518   0.86   7.89 12.48  0.00  0.00  8.71  8.10  9.43  0.13  0.05  0.21   4.07e-02   3.99e-02   4.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  1.807   78.7   1.05    345
ABELL_0478                  6102   0.74   6.07 30.90  0.00  0.00  8.62  8.08  9.20  0.50  0.43  0.57   5.41e-02   5.29e-02   5.52e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.603   91.5   0.95    325
