# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
1E0657_56                   5356   0.00   1.84  6.53  0.00  0.00 11.84 11.58 12.12  0.29  0.27  0.32   1.08e-02   1.07e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.928   95.4   1.23   1229
1E0657_56                   3184   0.00   1.84  6.53  0.00  0.00 11.84 11.58 12.12  0.29  0.27  0.32   1.08e-02   1.07e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.928   95.4   1.23   1229
1E0657_56                   5361   0.00   1.84  6.53  0.00  0.00 11.84 11.58 12.12  0.29  0.27  0.32   1.08e-02   1.07e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.928   95.4   1.23   1229
1RXS_J2129.4-0741           3199   0.00   0.91  4.36  0.00  0.00  8.29  7.33  9.49  0.48  0.30  0.66   1.76e-03   1.66e-03   1.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.124   88.4   1.06    131
1RXS_J2129.4-0741           3595   0.00   0.91  4.36  0.00  0.00  8.29  7.33  9.49  0.48  0.30  0.66   1.76e-03   1.66e-03   1.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.124   88.4   1.06    131
2PIGG_J0011.5-2850          5797   0.00   4.71  2.18  0.00  0.00  5.19  4.96  5.45  0.25  0.17  0.33   9.76e-03   9.53e-03   9.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  1.158   80.8   1.09    314
2PIGG_J0311.8-2655          5799   0.00   4.67  1.46  0.00  0.00  3.41  3.20  3.63  0.38  0.27  0.50   2.53e-03   2.41e-03   2.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.305   53.7   0.99    267
2PIGG_J2227.0-3041          5798   0.00   3.35  1.11  0.00  0.00  2.49  2.40  2.57  0.44  0.37  0.51   7.35e-03   7.07e-03   7.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.841   85.0   1.19    223
3C_220.1                     839   0.00   1.03  1.91  0.00  0.00  6.73  5.28  8.73  0.00  0.00  0.24   9.10e-04   8.50e-04   9.68e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.084   74.2   1.00     50
3C_28.0                     3233   0.00   1.63  5.71  0.00  0.00  4.33  4.16  4.50  0.38  0.31  0.45   3.91e-03   3.82e-03   4.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.388   92.6   1.07    261
3C_295                      2254   0.00   1.16  1.35  0.00  0.00  4.80  4.54  5.08  0.44  0.35  0.54   1.61e-03   1.56e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.125   91.1   1.37    187
3C_388                      5295   0.00   2.90  6.11  0.00  0.00  3.16  3.00  3.33  0.63  0.51  0.78   2.61e-03   2.47e-03   2.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.311   80.8   1.10    193
4C_55.16                    4940   0.00   1.43  4.00  0.00  0.00  4.22  4.12  4.32  0.60  0.54  0.65   4.22e-03   4.14e-03   4.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.568   78.6   0.91    315
ABELL_0013                  4945   0.00   4.02  2.03  0.00  0.00  6.66  6.36  6.98  0.53  0.44  0.63   4.25e-03   4.16e-03   4.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.717   58.1   1.16    368
ABELL_0068                  3250   0.00   2.13  4.60  0.00  0.00  9.53  8.26 11.20  0.40  0.18  0.63   4.28e-03   4.08e-03   4.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.423   87.9   0.99    131
