# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
1E0657_56                   5356   0.19   0.19  6.53  0.00  0.00 12.46 11.52 13.62  0.37  0.26  0.48   3.15e-04   3.06e-04   3.23e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.029   98.3 1384.51   1293
1E0657_56                   3184   0.19   0.19  6.53  0.00  0.00 12.46 11.52 13.62  0.37  0.26  0.48   3.15e-04   3.06e-04   3.23e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.029   98.3 1384.51   1293
1E0657_56                   5361   0.19   0.19  6.53  0.00  0.00 12.46 11.52 13.62  0.37  0.26  0.48   3.15e-04   3.06e-04   3.23e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.029   98.3 1384.51   1293
1RXS_J2129.4-0741           3199   0.13   0.13  4.36  0.00  0.00  7.63  6.24  9.87  0.20  0.00  0.47   2.20e-04   2.00e-04   2.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.014   98.1 629.99    862
1RXS_J2129.4-0741           3595   0.13   0.13  4.36  0.00  0.00  7.63  6.24  9.87  0.20  0.00  0.47   2.20e-04   2.00e-04   2.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.014   98.1 629.99    862
2PIGG_J0011.5-2850          5797   0.00   0.61  2.18  0.00  0.00  5.26  4.88  5.74  0.53  0.37  0.74   8.02e-04   7.61e-04   8.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.103   94.9 470.98    431
2PIGG_J0311.8-2655          5799   0.00   0.73  1.46  0.00  0.00  3.54  3.25  3.95  0.60  0.37  0.91   1.80e-04   1.62e-04   1.97e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.024   77.4 454.57    431
2PIGG_J2227.0-3041          5798   0.00   0.62  1.11  0.00  0.00  2.04  1.99  2.09  0.55  0.48  0.62   2.35e-03   2.24e-03   2.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.280   98.0 493.35    431
3C_220.1                     839   0.00   0.12  1.91  0.00  0.00  7.39  6.48  8.55  0.00  0.00  0.06   6.40e-04   6.16e-04   6.63e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.058   97.8 399.90    431
3C_28.0                     3233   0.00   0.25  5.71  0.00  0.00  3.01  2.92  3.10  0.62  0.53  0.72   9.70e-04   9.31e-04   1.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.097   99.2 534.27    431
