# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1E0657_56              5356+3184+5361   0.02   2.60  6.53  0.00  0.00 11.99 11.73 12.26  0.29  0.27  0.32   1.26e-02   1.25e-02   1.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  1.067   92.6   1.24   1261
1RXS_J2129.4-0741            3199+3595   0.01   1.29  4.36  0.00  0.00  8.22  7.27  9.40  0.43  0.26  0.61   1.86e-03   1.76e-03   1.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.131   80.0   1.07    146
2PIGG_J0011.5-2850          5797   0.85   6.65  2.18  0.00  0.00  5.15  4.91  5.40  0.26  0.18  0.35   1.07e-02   1.04e-02   1.09e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  1.246   70.3   1.09    346
2PIGG_J2227.0-3041          5798   0.88   4.73  1.11  0.00  0.00  2.80  2.66  2.95  0.35  0.27  0.44   5.52e-03   5.26e-03   5.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.613   69.2   1.16    226
3C_220.1                     839   0.18   1.12  1.91  0.00  0.00  9.26  5.28 23.97  0.00  0.00  0.59   3.17e-04   2.84e-04   3.51e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.032   30.7   1.20     33
3C_28.0                     3233   0.02   2.30  5.71  0.00  0.00  5.53  5.26  5.82  0.30  0.23  0.38   3.86e-03   3.78e-03   3.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.388   87.0   0.98    283
3C_295                      2254   0.01   1.64  1.35  0.00  0.00  5.16  4.78  5.58  0.38  0.27  0.50   1.08e-03   1.04e-03   1.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.084   79.6   0.91    173
3C_388                      5295   0.05   4.10  6.11  0.00  0.00  3.23  3.02  3.46  0.51  0.37  0.67   2.30e-03   2.16e-03   2.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.257   68.9   0.95    206
4C_55.16                    4940   0.02   2.02  4.00  0.00  0.00  4.98  4.81  5.15  0.49  0.42  0.56   3.12e-03   3.06e-03   3.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.414   58.3   0.89    317
ABELL_0068                  3250   0.21   3.01  4.60  0.00  0.00  9.01  7.87 10.54  0.46  0.24  0.70   4.46e-03   4.26e-03   4.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.448   79.7   1.15    142
ABELL_0168                  3203+3204   0.13   7.50  3.27  0.00  0.00  2.56  2.48  2.67  0.29  0.25  0.35   4.73e-03   4.57e-03   4.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.508   40.8 786.86    733
ABELL_0209                   3579+522   0.03   3.12  1.68  0.00  0.00  7.30  6.79  7.89  0.23  0.14  0.33   6.46e-03   6.27e-03   6.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.661   82.4   1.12    339
ABELL_0267                  3580+1448   0.02   2.67  2.74  0.00  0.00  6.70  6.23  7.26  0.32  0.21  0.43   4.33e-03   4.20e-03   4.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.430   82.7   1.18    307
ABELL_0370                   515   0.02   1.96  3.37  0.00  0.00  7.35  6.51  8.07  0.45  0.22  0.51   2.30e-03   2.25e-03   2.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.296   39.2 311.44    288
ABELL_0383                  2321   0.02   2.39  4.07  0.00  0.00  4.91  4.64  5.20  0.44  0.33  0.55   4.66e-03   4.51e-03   4.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.707   64.2   0.97    207
ABELL_0399                  3230   0.61   6.65  7.57  6.86  8.28  7.95  7.64  8.30  0.30  0.25  0.35   2.00e-02   1.97e-02   2.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  2.275   82.2   1.12    425
ABELL_0401                   518   0.86   7.89 12.48  0.00  0.00  6.37  6.18  6.56  0.26  0.20  0.32   4.28e-02   4.22e-02   4.34e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  5.072   78.7   1.44    425
ABELL_0478                  6102   0.74   6.07 30.90  0.00  0.00  7.30  7.06  7.56  0.45  0.40  0.51   5.72e-02   5.65e-02   5.79e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  5.380   91.5   1.05    403
ABELL_0514                  3578   0.89   6.26  3.14  0.00  0.00  3.33  3.17  3.49  0.25  0.19  0.33   4.48e-03   4.32e-03   4.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.487   53.8   1.07    363
ABELL_0520                  4215   0.25   2.89  1.06  0.01  2.12  9.29  8.69  9.96  0.37  0.30  0.44   6.64e-03   6.51e-03   6.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.695   87.6   1.11    383
ABELL_0521                   430   0.21   2.48  6.17  0.00  0.00  7.03  6.50  7.62  0.39  0.27  0.52   4.13e-03   4.01e-03   4.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.557   49.5   1.10    237
ABELL_0586                   530   0.29   3.82  4.71  0.00  0.00  6.47  6.00  7.02  0.56  0.40  0.73   7.40e-03   7.12e-03   7.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.852   82.0   0.91    197
ABELL_0611                  3194   0.02   2.25  4.99  0.00  0.00  7.06  6.58  7.61  0.35  0.25  0.46   3.58e-03   3.49e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.457   54.2   0.97    238
