# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
1E0657_56              5356+3184+5361   0.02   1.84  6.53  0.00  0.00 11.81 11.54 12.10  0.29  0.26  0.32   1.04e-02   1.04e-02   1.05e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.898   95.3   1.22   1224
1RXS_J2129.4-0741            3199+3595   0.01   0.91  4.36  0.00  0.00  8.47  7.43  9.78  0.51  0.32  0.71   1.54e-03   1.44e-03   1.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.110   87.5   1.16    121
2PIGG_J0011.5-2850          5797   0.85   4.71  2.18  0.00  0.00  5.25  4.98  5.54  0.23  0.15  0.32   8.30e-03   8.09e-03   8.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.980   78.8   1.08    295
2PIGG_J0311.8-2655          5799   1.02   4.67  1.46  0.00  0.00  3.35  3.13  3.60  0.33  0.22  0.46   2.23e-03   2.11e-03   2.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.263   51.3   1.03    259
2PIGG_J2227.0-3041          5798   0.88   3.35  1.11  0.00  0.00  2.81  2.66  2.97  0.35  0.27  0.46   4.22e-03   4.00e-03   4.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.474   77.8   1.14    185
3C_220.1                     839   0.18   0.79  1.91  0.00  0.00  7.81  4.82 15.31  0.00  0.00  0.55   2.92e-04   2.62e-04   3.25e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.027   36.7   0.60     22
3C_28.0                     3233   0.02   1.63  5.71  0.00  0.00  5.18  4.91  5.46  0.30  0.23  0.39   2.91e-03   2.83e-03   2.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.291   90.5   0.96    235
3C_295                      2254   0.20   0.97  1.35  0.00  0.00  5.47  5.05  5.96  0.29  0.18  0.40   1.00e-03   9.67e-04   1.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.077   87.8   1.02    156
3C_388                      5295   0.05   2.90  6.11  0.00  0.00  3.27  3.06  3.51  0.43  0.30  0.59   1.93e-03   1.80e-03   2.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.212   76.2   1.09    173
4C_55.16                    4940   0.02   1.43  4.00  0.00  0.00  4.88  4.72  5.04  0.52  0.45  0.59   2.78e-03   2.73e-03   2.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.372   71.1   0.93    286
