# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
1E0657_56              5356+3184+5361   0.00   1.84  6.53  0.00  0.00 14.19 13.66 14.77  0.29  0.26  0.33   1.07e-02   1.06e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.519   96.8   1.11   1055
1RXS_J2129.4-0741            3199+3595   0.00   0.91  4.36  0.00  0.00  8.47  7.29 10.08  0.48  0.30  0.67   1.73e-03   1.61e-03   1.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.084   88.4   1.10     93
2PIGG_J0011.5-2850          5797   0.00   4.71  2.18  0.00  0.00  6.33  5.68  7.10  0.20  0.11  0.30   9.07e-03   8.68e-03   9.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.409   80.8   1.02    234
2PIGG_J0311.8-2655          5799   0.00   4.67  1.46  0.00  0.00  3.72  3.23  4.38  0.30  0.07  0.57   2.39e-03   2.16e-03   2.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.088   53.7   1.07    185
2PIGG_J2227.0-3041          5798   0.00   3.35  1.11  0.00  0.00  2.80  2.59  3.02  0.46  0.30  0.65   6.60e-03   6.11e-03   7.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.205   85.0   1.05    143
3C_220.1                     839   0.00   0.79  1.91  0.00  0.00  8.79  6.15 13.69  0.00  0.00  0.18   8.47e-04   7.72e-04   9.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.046   54.5   0.93     32
3C_28.0                     3233   0.00   1.63  5.71  0.00  0.00  6.03  5.43  6.78  0.26  0.18  0.34   3.37e-03   3.20e-03   3.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.114   92.6   0.84    172
3C_295                      2254   0.00   1.16  1.35  0.00  0.00  7.80  6.71  9.31  0.41  0.29  0.54   1.25e-03   1.16e-03   1.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.034   91.1   1.07     98
3C_388                      5295   0.00   2.90  6.11  0.00  0.00  3.54  3.12  4.12  0.71  0.45  0.99   2.33e-03   2.13e-03   2.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.082   80.8   1.13    104
4C_55.16                    4940   0.00   1.43  4.00  0.00  0.00  4.65  4.37  4.97  0.50  0.43  0.57   4.15e-03   3.98e-03   4.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.133   78.6   0.86    226
ABELL_0013                  4945   0.00   4.02  2.03  0.00  0.00  8.38  7.55  9.41  0.62  0.48  0.77   3.99e-03   3.84e-03   4.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.243   58.1   1.14    290
ABELL_0068                  3250   0.00   2.13  4.60  0.00  0.00  9.94  7.63 14.02  0.42  0.18  0.73   4.18e-03   3.81e-03   4.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.153   87.9   0.88     56
ABELL_0119                  4180   0.00   7.97  3.30  0.00  0.00  6.19  5.62  6.89  0.48  0.36  0.60   1.87e-02   1.80e-02   1.96e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0442  0.869   76.4   0.93    270
ABELL_0168                  3203+3204   0.00   5.31  3.27  0.00  0.00  3.39  3.01  3.83  0.07  0.00  0.26   2.84e-03   2.58e-03   3.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.087   45.0 387.12    401
ABELL_0209                   3579+522   0.00   2.21  1.68  0.00  0.00  9.77  8.38 11.73  0.21  0.07  0.35   5.50e-03   5.26e-03   5.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.274   89.5   1.03    181
ABELL_0267                  3580+1448   0.00   1.89  2.74  0.00  0.00  7.74  6.80  8.97  0.40  0.27  0.53   3.86e-03   3.68e-03   4.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.192   89.5   1.14    166
ABELL_0370                   515   0.00   1.39  3.37  0.00  0.00  9.97  8.50 12.10  0.36  0.21  0.53   1.89e-03   1.80e-03   1.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.112   51.0 192.78    187
ABELL_0383                  2321   0.00   1.69  4.07  0.00  0.00  5.14  4.60  5.80  0.50  0.38  0.63   5.56e-03   5.20e-03   5.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.208   81.2   1.10    125
