# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk  chisq    dof
1E0657_56                   3184    0.5   0.85  6.53  0.00  0.00  8.56  8.29  8.85  0.25  0.21  0.28   1.14e-02   1.13e-02   1.15e-02  0.71  0.69  0.74  0.906  0.820  1.000  0.2960  1.009      0   3.35    405
1E0657_56                   3184    0.5    0.8  6.53  0.00  0.00  7.00  6.80  7.21  0.33  0.29  0.36   1.12e-02   1.11e-02   1.13e-02  0.58  0.56  0.61  0.885  0.778  1.000  0.2960  0.998      0   6.25    406
1E0657_56                   3184    1.0   0.95  6.53  0.00  0.00 10.58 10.24 10.95  0.32  0.28  0.37   1.21e-02   1.19e-02   1.22e-02  0.88  0.85  0.92  0.957  0.921  1.001  0.2960  1.077      0   1.08    411
1E0657_56                   3184    1.0   0.96  6.53  0.00  0.00 10.95 10.58 11.33  0.30  0.26  0.34   1.22e-02   1.21e-02   1.23e-02  0.91  0.88  0.95  0.970  0.947  1.001  0.2960  1.088      0   1.07    412
1E0657_56                   3184   0.75   0.85  6.53  0.00  0.00  7.79  7.58  8.02  0.30  0.27  0.33   1.17e-02   1.16e-02   1.18e-02  0.65  0.63  0.67  0.925  0.857  1.000  0.2960  1.031      0   2.93    409
1E0657_56                   3184    1.0   0.97  6.53  0.00  0.00 10.54 10.19 10.90  0.26  0.22  0.31   1.24e-02   1.22e-02   1.25e-02  0.88  0.84  0.92  0.981  0.966  1.002  0.2960  1.093      0   1.03    410
1E0657_56                   3184    1.0   0.98  6.53  0.00  0.00 11.28 10.89 11.69  0.32  0.28  0.37   1.24e-02   1.22e-02   1.25e-02  0.94  0.90  0.98  0.981  0.966  1.002  0.2960  1.104      0   1.13    411
1E0657_56                   3184    1.0   0.99  6.53  0.00  0.00 10.42 10.09 10.77  0.26  0.22  0.30   1.27e-02   1.26e-02   1.29e-02  0.87  0.84  0.90  1.012  0.990  1.027  0.2960  1.127      0   1.07    414
1E0657_56                   3184    1.0    0.9  6.53  0.00  0.00  9.38  9.09  9.69  0.25  0.22  0.29   1.19e-02   1.18e-02   1.20e-02  0.78  0.75  0.81  0.946  0.900  1.001  0.2960  1.051      0   1.63    411
1E0657_56                   3184   0.75    0.8  6.53  0.00  0.00  6.71  6.52  6.90  0.24  0.21  0.27   1.17e-02   1.16e-02   1.18e-02  0.56  0.54  0.58  0.928  0.863  1.000  0.2960  1.016      0   5.40    409
1E0657_56                   3184    1.0   0.85  6.53  0.00  0.00  7.66  7.46  7.89  0.25  0.21  0.28   1.20e-02   1.19e-02   1.21e-02  0.64  0.62  0.66  0.951  0.908  1.001  0.2960  1.047      0   3.32    412
1E0657_56                   3184    1.0    0.8  6.53  0.00  0.00  6.82  6.63  7.01  0.26  0.23  0.29   1.18e-02   1.17e-02   1.19e-02  0.57  0.55  0.59  0.936  0.879  1.001  0.2960  1.030      0   4.99    405
1E0657_56                   3184    0.5   0.99  6.53  0.00  0.00 10.11  9.80 10.45  0.30  0.26  0.34   1.28e-02   1.26e-02   1.29e-02  0.84  0.81  0.88  1.012  0.990  1.027  0.2960  1.134      0   1.41    412
1E0657_56                   3184    0.5   0.95  6.53  0.00  0.00 10.92 10.54 11.33  0.30  0.25  0.34   1.20e-02   1.19e-02   1.21e-02  0.91  0.87  0.95  0.952  0.911  1.001  0.2960  1.067      0   1.04    414
1E0657_56                   3184    0.5   0.96  6.53  0.00  0.00 10.56 10.21 10.93  0.30  0.25  0.34   1.23e-02   1.22e-02   1.24e-02  0.88  0.85  0.92  0.973  0.953  1.001  0.2960  1.091      0   1.17    413
1E0657_56                   3184    0.5   0.97  6.53  0.00  0.00 11.16 10.78 11.56  0.27  0.22  0.31   1.24e-02   1.23e-02   1.25e-02  0.93  0.89  0.97  0.982  0.968  1.002  0.2960  1.095      0   1.10    415
1E0657_56                   3184    0.5   0.98  6.53  0.00  0.00 10.57 10.22 10.94  0.26  0.22  0.30   1.25e-02   1.24e-02   1.26e-02  0.88  0.85  0.92  0.991  0.983  1.004  0.2960  1.104      0   1.12    413
1E0657_56                   3184    0.5    0.9  6.53  0.00  0.00  9.67  9.36  9.99  0.30  0.26  0.34   1.17e-02   1.16e-02   1.18e-02  0.81  0.78  0.84  0.925  0.858  1.000  0.2960  1.038      0   1.80    410
1E0657_56                   3184   0.75   0.95  6.53  0.00  0.00 10.33 10.00 10.69  0.28  0.24  0.32   1.22e-02   1.21e-02   1.23e-02  0.86  0.83  0.90  0.969  0.945  1.001  0.2960  1.082      0   1.05    411
