# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
1E0657_56              5356+3184+5361   0.02   1.84  6.53  0.00  0.00 14.13 13.60 14.71  0.29  0.26  0.32   1.03e-02   1.02e-02   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.502   96.8   1.10   1050
1RXS_J2129.4-0741            3199+3595   0.01   0.91  4.36  0.00  0.00  8.57  7.30 10.30  0.52  0.32  0.73   1.53e-03   1.42e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.076   87.5   1.27     87
3C_220.1                     839   0.01   1.03  1.91  0.00  0.00  2.52  1.15  8.92  0.00  0.00  1.34   8.95e-04   0.00e+00   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.007   64.1   0.76      7
3C_28.0                     3233   0.02   1.63  5.71  0.00  0.00  7.11  6.21  8.26  0.24  0.14  0.34   2.55e-03   2.42e-03   2.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.091   90.5   0.77    146
3C_295                      2254   0.01   1.16  1.35  0.00  0.00  8.06  6.54 10.41  0.30  0.15  0.46   8.01e-04   7.27e-04   8.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.021   86.9   1.07     72
3C_388                      5295   0.05   2.90  6.11  0.00  0.00  3.44  2.93  4.17  0.49  0.23  0.82   1.81e-03   1.59e-03   2.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.057   76.2   1.04     84
4C_55.16                    4940   0.02   1.43  4.00  0.00  0.00  5.11  4.72  5.55  0.48  0.40  0.56   2.77e-03   2.64e-03   2.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.093   71.1   0.85    197
ABELL_0068                  3250   0.02   2.13  4.60  0.00  0.00 10.89  8.04 16.10  0.45  0.18  0.79   3.83e-03   3.48e-03   4.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.142   87.3   1.03     54
ABELL_0085                   904   0.07   4.81  0.81  0.00  0.00  7.14  6.87  7.42  0.45  0.41  0.49   3.70e-02   3.65e-02   3.75e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.616   94.2   1.22    337
ABELL_0133                  2203   0.07   2.57  1.56  0.00  0.00  4.61  4.25  5.02  0.55  0.45  0.67   7.02e-03   6.72e-03   7.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.312   78.0   1.00    225
ABELL_0267                  3580+1448   0.02   1.89  2.74  0.00  0.00  7.46  6.55  8.68  0.34  0.21  0.47   3.58e-03   3.41e-03   3.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.176   88.8   1.29    155
ABELL_0370                   515   0.02   1.39  3.37  0.00  0.00 10.15  8.63 12.32  0.39  0.23  0.57   1.80e-03   1.72e-03   1.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.108   50.4 185.88    183
ABELL_0383                  2321   0.02   1.69  4.07  0.00  0.00  5.92  5.07  6.97  0.43  0.28  0.58   3.81e-03   3.52e-03   4.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.148   75.0   1.10     96
ABELL_0399                  3230   0.06   4.71  8.33  0.00  0.00  8.86  8.27  9.53  0.33  0.27  0.39   1.42e-02   1.39e-02   1.44e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.624   87.3   0.96    326
ABELL_0478             6102+1669   0.05   4.30 28.88  0.00  0.00  7.82  7.63  8.03  0.37  0.34  0.40   5.00e-02   4.94e-02   5.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.333   86.6   1.06    665
ABELL_0496                  3361   0.12   2.46  4.57  0.00  0.00  5.62  5.06  6.28  0.59  0.46  0.74   1.36e-02   1.30e-02   1.43e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  0.680   89.9   1.01    167
ABELL_0520                  4215   0.02   2.18  7.84  0.00  0.00 10.43  9.37 11.84  0.35  0.27  0.44   5.38e-03   5.23e-03   5.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.206   91.1   1.01    272
