# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1E0657_56         5356+3184+5361   0.19   0.19  6.53  0.00  0.00 12.15 11.16 13.41  0.33  0.22  0.44   3.09e-04   3.00e-04   3.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.029   98.3   1.00    244
1RXS_J2129.4-0741      3199+3595   0.13   0.13  4.36  0.00  0.00  6.05  4.24  9.84  0.52  0.52  0.52   1.65e-04   1.48e-04   1.96e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.011   98.1   0.10    262
2PIGG_J0011.5-2850          5797   0.00   0.61  2.18  0.00  0.00  5.12  4.50  5.88  0.52  0.22  0.88   7.82e-04   7.14e-04   8.57e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.102   95.2   1.18     48
2PIGG_J0311.8-2655          5799   0.00   0.73  1.46  0.00  0.00  3.98  3.30  5.18  0.82  0.30  2.96   1.64e-04   1.12e-04   1.96e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.024   79.0   1.23     23
2PIGG_J2227.0-3041          5798   0.00   0.62  1.11  0.00  0.00  2.03  1.94  2.13  0.56  0.43  0.71   2.28e-03   2.09e-03   2.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.279   98.0   1.38     95
3C_220.1                     839   0.00   0.12  1.91  0.00  0.00  6.50  5.11  8.72  0.30  0.30  0.30   5.88e-04   5.50e-04   6.31e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.057   98.9   0.97     30
3C_28.0                     3233   0.00   0.25  5.71  0.00  0.00  3.02  2.93  3.10  0.64  0.55  0.75   9.63e-04   9.20e-04   1.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.097   99.2 138.76    121
3C_295                      2254   0.00   0.14  1.35  0.00  0.00  4.38  4.04  4.76  0.36  0.36  0.36   6.36e-04   6.12e-04   6.57e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.049   99.5   1.71    110
3C_388                      5295   0.00   0.49  6.11  0.00  0.00  2.65  2.45  2.89  0.30  0.30  0.30   9.45e-04   9.07e-04   9.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.098   97.2   1.42     83
4C_55.16                    4940   0.00   0.22  4.00  0.00  0.00  3.18  3.07  3.30  0.29  0.29  0.29   1.67e-03   1.64e-03   1.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.196   98.1   1.55    186
ABELL_0013                  4945   0.00   0.50  2.03  0.00  0.00  6.01  5.35  6.82  0.68  0.40  1.01   3.62e-04   3.38e-04   3.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.065   81.2   0.97     79
ABELL_0068                  3250   0.00   0.21  4.60  0.00  0.00  8.54  5.19 20.90  0.30  0.30  0.30   2.78e-04   2.48e-04   3.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.026   97.8   0.78      8
ABELL_0085                   904   0.00   0.77  3.65  0.00  0.00  3.73  3.66  3.81  0.37  0.37  0.37   1.19e-02   1.18e-02   1.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.479   99.4   1.77    345
ABELL_0119                  4180   0.00   1.00  3.30  0.00  0.00  5.48  4.44  6.86  0.53  0.00  1.93   7.28e-04   5.64e-04   8.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0442  0.098   89.1   0.64     28
ABELL_0133                  2203   0.00   0.77  1.56  0.00  0.00  2.40  2.36  2.45  0.64  0.64  0.64   5.21e-03   5.16e-03   5.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.075   95.8   1.70    234
ABELL_0168             3203+3204   0.98   0.98  3.27  0.00  0.00  3.00  2.69  3.37  0.54  0.31  0.87   1.76e-04   1.56e-04   1.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.023   56.8   0.60     40
ABELL_0209              3579+522   0.25   0.25  1.68  0.00  0.00  9.53  7.25 12.11  0.05  0.00  0.84   3.88e-04   3.36e-04   4.12e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.037   98.8   0.17    160
ABELL_0267             3580+1448   0.23   0.23  2.74  0.00  0.00  6.92  6.07  8.05  0.73  0.34  1.18   3.37e-04   3.06e-04   3.66e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.037   97.8   0.22    171
ABELL_0370                   515   0.00   0.16  3.37  0.00  0.00  8.26  5.75 15.33  0.39  0.39  0.39   7.35e-05   6.77e-05   7.86e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.010   88.7   0.81     18
ABELL_0383                  2321   0.00   0.26  4.07  0.00  0.00  2.85  2.69  3.02  0.38  0.38  0.38   2.22e-03   2.17e-03   2.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.318   98.4   1.63    120
ABELL_0399                  3230   0.00   0.61 11.51  0.00  0.00  7.43  6.41  8.73  0.23  0.23  0.23   5.87e-04   5.70e-04   6.08e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.063   96.2   0.83     92
ABELL_0401                   518   0.00   0.61 12.48  0.00  0.00  7.38  6.82  8.04  0.66  0.43  0.92   1.61e-03   1.53e-03   1.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  0.210   96.3 102.09     87
ABELL_0478             6102+1669   0.51   0.51 29.26  0.00  0.00  5.16  5.06  5.25  0.49  0.45  0.52   1.39e-02   1.37e-02   1.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  1.358   98.7   1.17    610
ABELL_0478                  6102   0.00   0.51 30.90  0.00  0.00  5.21  4.97  5.47  0.49  0.40  0.59   1.41e-02   1.37e-02   1.45e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  1.358   99.7   1.11    239
ABELL_0496                  3361   0.00   1.27  4.57  0.00  0.00  2.94  2.87  3.02  0.47  0.47  0.47   1.99e-02   1.97e-02   2.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  3.615   96.8   1.63    250
ABELL_0514                  3578   0.00   0.63  3.14  0.00  0.00  6.89  4.80 20.98  0.73  0.73  0.73   4.09e-05   3.78e-05   4.64e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.005   62.0   9.56      7
ABELL_0520                  4215   0.00   0.25  7.84  0.00  0.00  8.59  6.38 12.39  0.25  0.25  0.25   1.47e-04   1.39e-04   1.57e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.014   94.6   1.25     32
ABELL_0521                   430   0.00   0.21  6.17  0.00  0.00  8.00  4.61 20.59  0.19  0.19  0.19   1.08e-04   9.81e-05   1.19e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.014   77.7   1.87     11
ABELL_0576                  3289   0.00   1.09  5.57  0.00  0.00  3.72  3.55  3.91  0.46  0.46  0.46   2.44e-03   2.40e-03   2.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.410   83.1   1.26    176
ABELL_0586                   530   0.00   0.29  4.71  0.00  0.00  7.09  5.72  9.04  0.45  0.06  0.92   1.02e-03   9.16e-04   1.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.115   98.8   0.78     38
ABELL_0611                  3194   0.00   0.19  4.99  0.00  0.00  6.16  5.36  7.21  0.19  0.19  0.19   5.83e-04   5.63e-04   6.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.074   96.1   1.37     72
ABELL_0644                  2211   0.00   0.62  6.31  0.00  0.00  6.94  6.53  7.41  0.29  0.29  0.29   4.10e-03   4.04e-03   4.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  0.508   98.9   1.10    241
ABELL_0665                  3586   0.00   0.27  4.24  0.00  0.00  7.51  6.63  8.76  0.43  0.18  0.68   5.01e-04   4.76e-04   5.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.051   98.2  60.03     53
ABELL_0697                  4217   0.00   0.20  3.34  0.00  0.00 10.90  6.69 24.04  0.23  0.23  0.23   2.84e-04   2.64e-04   3.08e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.026   98.6   1.77     17
ABELL_0773                  5006   0.00   0.24  1.46  0.00  0.00  8.25  5.99 12.84  0.34  0.34  0.34   3.36e-04   3.15e-04   3.60e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.035   98.0   0.77     23
ABELL_0781                   534   0.00   0.41  1.90  0.00  0.00  4.75  3.32  7.79  0.30  0.30  0.30   1.86e-04   1.60e-04   2.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.017   88.1   1.73      5
ABELL_0907                  3185   0.00   0.31  5.69  0.00  0.00  4.27  4.17  4.39  0.75  0.67  0.83   1.83e-03   1.78e-03   1.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.210   99.4 185.72    184
ABELL_0963                   903   0.00   0.25  1.39  0.00  0.00  6.38  5.77  7.10  0.34  0.34  0.34   8.84e-04   8.62e-04   9.05e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.139   96.9   1.04    123
ABELL_1060                  2220   0.00   3.26  4.96  0.00  0.00  3.34  3.28  3.39  0.37  0.37  0.37   1.73e-02   1.72e-02   1.75e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  2.027   94.3   1.26    355
ABELL_1063S                 4966   0.00   0.16  1.77  0.00  0.00 15.27 11.80 20.72  0.08  0.08  0.08   9.15e-04   8.84e-04   9.53e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.079   99.5   0.87     69
ABELL_1068                  1652   0.00   0.34  0.71  0.00  0.00  2.94  2.84  3.04  0.42  0.42  0.42   3.97e-03   3.91e-03   4.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.644   98.5   1.30    178
ABELL_1201                  4216   0.00   0.29  1.85  0.00  0.00  4.55  3.89  5.45  0.30  0.30  0.30   4.60e-04   4.38e-04   4.81e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.067   89.5   0.97     49
ABELL_1204                  2205   0.00   0.29  1.44  0.00  0.00  3.47  3.38  3.55  0.60  0.53  0.68   3.41e-03   3.32e-03   3.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.383   99.8 162.15    160
