# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
3C_220.1                     839   0.01   1.03  1.91  0.00  0.00  5.72  3.36 10.37  0.01  0.00  1.03   2.87e-04   2.26e-04   3.34e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.024   22.6  13.98     25
ABELL_0370                   515   0.02   1.39  3.37  0.00  0.00  8.74  7.91  9.72  0.37  0.24  0.51   1.86e-03   1.81e-03   1.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.236   50.4 246.97    235
ABELL_1682                  3244   0.02   2.19  1.10  0.00  0.00  6.18  5.05  7.87  0.49  0.14  0.97   2.85e-03   2.57e-03   3.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.281   70.4  63.45     64
ABELL_1758                  2213   0.02   1.78  1.09  0.00  0.00  8.04  7.48  8.82  0.46  0.32  0.55   3.58e-03   3.52e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.483   69.1 290.90    295
ABELL_2111                   544   0.02   2.06  2.20  0.00  0.00  5.92  4.87  7.44  0.07  0.00  0.39   1.68e-03   1.54e-03   1.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.159   58.8  64.41     63
CL_0024+17                   929   0.01   1.10  4.36  0.00  0.00  4.01  3.41  4.76  0.54  0.23  0.77   4.69e-04   4.14e-04   5.34e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.053   28.5  81.48     73
CL_J0030+2618               5762   0.01   1.45  4.10  0.00  0.00  5.97  4.02  9.75  0.00  0.00  0.46   5.61e-04   4.96e-04   6.46e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.032   57.7  22.13     21
CL_J0152-1357                913   0.01   0.58  1.45  0.00  0.00  7.20  4.72 14.34  0.00  0.00  0.63   1.42e-04   1.20e-04   1.57e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.007   49.3  32.71     11
CL_J0848+4456                927   0.01   0.55  2.53  0.00  0.00  3.29  2.45  4.61  0.00  0.00  0.74   6.88e-05   5.28e-05   7.79e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.003   42.4  12.43     19
CL_J1113.1-2615              915   0.01   0.98  5.51  0.00  0.00  4.74  3.76  6.26  0.53  0.16  1.05   1.86e-04   1.61e-04   2.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.010   32.2  51.77     51
CL_J1226.9+3332              932   0.01   1.09  1.37  0.00  0.00 16.49 10.28 34.03  0.79  0.00  2.48   1.12e-03   9.13e-04   1.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.092   42.2  16.64     29
CL_J2302.8+0844              918   0.01   1.16  5.05  0.00  0.00  8.71  6.61 12.97  0.17  0.00  0.47   2.25e-04   2.07e-04   2.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.014   34.3  68.07     72
IRAS_09104+4109              509   0.01   1.40  1.36  0.00  0.00  9.16  7.05 12.80  1.29  0.54  2.31   1.93e-03   1.66e-03   2.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.270   36.4 110.97    106
LYNX_E                      9271   0.01   0.37  2.53  0.00  0.00  4.27  2.63  9.52  1.01  0.00 91.84   3.42e-05   0.00e+00   5.24e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.001   38.9   2.22      7
MACS_J1319+7003             3278   0.02   1.19  1.53  0.00  0.00  8.57  6.96 10.83  0.07  0.00  0.36   1.45e-03   1.35e-03   1.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.125   83.8  64.35     67
