# Model: wabs(mekal) for r5000 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
3C_220.1                     839   0.00   1.03  1.91  0.00  0.00  6.55  5.19  8.44  0.00  0.00  0.27   9.22e-04   8.57e-04   9.82e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.082   44.3  46.72     53
ABELL_0370                   515   0.00   1.39  3.37  0.00  0.00  8.63  7.83  9.59  0.35  0.22  0.48   1.94e-03   1.89e-03   2.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.246   51.0 244.36    239
ABELL_1682                  3244   0.00   2.19  1.10  0.00  0.00  5.97  4.90  7.52  0.42  0.07  0.86   3.02e-03   2.72e-03   3.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.291   71.0  56.84     66
ABELL_1758                  2213   0.00   1.78  1.09  0.00  0.00  8.23  7.46  8.85  0.38  0.25  0.47   3.72e-03   3.64e-03   3.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.492   69.3 304.06    297
ABELL_2111                   544   0.00   2.06  2.20  0.00  0.00  6.04  4.95  7.59  0.06  0.00  0.39   1.70e-03   1.55e-03   1.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.161   58.7  60.06     63
CL_0024+17                   929   0.00   1.10  4.36  0.00  0.00  3.91  3.40  4.54  0.59  0.29  0.98   5.40e-04   4.80e-04   6.08e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.063   31.4  89.81     79
CL_J0030+2618               5762   0.00   1.45  4.10  0.00  0.00  6.06  4.17  9.74  0.00  0.00  0.41   5.92e-04   5.26e-04   6.77e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.033   58.6  15.36     22
CL_J0152-1357                913   0.00   0.58  1.45  0.00  0.00  9.27  5.53 20.44  0.00  0.00  0.74   1.42e-04   1.19e-04   1.65e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.007   49.2  36.24     12
CL_J0848+4456                927   0.00   0.55  2.53  0.00  0.00  3.37  2.69  4.44  0.44  0.00  1.53   7.04e-05   5.14e-05   8.80e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.004   45.7  24.31     22
CL_J1113.1-2615              915   0.00   0.98  5.51  0.00  0.00  4.55  3.70  5.82  0.70  0.32  1.02   2.08e-04   1.84e-04   2.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.012   35.2  66.16     56
CL_J1226.9+3332              932   0.00   1.09  1.37  0.00  0.00 15.69 10.36 28.63  0.71  0.00  2.09   1.29e-03   1.09e-03   1.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.104   45.3  21.80     32
CL_J2302.8+0844              918   0.00   1.16  5.05  0.00  0.00  7.90  6.04 11.28  0.18  0.00  0.51   2.55e-04   2.34e-04   2.77e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.015   35.9  70.23     75
IRAS_09104+4109              509   0.00   1.40  1.36  0.00  0.00  6.45  5.43  7.73  0.88  0.51  1.34   3.43e-03   3.13e-03   3.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.463   49.8 143.25    133
LYNX_E                      9271   0.00   0.37  2.53  0.00  0.00  4.80  2.75  8.32  0.02  0.00  2.89   5.41e-05   3.18e-05   7.38e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.001   42.1   4.28      9
MACS_J1319+7003             3278   0.00   1.19  1.53  0.00  0.00  8.86  7.27 11.38  0.17  0.00  0.46   1.60e-03   1.50e-03   1.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.142   85.1  66.62     73
MACS_J1427.6-2521           3279   0.00   1.46  6.11  0.00  0.00  4.49  4.04  5.08  0.30  0.10  0.51   1.76e-03   1.65e-03   1.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.161   86.5 116.68     89
