# Model: wabs(mekal) for r2500 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
MACS_J0159.8-0849           3265   0.00   1.64  0.00  0.00  1.24  7.82  7.11  8.62  0.36  0.24  0.48   4.81e-03   4.67e-03   4.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.420   92.7   1.30    169
MACS_J0257.6-2209           3267   0.00   1.92  0.75  0.00  3.86  8.18  6.98  9.53  0.35  0.19  0.51   2.92e-03   2.79e-03   3.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.280   86.0   0.97    157
MACS_J0404.6+1109           3269   0.00   1.58 10.86  4.34 17.61  6.49  4.99  8.99  0.17  0.00  0.40   1.16e-03   1.02e-03   1.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3548  0.090   74.2   0.99     71
MACS_J0417.5-1154           3270   0.00   1.26  0.00  0.00  1.84 10.69  9.29 12.33  0.30  0.13  0.47   5.56e-03   5.37e-03   5.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.471   95.8   1.05    147
MACS_J0451.9+0006           5815   0.00   1.31  0.00  0.00  5.51  8.20  6.22 10.63  0.62  0.26  1.04   1.41e-03   1.28e-03   1.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4300  0.127   84.7   1.16     44
MACS_J0825.5+6157           3198   0.00   1.56  0.00  0.00  2.34 13.32 10.19 18.33  0.30  0.00  0.68   1.36e-03   1.27e-03   1.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5420  0.105   79.8   1.02     67
MACS_J1131.8-1955           3276   0.00   2.13  0.00  0.00  2.49 10.83  9.10 12.78  0.43  0.22  0.64   4.43e-03   4.27e-03   4.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.437   87.7   0.84    160
MACS_J1206.2-0847           3277   0.00   1.53  1.14  0.00  3.42 11.13  9.62 13.15  0.30  0.17  0.44   5.04e-03   4.86e-03   5.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.417   93.7   1.07    200
MACS_J1226.8+2153           3590   0.00   1.53  0.00  0.00  2.83  4.65  3.76  5.98  0.09  0.00  0.36   8.66e-04   7.79e-04   9.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3700  0.060   71.1   0.97     36
MACS_J1311.0-0310           3258   0.00   1.17  0.01  0.00  4.55  6.99  5.67  8.23  0.45  0.22  0.71   1.67e-03   1.59e-03   1.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4940  0.133   89.2   1.01     62
MACS_J1824.3+4309           3255   0.00   0.96  0.00  0.00  4.99  4.35  3.48  5.66  1.06  0.28  2.34   3.89e-04   2.90e-04   4.90e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4870  0.033   75.5   1.54     17
MACS_J2211.7-0349           3284   0.00   2.67  4.76  2.61  6.77 11.84 10.28 14.27  0.13  0.00  0.25   7.68e-03   7.43e-03   7.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.718   89.7   1.26    234
MACS_J2245.0+2637           3287   0.00   1.68  3.09  0.00  6.37  6.18  5.46  7.05  0.65  0.48  0.83   3.66e-03   3.44e-03   3.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.359   90.6   1.09    145
