# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
MACS_J0159.8-0849           3265   0.01   1.16  2.01  0.00  0.00 11.28  9.28 14.47  0.33  0.13  0.54   3.02e-03   2.86e-03   3.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.158   94.4   1.05     91
MACS_J0257.6-2209           3267   0.02   1.36  2.02  0.00  0.00  7.90  6.70  9.54  0.46  0.28  0.66   2.21e-03   2.07e-03   2.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.114   90.5   1.24     82
MACS_J0404.6+1109           3269   0.02   1.12 14.96  0.00  0.00  7.40  5.47 11.03  0.20  0.00  0.49   7.90e-04   7.00e-04   8.94e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3548  0.036   80.2   0.92     29
MACS_J0417.5-1154           3270   0.01   0.89  5.37  0.00  0.00 14.13 10.85 19.74  0.53  0.21  0.88   3.17e-03   2.96e-03   3.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.170   96.6   1.18     65
MACS_J0451.9+0006           5815   0.01   0.93  7.65  0.00  0.00  6.68  4.74 11.18  0.38  0.00  0.85   1.16e-03   1.00e-03   1.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4300  0.054   89.3   1.33     19
MACS_J0825.5+6157           3198   0.01   1.10  4.16  0.00  0.00 60.10  6.82 79.90  3.14  0.00 1000.00   1.46e-04   0.00e+00   2.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5420  0.008   49.3   1.28      6
MACS_J1131.8-1955           3276   0.02   1.50  4.49  0.00  0.00  9.45  7.77 11.97  0.50  0.29  0.72   3.44e-03   3.24e-03   3.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.183   91.7   1.02     82
MACS_J1206.2-0847           3277   0.01   1.08  4.15  0.00  0.00 11.93 10.05 14.49  0.33  0.16  0.49   3.65e-03   3.50e-03   3.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.188   95.7   1.15    126
MACS_J1226.8+2153           3590   0.02   1.08  1.82  0.00  0.00  5.84  3.70  9.29  0.00  0.00  0.44   5.83e-04   4.85e-04   7.33e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3700  0.021   78.0   1.36     13
MACS_J1311.0-0310           3258   0.01   0.83  2.18  0.00  0.00  6.60  5.08  8.97  0.78  0.42  1.20   1.04e-03   9.27e-04   1.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4940  0.053   92.0   1.23     26
MACS_J1824.3+4309           3255   0.01   0.68  4.52  0.00  0.00  4.76  2.90 15.15  0.68  0.00  3.75   2.48e-04   1.39e-04   3.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4870  0.009   78.2   0.13      3
MACS_J2211.7-0349           3284   0.02   1.89  5.86  0.00  0.00 13.77 11.37 17.26  0.17  0.00  0.35   5.84e-03   5.61e-03   6.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.303   93.1   1.34    147
MACS_J2245.0+2637           3287   0.02   1.19  5.50  0.00  0.00  7.05  5.97  8.36  0.66  0.44  0.91   2.38e-03   2.20e-03   2.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.122   92.9   0.95     60
