# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF TloBF ThiBF   N/BF Nlo/BF Nhi/BF       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.24  7.03  9.79  0.50  0.26  0.74   1.71e-03   1.60e-03   1.80e-03  1.00  0.97  1.04  0.917  0.912  0.918  0.5700  0.122      0   1.13     77
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.24  7.03  9.79  0.50  0.26  0.74   1.71e-03   1.60e-03   1.80e-03  1.00  0.97  1.04  0.917  0.912  0.918  0.5700  0.122      0   1.13     77
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.61  6.60  8.89  0.46  0.26  0.68   1.82e-03   1.72e-03   1.92e-03  0.93  0.91  0.95  0.977  0.977  0.979  0.5700  0.128      0   0.97     81
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.61  6.60  8.89  0.46  0.26  0.68   1.82e-03   1.72e-03   1.92e-03  0.93  0.91  0.95  0.977  0.977  0.979  0.5700  0.128      0   0.97     81
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.61  6.60  8.89  0.46  0.26  0.68   1.82e-03   1.72e-03   1.92e-03  0.93  0.91  0.95  0.977  0.977  0.979  0.5700  0.128      0   0.97     81
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.54  7.46  9.93  0.51  0.29  0.74   1.82e-03   1.72e-03   1.93e-03  1.04  1.03  1.06  0.980  0.980  0.983  0.5700  0.131      0   1.26     84
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.54  7.46  9.93  0.51  0.29  0.74   1.82e-03   1.72e-03   1.93e-03  1.04  1.03  1.06  0.980  0.980  0.983  0.5700  0.131      0   1.26     84
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.54  7.46  9.93  0.51  0.29  0.74   1.82e-03   1.72e-03   1.93e-03  1.04  1.03  1.06  0.980  0.980  0.983  0.5700  0.131      0   1.26     84
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.07  6.99  9.46  0.51  0.29  0.75   1.74e-03   1.64e-03   1.84e-03  0.98  0.96  1.01  0.936  0.931  0.937  0.5700  0.124      0   1.12     79
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.07  6.99  9.46  0.51  0.29  0.75   1.74e-03   1.64e-03   1.84e-03  0.98  0.96  1.01  0.936  0.931  0.937  0.5700  0.124      0   1.12     79
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  9.35  8.01 11.14  0.29  0.09  0.50   1.83e-03   1.74e-03   1.94e-03  1.14  1.10  1.19  0.986  0.989  0.989  0.5700  0.127      0   1.03     82
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.07  6.99  9.46  0.51  0.29  0.75   1.74e-03   1.64e-03   1.84e-03  0.98  0.96  1.01  0.936  0.931  0.937  0.5700  0.124      0   1.12     79
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  9.35  8.01 11.14  0.29  0.09  0.50   1.83e-03   1.74e-03   1.94e-03  1.14  1.10  1.19  0.986  0.989  0.989  0.5700  0.127      0   1.03     82
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.14  6.24  8.25  0.22  0.07  0.39   1.92e-03   1.81e-03   2.02e-03  0.87  0.86  0.88  1.030  1.031  1.033  0.5700  0.124      0   0.77     80
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.14  6.24  8.25  0.22  0.07  0.39   1.92e-03   1.81e-03   2.02e-03  0.87  0.86  0.88  1.030  1.031  1.033  0.5700  0.124      0   0.77     80
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.96  6.84  9.48  0.56  0.34  0.81   1.68e-03   1.58e-03   1.78e-03  0.97  0.94  1.01  0.902  0.897  0.907  0.5700  0.120      0   1.20     77
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.96  6.84  9.48  0.56  0.34  0.81   1.68e-03   1.58e-03   1.78e-03  0.97  0.94  1.01  0.902  0.897  0.907  0.5700  0.120      0   1.20     77
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.96  6.84  9.48  0.56  0.34  0.81   1.68e-03   1.58e-03   1.78e-03  0.97  0.94  1.01  0.902  0.897  0.907  0.5700  0.120      0   1.20     77
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.96  6.84  9.48  0.56  0.34  0.81   1.68e-03   1.58e-03   1.78e-03  0.97  0.94  1.01  0.902  0.897  0.907  0.5700  0.120      0   1.20     77
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  8.24  7.03  9.79  0.50  0.26  0.74   1.71e-03   1.60e-03   1.80e-03  1.00  0.97  1.04  0.917  0.912  0.918  0.5700  0.122      0   1.13     77
1RXS_J2129.4-0741           3199    0.5   0.85  4.36  0.00  0.00  7.19  6.19  8.46  0.35  0.16  0.55   1.70e-03   1.59e-03   1.79e-03  0.87  0.85  0.90  0.911  0.906  0.915  0.5700  0.114      0   0.95     73
1RXS_J2129.4-0741           3199    0.5    0.8  4.36  0.00  0.00  6.28  5.42  7.33  0.66  0.43  0.91   1.49e-03   1.40e-03   1.59e-03  0.76  0.75  0.78  0.802  0.793  0.814  0.5700  0.108      0   1.36     70
1RXS_J2129.4-0741           3199   0.75   0.85  4.36  0.00  0.00  6.21  5.26  7.45  0.42  0.23  0.63   1.67e-03   1.57e-03   1.77e-03  0.76  0.72  0.79  0.896  0.891  0.904  0.5700  0.114      0   1.54     72
1RXS_J2129.4-0741           3199   0.75    0.8  4.36  0.00  0.00  6.76  5.77  8.06  0.42  0.22  0.63   1.66e-03   1.56e-03   1.75e-03  0.82  0.79  0.86  0.892  0.887  0.895  0.5700  0.114      0   1.33     74
1RXS_J2129.4-0741           3199    1.0   0.85  4.36  0.00  0.00  6.45  5.65  7.45  0.57  0.37  0.80   1.73e-03   1.62e-03   1.83e-03  0.78  0.78  0.79  0.929  0.921  0.933  0.5700  0.120      0   0.92     76
1RXS_J2129.4-0741           3199    1.0    0.8  4.36  0.00  0.00  4.94  4.34  5.70  0.70  0.47  0.97   1.66e-03   1.55e-03   1.78e-03  0.60  0.60  0.61  0.895  0.880  0.906  0.5700  0.115      0   1.48     75
1RXS_J2129.4-0741           3199    0.5   0.95  4.36  0.00  0.00  7.35  6.36  8.59  0.39  0.20  0.60   1.75e-03   1.65e-03   1.85e-03  0.89  0.88  0.91  0.939  0.939  0.945  0.5700  0.120      0   0.97     76
1RXS_J2129.4-0741           3199    0.5   0.96  4.36  0.00  0.00  7.05  6.07  8.28  0.39  0.19  0.59   1.77e-03   1.67e-03   1.87e-03  0.86  0.84  0.88  0.952  0.948  0.955  0.5700  0.121      0   1.11     78
1RXS_J2129.4-0741           3199    0.5   0.97  4.36  0.00  0.00  7.58  6.54  8.91  0.54  0.32  0.78   1.71e-03   1.60e-03   1.81e-03  0.92  0.90  0.95  0.917  0.911  0.923  0.5700  0.123      0   1.31     80
1RXS_J2129.4-0741           3199    0.5   0.98  4.36  0.00  0.00  7.23  6.26  8.47  0.34  0.14  0.54   1.79e-03   1.70e-03   1.90e-03  0.88  0.86  0.90  0.964  0.964  0.968  0.5700  0.121      0   0.95     75
