# Model: wabs(mekal+mekal/b) for r2500 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
ABELL_0068                  3250   0.00   3.01  4.60  0.00  0.00  8.49  7.46  9.83  0.34  0.14  0.55   4.74e-03   4.52e-03   4.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.461   70.3   1.09    148
ABELL_0521                   430   0.00   2.48  6.17  0.00  0.00  6.35  5.93  6.84  0.37  0.26  0.49   4.20e-03   4.08e-03   4.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.560   44.0   1.16    235
ABELL_0586                   530   0.00   3.82  4.71  0.00  0.00  6.34  5.89  6.86  0.43  0.30  0.57   8.41e-03   8.11e-03   8.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.939   81.4   0.90    202
ABELL_0644                  2211   0.00   6.38  6.31  0.00  0.00  7.30  7.13  7.47  0.34  0.30  0.38   3.96e-02   3.93e-02   4.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.802   85.5   1.49    423
ABELL_1201                  4216   0.00   2.75  1.85  0.00  0.00  5.45  5.13  5.81  0.39  0.28  0.49   4.32e-03   4.20e-03   4.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.642   47.7   1.07    240
ABELL_1651                  4185   0.00   6.31  2.02  0.00  0.00  5.92  5.68  6.19  0.35  0.27  0.43   2.57e-02   2.52e-02   2.62e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  3.121   81.1   1.16    336
ABELL_1758                  2213   0.00   2.51  1.09  0.00  0.00 10.66  9.95 11.47  0.51  0.39  0.62   4.95e-03   4.85e-03   5.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.683   47.4   1.16    345
ABELL_1795                  5289   0.00   6.58  1.22  0.00  0.00  5.42  5.32  5.53  0.40  0.37  0.43   6.21e-02   6.15e-02   6.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  7.723   94.2   1.32    413
ABELL_1942                  3290   0.00   2.37  2.75  0.00  0.00  4.30  3.99  4.65  0.19  0.08  0.32   1.58e-03   1.51e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.139   55.9   1.12    192
ABELL_2069                  4965   0.00   4.95  1.97  0.00  0.00  6.51  6.22  6.82  0.27  0.20  0.35   7.32e-03   7.18e-03   7.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.782   71.6   1.04    389
ABELL_2163                  1653   0.00   4.54 12.04  0.00  0.00 17.76 17.10 18.48  0.02  0.00  0.07   2.77e-02   2.75e-02   2.79e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  2.506   84.6   1.52    428
ABELL_2218                  1666   0.00   3.34  3.12  0.00  0.00  6.89  6.58  7.24  0.14  0.09  0.20   7.67e-03   7.54e-03   7.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.798   81.4   0.97    351
ABELL_2294                  3246   0.00   3.34  6.10  0.00  0.00  9.18  8.24 10.39  0.36  0.18  0.54   7.23e-03   6.97e-03   7.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.764   75.2   1.12    194
ABELL_2554                  1696   0.00   3.69  2.04  0.00  0.00  4.57  4.26  4.91  0.20  0.10  0.31   4.21e-03   4.06e-03   4.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.645   22.8   1.14    240
ABELL_2556                  2226   0.00   3.90  2.02  0.00  0.00  3.09  2.99  3.19  0.35  0.31  0.41   1.01e-02   9.89e-03   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  1.583   50.3   1.07    291
ABELL_2670                  4959   0.00   5.20  2.88  0.00  0.00  3.51  3.41  3.62  0.33  0.27  0.39   8.59e-03   8.38e-03   8.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.960   58.1   1.47    368
ABELL_3158                  3201   0.00   7.08  1.60  0.00  0.00  4.63  4.53  4.73  0.33  0.29  0.36   2.90e-02   2.86e-02   2.93e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  3.500   78.3   1.28    415
ABELL_3562                  4167   0.00   5.41  3.90  0.00  0.00  4.22  4.09  4.36  0.35  0.29  0.41   1.52e-02   1.49e-02   1.55e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0490  1.775   76.7   1.25    347
CL_0024+17                   929   0.00   1.55  4.36  0.00  0.00  5.58  4.59  6.94  0.56  0.28  0.88   6.29e-04   5.81e-04   6.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.079   38.6   1.17    103
MACS_J0011.7-1523           6105   0.00   1.74  2.08  0.00  0.00  6.09  5.68  6.55  0.36  0.26  0.47   2.94e-03   2.86e-03   3.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3600  0.248   84.3   0.97    194
MACS_J0242.5-2132           3266   0.00   2.04  2.71  0.00  0.00  4.44  4.19  4.72  0.47  0.35  0.60   6.82e-03   6.54e-03   7.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3140  0.607   92.0   1.07    155
MACS_J0429.6-0253           3271   0.00   1.83  5.70  0.00  0.00  5.01  4.66  5.40  0.52  0.40  0.65   3.60e-03   3.46e-03   3.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3990  0.290   87.4   1.05    157
MACS_J0451.9+0006           5815   0.00   1.31  7.65  0.00  0.00  6.29  5.20  7.81  0.53  0.25  0.86   1.59e-03   1.46e-03   1.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4300  0.127   84.7   1.23     45
MACS_J1131.8-1955           3276   0.00   2.13  4.49  0.00  0.00  8.84  7.85 10.06  0.41  0.25  0.58   4.67e-03   4.50e-03   4.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.437   87.7   0.88    161
MACS_J1319+7003             3278   0.00   1.68  1.53  0.00  0.00  8.32  6.89 10.46  0.28  0.01  0.54   1.82e-03   1.71e-03   1.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.171   76.1   1.11     86
MACS_J1427.6-2521           3279   0.00   2.07  6.11  0.00  0.00  4.23  3.78  4.76  0.28  0.13  0.52   1.84e-03   1.70e-03   1.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.172   77.5   1.39     98
MACS_J1931.8-2634           3282   0.00   2.08  9.13  0.00  0.00  5.94  5.58  6.36  0.37  0.28  0.47   8.55e-03   8.30e-03   8.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3520  0.690   93.2   1.07    192
MACS_J2245.0+2637           3287   0.00   1.68  5.50  0.00  0.00  5.76  5.33  6.26  0.65  0.49  0.83   3.79e-03   3.61e-03   3.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.359   90.6   1.10    146
MACS_J2311+0338             3288   0.00   1.30  5.23  0.00  0.00  7.86  6.85  9.15  0.44  0.25  0.64   3.41e-03   3.25e-03   3.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2998  0.318   89.6   1.01    120
MS_0440.5+0204              4196   0.00   3.02  9.10  0.00  0.00  5.29  4.77  5.92  0.61  0.40  0.84   2.43e-03   2.29e-03   2.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.342   28.5   1.07    164
MS_0839.8+2938              2224   0.00   2.28  3.92  0.00  0.00  4.15  3.97  4.35  0.54  0.45  0.65   3.55e-03   3.44e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1940  0.540   65.3   1.00    218
RX_J1504.1-0248             5793   0.00   3.22  6.27  0.00  0.00  6.73  6.59  6.88  0.40  0.37  0.44   2.98e-02   2.95e-02   3.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2150  2.915   94.8   1.26    412
RX_J1525+0958               1664   0.00   1.08  2.96  0.00  0.00  3.61  3.19  4.17  0.63  0.35  0.97   5.24e-04   4.71e-04   5.79e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5160  0.035   78.3   1.40     60
RX_J1720.1+2638             4361   0.00   3.15  4.02  0.00  0.00  5.58  5.40  5.76  0.34  0.29  0.40   1.54e-02   1.51e-02   1.56e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  1.641   89.1   1.13    354
RX_J2129.6+0005              552   0.00   3.35  4.30  0.00  0.00  5.21  4.87  5.58  0.42  0.31  0.55   8.18e-03   7.87e-03   8.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2350  0.825   82.2   1.15    183
ZWCL_1215                   4184   0.00   4.59  1.76  0.00  0.00  6.58  6.24  6.95  0.28  0.20  0.37   1.59e-02   1.56e-02   1.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0750  1.912   88.9   1.15    304
