# Model: wabs(mekal+mekal/b) for r5000-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
ABELL_0068                  3250   0.21   2.13  4.60  0.00  0.00  9.72  8.36 11.54  0.41  0.18  0.65   3.98e-03   3.79e-03   4.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.394   87.3   1.08    126
ABELL_0521                   430   0.21   1.75  6.17  0.00  0.00  7.31  6.67  8.10  0.48  0.32  0.65   2.67e-03   2.57e-03   2.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.369   55.4   1.11    188
ABELL_0586                   530   0.29   2.70  4.71  0.00  0.00  6.43  5.94  6.98  0.50  0.35  0.65   6.77e-03   6.51e-03   7.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.769   87.9   0.88    178
ABELL_0644                  2211   0.62   5.14  6.31  0.00  0.00  7.81  7.62  8.01  0.42  0.38  0.47   3.24e-02   3.21e-02   3.27e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.004   92.5   1.15    419
ABELL_1201                  4216   0.29   2.32  1.85  0.00  0.00  5.74  5.34  6.18  0.35  0.24  0.48   3.35e-03   3.24e-03   3.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.496   50.1   1.06    214
ABELL_1651                  4185   0.52   4.47  2.02  0.00  0.00  6.30  6.02  6.62  0.44  0.35  0.53   1.94e-02   1.90e-02   1.98e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  2.435   91.8   1.13    297
ABELL_1758                  2213   0.20   1.78  1.09  0.00  0.00  9.66  9.02 10.41  0.48  0.37  0.59   3.72e-03   3.64e-03   3.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.513   68.1   1.03    292
ABELL_1795                  5289   0.69   6.23  1.22  0.00  0.00  6.05  5.90  6.20  0.33  0.28  0.37   4.76e-02   4.71e-02   4.81e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  5.804   93.2   1.19    406
ABELL_1942                  3290   0.23   1.68  2.75  0.00  0.00  4.96  4.57  5.41  0.37  0.23  0.52   1.09e-03   1.05e-03   1.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.106   77.9   1.04    156
ABELL_2069                  4965   0.39   3.50  1.97  0.00  0.00  6.33  6.01  6.69  0.24  0.16  0.32   5.01e-03   4.91e-03   5.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.534   78.0   1.14    344
