# Model: wabs(mekal) for r5000 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.20  4.36  0.00  0.00  9.98  8.37 12.24  0.52  0.52  0.52   1.82e-03   1.75e-03   1.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.129   89.5   1.00     80
3C_220.1                     839   0.00   1.03  1.91  0.00  0.00  6.36  5.00  8.27  0.30  0.30  0.30   8.63e-04   8.12e-04   9.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.085   74.8   1.07     51
3C_28.0                     3233   0.00   1.63  5.71  0.00  0.00  4.49  4.30  4.69  0.12  0.12  0.12   4.20e-03   4.14e-03   4.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.389   93.2   1.26    262
4C_55.16                    4940   0.00   1.43  4.00  0.00  0.00  4.17  4.07  4.28  0.29  0.29  0.29   4.62e-03   4.58e-03   4.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.568   78.8   1.23    316
ABELL_0068                  3250   0.00   2.13  4.60  0.00  0.00 10.04  8.64 11.86  0.30  0.30  0.30   4.39e-03   4.27e-03   4.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.427   89.8   0.98    132
ABELL_0133                  2203   0.00   2.57  1.56  0.00  0.00  3.28  3.23  3.33  0.64  0.64  0.64   1.24e-02   1.23e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.484   83.9   1.31    346
ABELL_0267                  3580   0.00   1.89  2.74  0.00  0.00  7.28  6.67  8.00  0.26  0.26  0.26   4.14e-03   4.06e-03   4.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.408   91.6   1.12    184
ABELL_0370                   515   0.00   1.39  3.37  0.00  0.00 10.73  9.72 11.92  0.39  0.39  0.39   2.01e-03   1.98e-03   2.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.262   80.4   1.04    237
ABELL_0383                  2321   0.00   1.69  4.07  0.00  0.00  4.05  3.88  4.23  0.38  0.38  0.38   6.41e-03   6.32e-03   6.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.945   81.4   1.31    215
ABELL_0399                  3230   0.00   4.71 11.51  0.00  0.00  7.27  7.06  7.49  0.23  0.23  0.23   1.61e-02   1.60e-02   1.62e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.768   88.7   1.20    416
ABELL_0401                   518   0.00   5.26 12.48  0.00  0.00  7.95  7.70  8.22  0.46  0.46  0.46   3.72e-02   3.70e-02   3.74e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  4.639   97.8   1.80    409
ABELL_0478                  1669   0.00   3.39 15.48  0.00  0.00 14.41  0.00  0.00  0.31  0.31  0.31   5.94e-02   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  8.348   97.8  11.93    429
ABELL_0478                  6102   0.00   4.21 15.48  0.00  0.00 12.98 12.35 13.67  0.31  0.31  0.31   5.75e-02   5.70e-02   5.79e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  6.170   97.1   2.52    401
ABELL_0520                  4215   0.00   2.18  7.84  0.00  0.00  7.27  6.97  7.59  0.25  0.25  0.25   6.26e-03   6.20e-03   6.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.593   92.2   1.40    363
ABELL_0521                   430   0.00   1.75  6.17  0.00  0.00  7.71  6.99  8.60  0.19  0.19  0.19   2.95e-03   2.90e-03   3.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.388   60.4   1.23    190
ABELL_0576                  3289   0.00   3.85  5.57  0.00  0.00  4.26  4.15  4.37  0.46  0.46  0.46   1.17e-02   1.16e-02   1.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.983   63.5   0.87    348
ABELL_0586                   530   0.00   2.70  5.40  0.00  0.00  6.27  5.85  6.82  0.30  0.30  0.30   8.06e-03   7.91e-03   8.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.871   89.0   0.89    187
ABELL_0644                  2211   0.00   5.14  6.31  0.00  0.00  8.02  7.83  8.22  0.29  0.29  0.29   3.75e-02   3.73e-02   3.77e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.541   94.4   1.34    423
ABELL_0665                  3586   0.00   2.52  4.24  0.00  0.00  7.62  7.24  8.04  0.19  0.19  0.19   8.76e-03   8.66e-03   8.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.893   93.0   1.14    322
ABELL_0697                  4217   0.00   1.88  3.34  0.00  0.00 10.12  9.23 11.13  0.23  0.23  0.23   6.53e-03   6.43e-03   6.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.607   94.2   1.16    224
ABELL_0773                  5006   0.00   2.22  1.46  0.00  0.00  8.29  7.64  9.03  0.34  0.34  0.34   5.71e-03   5.62e-03   5.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.586   91.8   1.07    219
ABELL_0781                   534   0.00   1.97  1.90  0.00  0.00  5.38  4.64  6.33  0.30  0.30  0.30   2.14e-03   2.04e-03   2.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.201   77.5   1.13     68
ABELL_0907                  3185   0.00   2.26  5.69  0.00  0.00  5.31  5.15  5.47  0.25  0.25  0.25   9.07e-03   8.99e-03   9.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.944   94.4   1.47    359
ABELL_0963                   903   0.00   2.03  1.39  0.00  0.00  6.90  6.60  7.21  0.34  0.34  0.34   6.39e-03   6.33e-03   6.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.978   76.9   1.05    312
