# Model: wabs(mekal) for robs-70 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF TloBF ThiBF   N/BF Nlo/BF Nhi/BF       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.72  9.42 15.30  0.41  0.09  0.74   1.35e-03   1.25e-03   1.43e-03  1.10  1.09  1.12  1.043  1.012  1.062  0.5700  0.093      0   0.69     64
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.83  8.02 12.44  0.54  0.24  0.87   1.23e-03   1.14e-03   1.31e-03  0.92  0.93  0.91  0.951  0.918  0.969  0.5700  0.086      0   1.20     56
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.48  8.59 13.12  0.66  0.33  1.05   1.23e-03   1.14e-03   1.32e-03  0.98  1.00  0.96  0.954  0.921  0.980  0.5700  0.091      0   1.19     61
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.16  8.93 14.41  0.25  0.00  0.53   1.35e-03   1.26e-03   1.44e-03  1.05  1.04  1.06  1.045  1.020  1.067  0.5700  0.092      0   1.06     61
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.48  8.59 13.12  0.66  0.33  1.05   1.23e-03   1.14e-03   1.32e-03  0.98  1.00  0.96  0.954  0.921  0.980  0.5700  0.091      0   1.19     61
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.04  8.31 12.47  0.59  0.28  0.93   1.24e-03   1.16e-03   1.33e-03  0.94  0.97  0.91  0.962  0.933  0.985  0.5700  0.088      0   0.84     58
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  8.88  7.34 10.97  0.33  0.09  0.58   1.32e-03   1.24e-03   1.41e-03  0.83  0.85  0.80  1.026  1.003  1.046  0.5700  0.089      0   0.66     60
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.32  7.74 11.51  0.39  0.12  0.68   1.29e-03   1.21e-03   1.38e-03  0.87  0.90  0.84  1.004  0.972  1.021  0.5700  0.090      0   1.04     60
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.64  8.41 13.94  0.30  0.01  0.59   1.28e-03   1.20e-03   1.37e-03  1.00  0.98  1.02  0.995  0.967  1.011  0.5700  0.086      0   0.91     56
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.90  8.00 12.63  0.38  0.10  0.67   1.26e-03   1.18e-03   1.35e-03  0.93  0.93  0.92  0.980  0.949  0.998  0.5700  0.087      0   0.97     58
