# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF TloBF ThiBF   N/BF Nlo/BF Nhi/BF       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3595    0.5   0.85  4.36  0.00  0.00 10.05  8.26 12.53  0.35  0.11  0.61   1.67e-03   1.57e-03   1.77e-03  1.03  1.01  1.04  0.863  0.854  0.865  0.5700  0.117      0   1.32     82
1RXS_J2129.4-0741           3595    0.5    0.8  4.36  0.00  0.00  7.38  6.26  8.88  0.42  0.21  0.63   1.69e-03   1.59e-03   1.79e-03  0.76  0.77  0.73  0.871  0.867  0.875  0.5700  0.114      0   1.00     76
1RXS_J2129.4-0741           3595   0.75   0.85  4.36  0.00  0.00  6.52  5.62  7.68  0.21  0.04  0.38   1.86e-03   1.76e-03   1.98e-03  0.67  0.69  0.63  0.961  0.957  0.965  0.5700  0.119      0   1.48     79
1RXS_J2129.4-0741           3595   0.75    0.8  4.36  0.00  0.00  5.34  4.61  6.27  0.36  0.18  0.55   1.77e-03   1.66e-03   1.90e-03  0.55  0.57  0.52  0.912  0.900  0.925  0.5700  0.111      0   1.36     72
1RXS_J2129.4-0741           3595    1.0   0.85  4.36  0.00  0.00  5.90  5.07  6.94  0.31  0.14  0.49   1.91e-03   1.80e-03   2.02e-03  0.60  0.62  0.57  0.985  0.977  0.986  0.5700  0.121      0   1.36     81
1RXS_J2129.4-0741           3595    1.0    0.8  4.36  0.00  0.00  4.43  3.89  5.21  0.59  0.36  0.81   1.76e-03   1.65e-03   1.91e-03  0.45  0.48  0.43  0.907  0.895  0.930  0.5700  0.116      0   2.08     79
1RXS_J2129.4-0741           3595    0.5   0.95  4.36  0.00  0.00  8.91  7.43 11.02  0.35  0.11  0.59   1.80e-03   1.70e-03   1.90e-03  0.91  0.91  0.91  0.927  0.925  0.928  0.5700  0.124      0   1.09     82
1RXS_J2129.4-0741           3595    0.5   0.96  4.36  0.00  0.00  7.70  6.57  9.22  0.33  0.13  0.54   1.83e-03   1.73e-03   1.93e-03  0.79  0.81  0.76  0.944  0.939  0.941  0.5700  0.121      0   0.79     82
1RXS_J2129.4-0741           3595    0.5   0.97  4.36  0.00  0.00  9.02  7.57 11.04  0.50  0.26  0.75   1.80e-03   1.69e-03   1.90e-03  0.92  0.93  0.91  0.925  0.919  0.926  0.5700  0.125      0   0.73     83
1RXS_J2129.4-0741           3595    0.5   0.98  4.36  0.00  0.00  8.06  6.93  9.54  0.46  0.25  0.69   1.82e-03   1.71e-03   1.92e-03  0.83  0.85  0.79  0.936  0.932  0.938  0.5700  0.124      0   0.89     81
1RXS_J2129.4-0741           3595    0.5   0.99  4.36  0.00  0.00  9.88  8.27 12.18  0.57  0.32  0.84   1.85e-03   1.75e-03   1.96e-03  1.01  1.01  1.01  0.955  0.952  0.957  0.5700  0.134      0   1.13     89
1RXS_J2129.4-0741           3595    0.5    0.9  4.36  0.00  0.00  6.73  5.82  7.84  0.29  0.11  0.47   1.84e-03   1.74e-03   1.96e-03  0.69  0.71  0.65  0.950  0.945  0.955  0.5700  0.118      0   0.84     80
