# Model: wabs(mekal) for r2500 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.69  3.36  0.00  8.04  9.78  7.76 12.97  0.43  0.20  0.71   2.01e-03   1.83e-03   2.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.143   73.8   1.02     94
3C_220.1                     839   0.00   1.46  0.00  0.00  2.71  7.31  5.55  9.66  0.00  0.00  0.18   9.17e-04   8.66e-04   9.90e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.089   69.0   0.89     58
3C_28.0                     3233   0.00   2.30  2.36  0.87  3.90  5.04  4.74  5.38  0.31  0.25  0.38   4.64e-03   4.51e-03   4.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.479   84.6   1.02    297
3C_346                      3129   0.00   0.98  0.00  0.00  1.40  5.46  4.83  6.24  0.27  0.07  0.50   7.29e-04   6.92e-04   7.73e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.115   61.4   0.98    113
4C_55.16                    4940   0.00   2.02  3.93  2.99  4.89  4.14  3.99  4.30  0.55  0.50  0.61   4.56e-03   4.45e-03   4.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.604   58.5   0.95    334
ABELL_0068                  3250   0.00   3.01  6.31  2.75 10.01  8.55  7.11 10.63  0.39  0.19  0.61   4.88e-03   4.56e-03   5.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.471   74.8   1.05    147
ABELL_0133                  2203   0.00   2.57  0.73  0.12  1.34  3.44  3.36  3.52  0.82  0.77  0.88   1.15e-02   1.13e-02   1.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.484   83.9   1.23    344
ABELL_0267                  3580   0.00   2.67  0.00  0.00  1.03  7.94  7.22  8.78  0.34  0.21  0.48   4.47e-03   4.35e-03   4.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.463   79.2   1.09    199
ABELL_0370                   515   0.00   1.96  0.00  0.00  0.40 13.77 12.25 15.75  0.50  0.34  0.66   2.46e-03   2.39e-03   2.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.337   76.2   1.12    288
ABELL_0383                  2321   0.00   2.39  1.69  0.39  3.01  4.48  4.23  4.76  0.62  0.52  0.72   6.24e-03   6.00e-03   6.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  1.026   71.5   1.09    230
ABELL_0399                  3230   0.00   6.65  9.19  8.47  9.91  7.14  6.88  7.44  0.18  0.14  0.23   2.11e-02   2.09e-02   2.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  2.299   75.4   1.28    425
ABELL_0401                   518   0.00   7.43  5.76  5.09  6.44 12.53 11.74 13.38  0.85  0.74  0.95   4.21e-02   4.14e-02   4.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  5.762   96.7   1.51    420
ABELL_0478                  1669   0.00   3.39 29.30 28.94 29.67  6.73  6.61  6.85  0.37  0.35  0.39   6.79e-02   6.74e-02   6.84e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  8.348   88.0   1.23    427
ABELL_0478                  6102   0.00   5.95 29.42 28.36 30.52  7.12  6.82  7.44  0.44  0.39  0.49   7.03e-02   6.92e-02   7.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  6.722   92.1   1.05    409
ABELL_0520                  4215   0.00   3.08  2.57  1.50  3.65  8.50  7.99  9.08  0.29  0.23  0.35   7.15e-03   7.01e-03   7.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.722   81.6   1.15    386
ABELL_0521                   430   0.00   2.48  3.16  1.52  4.83  8.37  7.41  9.61  0.42  0.29  0.57   4.07e-03   3.92e-03   4.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.578   54.4   1.11    234
ABELL_0576                  3289   0.00   3.85  6.51  5.71  7.31  3.93  3.79  4.07  0.42  0.37  0.47   1.20e-02   1.17e-02   1.23e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.959   53.5   0.99    346
ABELL_0586                   530   0.00   3.82  0.73  0.00  3.00  7.54  6.70  8.36  0.48  0.32  0.65   7.95e-03   7.64e-03   8.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.946   82.7   0.86    201
ABELL_0644                  2211   0.00   6.38  8.53  7.95  9.13  7.01  6.80  7.22  0.37  0.33  0.41   4.08e-02   4.04e-02   4.13e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.856   88.0   1.28    422
ABELL_0665                  3586   0.00   3.56  1.95  0.70  3.25  8.05  7.49  8.68  0.26  0.20  0.34   1.04e-02   1.02e-02   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  1.101   84.0   1.01    344
ABELL_0697                  4217   0.00   2.66  0.00  0.00  0.75 10.95 10.01 12.03  0.39  0.26  0.52   7.37e-03   7.20e-03   7.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.722   85.7   0.98    252
ABELL_0773                  5006   0.00   3.13  0.00  0.00  1.76  8.33  7.50  9.04  0.35  0.24  0.47   6.55e-03   6.41e-03   6.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.681   80.3   1.09    247
ABELL_0781                   534   0.00   2.79  0.00  0.00  2.82  5.53  4.76  6.45  0.25  0.05  0.49   2.62e-03   2.51e-03   2.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.249   69.0   1.34     87
ABELL_0907                  3185   0.00   3.19  3.11  2.10  4.11  5.49  5.27  5.72  0.42  0.37  0.47   9.21e-03   9.03e-03   9.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  1.025   85.9   1.14    374
ABELL_0963                   903   0.00   2.87  0.93  0.00  1.89  6.81  6.41  7.25  0.35  0.28  0.43   7.19e-03   7.02e-03   7.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  1.107   67.3   1.05    332
ABELL_1068                  1652   0.00   3.05  0.67  0.00  1.50  3.83  3.69  3.97  0.44  0.39  0.49   1.09e-02   1.06e-02   1.12e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  1.804   72.7   1.06    317
ABELL_1204                  2205   0.00   2.52  0.00  0.00  0.77  3.54  3.43  3.66  0.38  0.32  0.46   8.03e-03   7.89e-03   8.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.861   89.7   1.19    243
ABELL_1361                  2200   0.00   2.94  0.00  0.00  2.82  4.71  4.10  5.29  0.60  0.37  0.84   6.44e-03   6.13e-03   7.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  1.224   68.7   1.06    109
ABELL_1413                  5003   0.00   2.79  0.53  0.00  1.24  7.73  7.44  8.04  0.34  0.30  0.38   1.31e-02   1.29e-02   1.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  1.285   91.6   1.08    405
ABELL_1423                   538   0.00   3.17  0.18  0.00  3.66  5.46  4.74  6.09  0.34  0.18  0.51   4.58e-03   4.40e-03   4.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.496   77.1   0.96    139
ABELL_1650                  4178   0.00   2.94  2.04  1.42  2.68  5.82  5.63  6.03  0.42  0.38  0.47   1.83e-02   1.80e-02   1.86e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  3.051   79.7   0.99    374
ABELL_1651                  4185   0.00   6.31  1.00  0.00  2.27  6.32  5.95  6.74  0.37  0.29  0.45   2.53e-02   2.47e-02   2.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  3.146   82.9   1.15    335
ABELL_1664                  1648   0.00   2.94  7.40  5.84  9.03  3.51  3.29  3.73  0.40  0.31  0.48   9.56e-03   9.12e-03   1.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  1.403   61.2   1.04    196
ABELL_1682                  3244   0.00   3.10  0.00  0.00  1.66 11.70  9.30 16.12  1.10  0.61  1.71   3.79e-03   3.51e-03   4.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.434   75.5   1.35     81
ABELL_1689                  5004   0.00   3.87  0.00  0.00  0.56 10.11  9.62 10.67  0.41  0.33  0.49   1.95e-02   1.92e-02   1.98e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  2.134   89.8   1.25    374
ABELL_1758                  2213   0.00   2.51  0.00  0.00  0.37 12.37 11.40 13.57  0.53  0.41  0.66   4.96e-03   4.86e-03   5.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.692   52.5   1.17    344
ABELL_1763                  3591   0.00   3.17  0.00  0.00  1.45  7.75  7.04  8.41  0.18  0.08  0.28   6.49e-03   6.33e-03   6.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.684   79.9   1.16    243
ABELL_1835                   495   0.00   2.64  1.63  0.85  2.41  8.41  7.94  8.94  0.31  0.26  0.37   1.83e-02   1.80e-02   1.87e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  2.697   90.2   1.05    347
ABELL_1942                  3290   0.00   2.37  1.72  0.00  4.64  4.77  4.26  5.36  0.23  0.11  0.36   1.55e-03   1.46e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.143   60.4   1.08    191
ABELL_1991                  3193   0.00   2.88  0.00  0.00  0.45  2.23  2.19  2.27  0.54  0.51  0.57   8.93e-03   8.82e-03   9.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  1.652   67.7   1.70    308
ABELL_2029                  4977   0.00   3.00  2.92  2.71  3.13  7.28  7.18  7.38  0.44  0.42  0.46   5.77e-02   5.74e-02   5.79e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  9.582   91.6   2.51    427
ABELL_2029                  6101   0.00   6.68  2.06  1.33  2.80  8.43  8.07  8.83  0.46  0.40  0.51   6.96e-02   6.87e-02   7.06e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  8.745   92.5   1.13    413
ABELL_2034                  2204   0.00   4.91  0.00  0.00  0.73  7.30  6.98  7.54  0.23  0.17  0.28   1.21e-02   1.20e-02   1.23e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  1.459   78.6   1.17    414
ABELL_2034                  2204   0.00   4.27  4.16  2.95  5.39  7.30  6.84  7.83  0.25  0.19  0.32   3.04e-02   2.97e-02   3.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  3.506   92.3   1.21    342
ABELL_2034                  2204   0.00   2.89  5.90  5.09  6.71  6.64  6.30  7.04  0.19  0.14  0.24   3.11e-02   3.05e-02   3.17e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  4.960   87.9   1.55    330
ABELL_2104                   895   0.00   2.45 15.14 14.26 16.04  8.33  7.86  8.85  0.36  0.29  0.43   7.50e-03   7.36e-03   7.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  1.044   69.2   1.07    370
ABELL_2111                   544   0.00   2.90  0.00  0.00  1.55  7.07  6.00  8.47  0.11  0.00  0.32   2.88e-03   2.75e-03   3.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.301   75.6   0.97    106
ABELL_2124                  3238   0.00   2.77  0.36  0.00  2.10  4.26  3.91  4.59  0.39  0.27  0.52   3.44e-03   3.30e-03   3.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.613   41.7   1.16    202
ABELL_2147                  3211   0.00   7.77  0.00  0.00  0.49  4.20  4.07  4.34  0.26  0.21  0.31   1.83e-02   1.81e-02   1.87e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  2.207   68.9   1.11    371
ABELL_2163                  1653   0.00   4.54 14.19 13.58 14.78 16.58 15.69 17.58  0.11  0.05  0.16   2.83e-02   2.80e-02   2.85e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  2.545   88.2   1.33    427
ABELL_2199                   497   0.00   2.89  1.27  0.85  1.67  3.91  3.84  3.98  0.48  0.45  0.51   4.75e-02   4.68e-02   4.81e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  9.535   93.3   1.72    389
ABELL_2218                  1666   0.00   3.34  0.73  0.00  1.93  8.09  7.53  8.70  0.16  0.10  0.23   7.45e-03   7.28e-03   7.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.809   84.1   0.94    350
ABELL_2219                   896   0.00   2.99  2.57  1.94  3.20 12.40 11.61 13.29  0.28  0.21  0.35   1.46e-02   1.44e-02   1.48e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  2.143   77.9   1.00    397
ABELL_2244                  4179   0.00   2.96  2.62  2.18  3.07  5.43  5.30  5.56  0.36  0.33  0.40   1.84e-02   1.82e-02   1.86e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  2.935   78.7   1.05    409
ABELL_2255                   894   0.00   6.29  0.00  0.00  0.06 12.20 11.72 12.69  1.36  1.24  1.47   1.43e-02   1.41e-02   1.45e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  2.080  100.0   2.32    421
ABELL_2259                  3245   0.00   2.97  0.72  0.00  3.58  5.55  4.94  6.12  0.36  0.22  0.50   6.12e-03   5.86e-03   6.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.670   81.5   1.01    166
ABELL_2261                  5007   0.00   2.88  1.61  0.15  3.11  7.81  7.21  8.47  0.37  0.30  0.45   9.65e-03   9.40e-03   9.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.979   87.4   0.96    314
ABELL_2294                  3246   0.00   3.34 10.04  7.26 12.86  8.53  7.41 10.06  0.41  0.25  0.59   7.66e-03   7.28e-03   8.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.783   80.5   1.08    193
ABELL_2319                  3231   0.00   7.77  6.73  6.09  7.37 10.30  9.85 10.82  0.30  0.24  0.35   7.92e-02   7.83e-02   8.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  9.244   90.5   1.47    423
ABELL_2384                  4202   0.00   4.19  0.48  0.00  1.79  4.17  3.97  4.37  0.24  0.18  0.30   7.81e-03   7.58e-03   8.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.889   74.9   1.15    320
ABELL_2390                  4193   0.00   2.87  8.06  7.61  8.51  9.06  8.77  9.36  0.35  0.31  0.38   1.63e-02   1.61e-02   1.64e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  2.056   70.9   1.13    426
ABELL_2409                  3247   0.00   3.42  7.54  5.28  9.90  5.51  5.05  6.03  0.40  0.28  0.51   9.86e-03   9.45e-03   1.03e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  1.016   84.2   1.11    208
ABELL_2550                  2225   0.00   2.26  0.91  0.00  3.24  1.94  1.82  2.04  0.42  0.33  0.50   1.53e-03   1.43e-03   1.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543  0.217   24.4   1.42    191
ABELL_2554                  1696   0.00   3.69  1.34  0.00  3.06  5.07  4.58  5.65  0.24  0.12  0.37   4.16e-03   3.95e-03   4.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.658   28.5   1.10    239
ABELL_2556                  2226   0.00   3.90  0.39  0.00  1.47  3.28  3.13  3.41  0.40  0.34  0.46   9.66e-03   9.36e-03   1.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  1.587   51.4   1.04    290
ABELL_2589                  3210   0.00   2.38  0.00  0.00  1.70  7.96  7.04  9.00  1.91  1.38  2.52   8.66e-03   8.13e-03   9.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0415  2.104   76.8   1.53    137
ABELL_2597                   922   0.00   1.13  0.01  0.00  0.73  3.50  3.41  3.58  0.47  0.43  0.51   1.48e-02   1.46e-02   1.52e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0854  2.767   96.7   0.99    301
ABELL_2626                  3192   0.00   3.10  4.57  3.53  5.63  2.89  2.79  3.00  0.48  0.42  0.53   1.03e-02   9.90e-03   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0573  1.683   52.3   1.02    290
ABELL_2667                  2214   0.00   2.58  1.04  0.00  2.52  5.97  5.51  6.51  0.35  0.26  0.44   1.18e-02   1.14e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  1.716   74.5   1.05    224
ABELL_2670                  4959   0.00   5.20  4.54  3.36  5.73  3.97  3.81  4.14  0.42  0.35  0.48   8.82e-03   8.57e-03   9.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  1.023   69.3   1.20    367
ABELL_2744                  2212   0.00   2.57  2.51  1.20  3.86  8.06  7.33  8.90  0.20  0.12  0.29   7.27e-03   7.06e-03   7.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.889   57.2   1.10    273
ABELL_3112                  2516   0.00   3.00  0.42  0.00  1.08  4.66  4.52  4.80  0.75  0.69  0.82   2.33e-02   2.28e-02   2.38e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  4.569   85.7   1.12    350
ABELL_3158                  3201   0.00   7.08  1.20  0.48  1.92  4.92  4.78  5.07  0.36  0.33  0.40   2.88e-02   2.83e-02   2.93e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  3.551   81.4   1.20    414
ABELL_3266                   899   0.00   3.80  0.00  0.00  0.21 11.63 11.10 12.22  0.53  0.45  0.62   1.74e-02   1.72e-02   1.76e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0590  2.178  100.0   1.21    385
ABELL_3558                  1646   0.00   3.03  3.28  2.45  4.11  6.29  5.98  6.61  0.51  0.43  0.60   2.02e-02   1.97e-02   2.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0480  3.751   81.6   1.01    327
ABELL_3562                  4167   0.00   5.41  3.61  2.46  4.78  4.44  4.25  4.64  0.38  0.31  0.44   1.51e-02   1.47e-02   1.55e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0490  1.799   79.5   1.19    346
ABELL_3571                  4203   0.00   2.17  3.44  2.96  3.92  7.59  7.36  7.83  0.45  0.40  0.49   2.72e-02   2.68e-02   2.75e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0391  4.786   91.0   1.28    413
ABELL_4038                  4992   0.00   8.00  2.24  1.71  2.78  3.15  3.10  3.21  0.45  0.42  0.47   3.94e-02   3.88e-02   4.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  4.809   82.5   1.38    424
AC_114                      1562   0.00   2.18  0.99  0.00  2.26  7.78  7.09  8.57  0.26  0.18  0.34   3.02e-03   2.94e-03   3.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.394   57.3   1.08    320
