# Model: wabs(mekal) for r2500 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.69  4.36  0.00  0.00  7.60  4.67 12.89  0.29  0.09  0.76   2.46e-03   1.73e-03   3.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.027   73.8   1.15     22
3C_220.1                     839   0.00   1.46  1.91  0.00  0.00 10.62  2.49 79.90  0.00  0.00  3.20   8.16e-04   4.47e-04   3.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.009   69.0   0.86     11
3C_28.0                     3233   0.00   2.30  5.71  0.00  0.00  5.84  5.19  6.63  0.22  0.15  0.29   4.46e-03   4.17e-03   4.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.116   84.6   0.91    182
3C_346                      3129   0.00   0.98  5.67  0.00  0.00  7.31  4.62 14.79  0.18  0.00  0.54   6.71e-04   5.58e-04   8.38e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.022   61.4   0.80     33
4C_55.16                    4940   0.00   2.02  4.00  0.00  0.00  4.13  3.81  4.51  0.46  0.39  0.53   4.81e-03   4.50e-03   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.097   58.5   0.96    212
ABELL_0068                  3250   0.00   3.01  4.60  0.00  0.00  8.60  6.42 12.12  0.39  0.18  0.66   4.89e-03   4.33e-03   5.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.131   74.8   0.87     54
ABELL_0133                  2203   0.00   2.57  1.56  0.00  0.00  3.71  3.52  3.93  0.65  0.55  0.74   1.18e-02   1.14e-02   1.23e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.441   83.9   1.12    248
ABELL_0267                  3580   0.00   2.67  2.74  0.00  0.00 10.13  7.85 13.94  0.36  0.19  0.57   4.18e-03   3.86e-03   4.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.123   79.2   0.80     91
ABELL_0370                   515   0.00   1.96  3.37  0.00  0.00 12.42  9.84 22.24  0.42  0.28  0.58   2.64e-03   2.46e-03   2.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.064   76.2   1.05    148
ABELL_0383                  2321   0.00   2.39  4.07  0.00  0.00  4.98  4.34  5.76  0.56  0.43  0.69   6.02e-03   5.51e-03   6.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.172   71.5   1.14    116
