# Model: wabs(mekal) for r500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   3.79  8.76  3.70 14.39  7.20  5.61  9.49  0.52  0.52  0.52   2.25e-03   2.06e-03   2.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.146   32.0   1.35    139
3C_28.0                     3233   0.02   5.13  4.11  2.85  5.35  5.97  5.63  6.35  0.12  0.12  0.12   8.23e-03   8.05e-03   8.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.778   62.1   1.13    392
CL_1221+4918                1662   0.01   3.16 17.57 10.63 25.02  3.11  2.53  3.90  0.30  0.30  0.30   1.03e-03   8.62e-04   1.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.035    1.8   1.23    196
CL_1416+4446                 541   0.01   3.01  0.00  0.00  0.62 79.90 67.29 79.90  0.30  0.30  0.30   1.77e-03   1.70e-03   1.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4000  0.140  100.0   3.16    120
CL_J0542.8-4100              914   0.01   3.17  2.02  0.00  9.09  5.33  3.99  7.25  0.30  0.30  0.30   7.50e-04   6.76e-04   8.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.049   48.1   0.91    161
CL_J1113.1-2615              915   0.01   3.10 12.27  8.57 16.65 79.90 77.91 79.90  0.30  0.30  0.30   1.15e-03   1.10e-03   1.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.071  100.0   7.70    192
CL_J2302.8+0844              918   0.01   3.66  9.42  6.61 12.49 79.90 78.69 79.90  0.30  0.30  0.30   1.71e-03   1.65e-03   1.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.107  100.0   8.67    258
MS_0016.9+1609               520   0.01   4.16  6.98  4.91  9.13  5.87  5.35  6.47  0.30  0.30  0.30   3.87e-03   3.71e-03   4.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.249   52.8   1.22    338
MS_0302.7+1658               525   0.01   2.87 19.92  2.65 39.45  2.39  1.66  3.75  0.30  0.30  0.30   1.00e-03   6.75e-04   1.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.046   37.5   1.34     28
MS_1137.5+6625               536   0.01   2.84 11.73  9.52 14.06 79.90 78.24 79.90  0.30  0.30  0.30   1.69e-03   1.64e-03   1.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7820  0.091  100.0   4.93    238
MS_1455.0+2232              4192   0.02   4.45  0.48  0.00  1.75  4.84  4.61  5.04  0.35  0.35  0.35   5.45e-03   5.36e-03   5.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.477   50.6   1.51    397
MS_1621.5+2640               546   0.01   4.16  0.00  0.00  1.81  7.30  6.14  8.95  0.30  0.30  0.30   1.58e-03   1.53e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.141   56.5   1.07    199
MS_2053.7-0449              1667   0.01   4.04  5.91  0.00 22.72  2.76  1.75  4.59  0.31  0.31  0.31   4.71e-04   3.52e-04   7.33e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.019   32.6   1.19    151
RBS_0797                    2202   0.02   4.29  5.18  2.00  8.44  6.11  5.33  7.15  0.30  0.30  0.30   6.12e-03   5.77e-03   6.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.526   66.8   1.04    176
RX_J0647.7+7015             3584   0.01   3.84 12.59  7.38 18.04  7.95  6.36 10.51  0.30  0.30  0.30   2.81e-03   2.57e-03   3.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.166   14.9   1.00    140
RX_J1347.5-1145             3592   0.01   4.81  3.39  2.25  4.51 13.26 12.23 14.53  0.30  0.30  0.30   1.03e-02   1.01e-02   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4510  0.800   66.5   1.14    404
RX_J1423.8+2404             1657   0.01   3.21  4.11  0.00 10.26  5.14  4.13  6.59  0.30  0.30  0.30   1.91e-03   1.70e-03   2.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5450  0.123   52.0   1.36     98
RX_J1532.9+3021             1665   0.02   4.01  0.40  0.00  3.89  5.83  5.03  6.55  0.30  0.30  0.30   5.64e-03   5.45e-03   6.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3450  0.492   69.6   0.85    155
RX_J1716.9+6708              548   0.01   3.50  0.02  0.00  7.79  9.39  5.97 15.01  0.30  0.30  0.30   6.32e-04   5.93e-04   7.44e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8100  0.041   50.6   0.89    176
