# Model: wabs(mekal) for r500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   3.79  4.36  0.00  0.00  4.47  2.95  6.29  0.19  0.06  0.40   3.88e-03   2.29e-03   7.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.027   32.0   2.09     45
3C_28.0                     3233   0.02   5.13  5.71  0.00  0.00  5.73  5.19  6.39  0.17  0.11  0.23   8.42e-03   7.98e-03   8.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.203   62.1   0.95    276
CL_1221+4918                1662   0.01   3.16  1.44  0.00  0.00  1.88  1.17 10.79  0.45  0.11  2.95   2.63e-03   0.00e+00   1.87e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.001    1.8   1.50     70
CL_1416+4446                 541   0.01   3.01  1.24  0.00  0.00 79.90 60.94 79.90  7.63  4.52 20.69   1.06e-03   5.82e-04   1.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4000  0.044  100.0   5.44     42
CL_J0542.8-4100              914   0.01   3.17  3.59  0.00  0.00  2.67  1.09  7.61  0.19  0.00  0.52   2.24e-03   0.00e+00   2.86e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.006   48.1   0.94     58
CL_J1113.1-2615              915   0.01   3.10  5.51  0.00  0.00 79.90 75.48 79.90  0.00  0.00  0.07   1.86e-03   1.78e-03   1.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.027  100.0   8.73     81
CL_J2302.8+0844              918   0.01   3.66  5.05  0.00  0.00 79.90 77.02 79.90  0.00  0.00  0.07   2.87e-03   2.78e-03   2.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.041  100.0   9.36    113
MS_0016.9+1609               520   0.01   4.16  4.06  0.00  0.00  3.55  3.01  4.26  0.15  0.10  0.21   7.53e-03   5.93e-03   9.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.038   52.8   1.47    174
MS_0302.7+1658               525   0.01   2.87 10.95  0.00  0.00  0.50  0.18  1.68 14.73  0.00 1000.00   4.78e-02   0.00e+00   8.79e+06  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.003   37.5   0.72      6
MS_1137.5+6625               536   0.01   2.84  1.18  0.00  0.00 79.90 74.33 79.90  0.00  0.00  0.07   2.37e-03   2.29e-03   2.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7820  0.026  100.0   6.60     85
