# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   1.20  4.36  0.00  0.00  9.90  8.24 12.32  0.52  0.52  0.52   1.65e-03   1.58e-03   1.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.118   88.7   1.03     75
3C_220.1                     839   0.01   1.03  1.91  0.00  0.00  6.67  4.06 13.37  0.30  0.30  0.30   2.77e-04   2.47e-04   3.11e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.027   64.9   0.81     23
3C_28.0                     3233   0.02   1.63  5.71  0.00  0.00  5.42  5.12  5.73  0.12  0.12  0.12   3.04e-03   2.98e-03   3.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.292   91.3   1.03    236
4C_55.16                    4940   0.02   1.43  4.00  0.00  0.00  4.86  4.69  5.04  0.29  0.29  0.29   2.95e-03   2.92e-03   2.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.372   71.4   1.04    287
ABELL_0068                  3250   0.02   2.13  4.60  0.00  0.00 10.31  8.77 12.28  0.30  0.30  0.30   4.09e-03   3.98e-03   4.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.398   89.2   1.08    127
ABELL_0133                  2203   0.07   2.57  1.56  0.00  0.00  4.35  4.24  4.47  0.64  0.64  0.64   7.08e-03   7.02e-03   7.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.410   77.3   0.99    315
ABELL_0267                  3580   0.02   1.89  2.74  0.00  0.00  7.14  6.53  7.87  0.26  0.26  0.26   3.76e-03   3.68e-03   3.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.372   90.9   1.21    177
ABELL_0370                   515   0.02   1.39  3.37  0.00  0.00 10.90  9.84 12.15  0.39  0.39  0.39   1.94e-03   1.91e-03   1.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.252   80.1   1.07    233
ABELL_0383                  2321   0.02   1.69  4.07  0.00  0.00  4.94  4.67  5.25  0.38  0.38  0.38   4.17e-03   4.10e-03   4.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.626   75.3   1.12    186
ABELL_0399                  3230   0.06   4.71 11.51  0.00  0.00  7.26  7.05  7.49  0.23  0.23  0.23   1.55e-02   1.54e-02   1.56e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.704   88.5   1.19    416
ABELL_0478                  1669   0.05   3.39 15.48  0.00  0.00 17.66 17.06 18.27  0.31  0.31  0.31   4.66e-02   4.64e-02   4.69e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  6.394   85.3   8.55    429
ABELL_0478                  6102   0.05   4.30 15.48  0.00  0.00 14.96 14.07 16.12  0.31  0.31  0.31   4.59e-02   4.55e-02   4.64e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.849   96.3   2.06    392
ABELL_0520                  4215   0.02   2.18  7.84  0.00  0.00  7.25  6.95  7.57  0.25  0.25  0.25   6.10e-03   6.05e-03   6.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.579   92.1   1.39    362
ABELL_0521                   430   0.02   1.75  6.17  0.00  0.00  8.61  7.68  9.77  0.19  0.19  0.19   2.86e-03   2.81e-03   2.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.378   63.7   1.18    189
ABELL_0576                  3289   0.11   3.85  5.57  0.00  0.00  4.38  4.26  4.52  0.46  0.46  0.46   9.24e-03   9.16e-03   9.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.573   59.8   0.91    338
ABELL_0586                   530   0.02   2.70  5.40  0.00  0.00  6.38  5.87  6.96  0.30  0.30  0.30   7.13e-03   6.99e-03   7.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.773   88.7   0.93    179
ABELL_0644                  2211   0.06   5.14  6.31  0.00  0.00  8.14  7.93  8.36  0.29  0.29  0.29   3.33e-02   3.32e-02   3.35e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.031   93.8   1.22    420
ABELL_0665                  3586   0.02   2.52  4.24  0.00  0.00  7.61  7.21  8.04  0.19  0.19  0.19   8.24e-03   8.14e-03   8.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.841   92.7   1.09    317
ABELL_0697                  4217   0.02   1.88  3.34  0.00  0.00 10.19  9.27 11.26  0.23  0.23  0.23   6.24e-03   6.14e-03   6.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.578   93.9   1.11    221
ABELL_0773                  5006   0.02   2.22  1.46  0.00  0.00  8.38  7.71  9.17  0.34  0.34  0.34   5.37e-03   5.28e-03   5.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.550   91.4   1.03    212
ABELL_0781                   534   0.02   1.97  1.90  0.00  0.00  5.73  4.90  6.83  0.30  0.30  0.30   2.17e-03   2.07e-03   2.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.206   80.1   1.16     69
ABELL_0907                  3185   0.02   2.26  5.69  0.00  0.00  5.72  5.52  5.92  0.25  0.25  0.25   6.99e-03   6.92e-03   7.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.733   93.1   1.28    338
ABELL_0963                   903   0.02   2.03  1.39  0.00  0.00  6.99  6.67  7.34  0.34  0.34  0.34   5.48e-03   5.43e-03   5.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.839   74.7   1.13    300
ABELL_1068                  1652   0.03   2.16  0.71  0.00  0.00  4.59  4.42  4.76  0.42  0.42  0.42   6.16e-03   6.10e-03   6.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  1.029   75.0   0.91    268
ABELL_1204                  2205   0.02   1.78  1.44  0.00  0.00  3.72  3.55  3.90  0.35  0.35  0.35   4.22e-03   4.14e-03   4.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.444   93.3   1.11    182
ABELL_1361                  2200   0.03   2.54  2.18  0.00  0.00  5.55  4.79  6.59  0.61  0.61  0.61   4.24e-03   4.09e-03   4.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.784   66.2   1.14     81
ABELL_1413                  5003   0.03   2.79  2.19  0.00  0.00  7.65  7.43  7.88  0.21  0.21  0.21   1.20e-02   1.19e-02   1.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  1.129   93.8   1.24    403
ABELL_1423                   538   0.02   2.24  1.60  0.00  0.00  6.00  5.33  6.82  0.30  0.30  0.30   3.45e-03   3.34e-03   3.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.370   84.5   0.94    113
ABELL_1650                  4178   0.05   2.94  1.62  0.00  0.00  6.17  5.99  6.36  0.40  0.40  0.40   1.49e-02   1.48e-02   1.50e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  2.479   81.6   0.92    366
ABELL_1651                  4185   0.05   4.47  2.02  0.00  0.00  6.45  6.14  6.78  0.32  0.32  0.32   1.99e-02   1.97e-02   2.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  2.445   92.5   1.15    298
ABELL_1664                  1648   0.03   2.19  8.47  0.00  0.00  4.23  3.95  4.55  0.11  0.11  0.11   6.09e-03   5.95e-03   6.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.825   70.7   1.12    161
