# Model: wabs(mekal) for r5000 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = no; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.20  0.00  0.00 165.72  9.63  7.32 14.17  0.52  0.52  0.52   1.85e-03   1.69e-03   2.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.025   84.0   1.16     18
3C_220.1                     839   0.00   1.03  0.00  0.00 437.39 79.90  9.20 79.90  0.30  0.30  0.30   6.26e-04   4.82e-04   7.47e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.009   74.9   0.86      7
3C_28.0                     3233   0.00   1.63 94.35 10.90 178.99  4.52  3.66  5.88  0.12  0.12  0.12   4.63e-03   3.57e-03   6.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.090   89.6   0.87    145
3C_346                      3129   0.00   0.98  0.00  0.00 63.64  7.57  4.57 17.49  0.35  0.35  0.35   6.37e-04   5.62e-04   8.32e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.022   61.4   0.82     33
4C_55.16                    4940   0.00   1.43 68.82  0.00 132.75  3.92  3.45  4.59  0.29  0.29  0.29   5.36e-03   4.40e-03   6.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.091   73.2   1.03    192
ABELL_0068                  3250   0.00   2.13 43.09  0.00 155.38  8.28  5.59 13.03  0.30  0.30  0.30   4.71e-03   4.00e-03   6.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.117   84.4   0.90     44
ABELL_0133                  2203   0.00   2.57  0.00  0.00 17.31  3.74  3.50  3.95  0.64  0.64  0.64   1.18e-02   1.15e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.441   83.9   1.12    248
ABELL_0267                  3580   0.00   1.89 104.29 13.09 194.34  7.13  5.33 10.78  0.26  0.26  0.26   4.57e-03   3.71e-03   5.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.106   87.1   0.91     77
ABELL_0370                   515   0.00   1.39 111.62 22.80 202.03 10.89  9.04 14.44  0.39  0.39  0.39   2.28e-03   2.04e-03   2.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.047   80.4   0.91    101
ABELL_0383                  2321   0.00   1.69 28.38  0.00 106.58  5.20  4.20  6.31  0.38  0.38  0.38   5.84e-03   5.14e-03   7.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.159   81.4   1.22    100
ABELL_0399                  3230   0.00   4.71 52.87 28.89 78.58  6.06  5.39  6.84  0.23  0.23  0.23   1.76e-02   1.64e-02   1.91e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.587   82.4   1.00    316
ABELL_0401                   518   0.00   5.26 14.80  0.00 37.69 10.30  8.64 12.42  0.46  0.46  0.46   3.62e-02   3.47e-02   3.83e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  1.457   97.8   1.07    308
ABELL_0478                  1669   0.00   3.39 34.33 24.83 44.04  6.82  6.53  7.13  0.31  0.31  0.31   6.91e-02   6.74e-02   7.10e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.576   88.0   1.20    326
ABELL_0478                  6102   0.00   4.21 38.11 18.30 58.02  7.25  6.61  8.03  0.31  0.31  0.31   6.55e-02   6.22e-02   6.90e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.369   95.5   1.02    298
ABELL_0520                  4215   0.00   2.18 49.09 11.66 86.92  8.31  7.06 10.08  0.25  0.25  0.25   6.17e-03   5.65e-03   6.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.170   87.8   1.00    245
ABELL_0521                   430   0.00   1.75 171.56 64.03 291.21  6.33  4.54  9.32  0.19  0.19  0.19   4.00e-03   3.12e-03   5.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.079   60.4   0.82     79
ABELL_0576                  3289   0.00   3.85 93.23 53.42 135.96  2.88  2.60  3.22  0.46  0.46  0.46   1.70e-02   1.47e-02   1.97e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.441   53.5   0.95    252
ABELL_0586                   530   0.00   2.70 117.10 34.63 209.15  5.48  4.20  7.28  0.30  0.30  0.30   9.88e-03   8.01e-03   1.29e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.231   89.0   0.83     83
ABELL_0644                  2211   0.00   5.14 38.84 23.54 54.83  6.63  6.14  7.16  0.29  0.29  0.29   4.09e-02   3.91e-02   4.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.469   91.3   1.16    323
ABELL_0665                  3586   0.00   2.52 39.06  0.00 89.02  7.66  6.26  9.71  0.19  0.19  0.19   9.04e-03   8.05e-03   1.03e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.257   89.4   0.97    207
ABELL_0697                  4217   0.00   1.88 100.46 25.14 168.68 10.76  8.51 16.13  0.23  0.23  0.23   7.00e-03   6.14e-03   7.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.165   91.0   1.05    104
ABELL_0773                  5006   0.00   2.22  8.74  0.00 66.25  9.60  7.59 12.52  0.34  0.34  0.34   5.44e-03   4.86e-03   6.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.162   87.5   1.05    106
ABELL_0781                   534   0.00   1.97 80.62  0.00 334.57  9.85  4.68 62.47  0.30  0.30  0.30   1.79e-03   1.39e-03   3.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.041   77.5   0.89     18
ABELL_0907                  3185   0.00   2.26 83.79 46.94 127.75  4.60  4.06  5.14  0.25  0.25  0.25   1.09e-02   9.76e-03   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.255   91.4   1.21    248
ABELL_0963                   903   0.00   2.03 40.68  0.00 84.75  6.91  5.92  8.05  0.34  0.34  0.34   6.70e-03   6.10e-03   7.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.189   77.0   1.04    193
ABELL_1068                  1652   0.00   2.16  0.00  0.00 21.11  4.63  4.17  5.12  0.42  0.42  0.42   9.07e-03   8.75e-03   9.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.278   82.1   0.88    188
ABELL_1204                  2205   0.00   1.78 44.08  0.00 132.88  3.40  2.83  4.07  0.35  0.35  0.35   8.69e-03   7.13e-03   1.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.164   94.0   1.13    123
ABELL_1361                  2200   0.00   2.54  0.00  0.00 55.27  8.97  5.42 18.24  0.61  0.61  0.61   4.85e-03   4.39e-03   5.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.204   72.6   1.02     25
ABELL_1413                  5003   0.00   2.79 66.16 43.25 89.84  6.99  6.34  7.74  0.21  0.21  0.21   1.50e-02   1.41e-02   1.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.380   91.6   0.93    297
ABELL_1423                   538   0.00   2.24  0.00  0.00 161.52  6.21  3.79  8.68  0.30  0.30  0.30   3.75e-03   3.34e-03   6.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.094   84.9   1.10     36
ABELL_1650                  4178   0.00   2.94  1.32  0.00 26.15  6.00  5.40  6.44  0.40  0.40  0.40   1.83e-02   1.78e-02   1.97e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.716   79.7   0.97    274
ABELL_1651                  4185   0.00   4.47 24.04  0.00 66.72  6.21  5.21  7.35  0.32  0.32  0.32   2.33e-02   2.13e-02   2.65e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.837   89.6   1.14    215
ABELL_1664                  1648   0.00   2.19  0.24  0.00 105.04  4.45  3.27  5.30  0.11  0.11  0.11   7.95e-03   7.31e-03   1.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.224   72.4   1.01     78
ABELL_1682                  3244   0.00   2.19 160.56  5.02 437.93 79.90  7.94 79.90  0.30  0.30  0.30   3.83e-03   3.07e-03   4.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.090   81.7   1.26     19
ABELL_1689                  5004   0.00   2.74 63.75 30.50 95.80  9.90  8.50 11.96  0.25  0.25  0.25   2.01e-02   1.88e-02   2.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.599   94.1   1.14    244
ABELL_1758                  2213   0.00   1.78 109.09 42.86 175.82  7.44  6.13  9.48  0.20  0.20  0.20   5.04e-03   4.36e-03   5.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.106   63.7   0.92    166
