# Model: wabs(mekal) for r5000 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.20  4.36  0.00  0.00  9.51  8.02 11.59  0.52  0.52  0.52   1.79e-03   1.73e-03   1.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.127   84.0   1.00     80
3C_220.1                     839   0.00   1.03  1.91  0.00  0.00  6.27  4.97  8.17  0.30  0.30  0.30   8.65e-04   8.12e-04   9.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.085   74.9   1.08     51
3C_28.0                     3233   0.00   1.63  5.71  0.00  0.00  4.35  4.17  4.54  0.12  0.12  0.12   4.20e-03   4.13e-03   4.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.386   89.6   1.16    262
4C_55.16                    4940   0.00   1.43  4.00  0.00  0.00  4.06  3.96  4.18  0.29  0.29  0.29   4.62e-03   4.58e-03   4.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.565   73.2   1.19    316
ABELL_0068                  3250   0.00   2.13  4.60  0.00  0.00  9.56  8.27 11.25  0.30  0.30  0.30   4.33e-03   4.22e-03   4.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.421   84.4   1.00    132
ABELL_0133                  2203   0.00   2.57  1.56  0.00  0.00  3.28  3.23  3.33  0.64  0.64  0.64   1.24e-02   1.23e-02   1.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.484   83.9   1.32    346
ABELL_0267                  3580   0.00   1.89  2.74  0.00  0.00  7.04  6.46  7.72  0.26  0.26  0.26   4.12e-03   4.03e-03   4.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.404   87.1   1.09    184
ABELL_0370                   515   0.00   1.39  3.37  0.00  0.00 10.67  9.68 11.86  0.39  0.39  0.39   2.01e-03   1.98e-03   2.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.261   80.4   1.06    237
ABELL_0383                  2321   0.00   1.69  4.07  0.00  0.00  4.06  3.89  4.24  0.38  0.38  0.38   6.41e-03   6.32e-03   6.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.945   81.4   1.32    215
ABELL_0399                  3230   0.00   4.71 11.51  0.00  0.00  6.80  6.61  7.00  0.23  0.23  0.23   1.59e-02   1.58e-02   1.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.736   82.4   1.18    416
ABELL_0401                   518   0.00   5.26 12.48  0.00  0.00  7.94  7.69  8.21  0.46  0.46  0.46   3.72e-02   3.70e-02   3.74e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  4.641   97.8   1.82    409
ABELL_0478                  1669   0.00   3.39 15.48  0.00  0.00 14.41  0.00  0.00  0.31  0.31  0.31   5.94e-02   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  8.348   97.8  11.93    429
