# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
2PIGG_J0011.5-2850          5797   0.85   4.71  2.18  0.00  0.00  6.21  5.53  7.04  0.19  0.08  0.29   7.83e-03   7.46e-03   8.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.348   78.8   1.01    215
2PIGG_J0311.8-2655          5799   1.02   4.67  1.46  0.00  0.00  3.67  3.13  4.38  0.24  0.01  0.57   2.11e-03   1.86e-03   2.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.076   51.3   1.10    177
ABELL_0013                  4945   0.70   4.02  2.03  0.00  0.00  9.29  8.21 10.66  0.66  0.49  0.85   3.33e-03   3.20e-03   3.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.207   56.2   1.10    283
ABELL_0119                  4180   1.39   7.97  3.30  0.00  0.00  6.20  5.61  6.94  0.49  0.36  0.62   1.75e-02   1.67e-02   1.83e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0442  0.808   75.6   0.89    264
ABELL_0514                  3578   0.89   4.43  3.14  0.00  0.00  4.92  4.16  5.94  0.27  0.07  0.49   1.99e-03   1.83e-03   2.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.086   58.5   1.01    185
ABELL_1995                   906   0.26   0.97  1.44  0.00  0.00  9.41  8.09 11.28  0.33  0.19  0.47   1.80e-03   1.72e-03   1.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.108   81.0   1.02    133
ABELL_2065                 31821   0.88   4.63  2.96  0.00  0.00  6.39  5.98  6.85  0.24  0.18  0.31   1.43e-02   1.39e-02   1.46e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  0.650   89.7   1.01    289
ABELL_2631                  3248   0.29   1.83  3.74  0.00  0.00  9.18  7.22 12.35  0.39  0.15  0.66   3.31e-03   3.05e-03   3.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.167   89.0   0.99     54
ABELL_3128                   893   1.01   4.41  1.59  0.00  0.00  3.48  2.94  4.21  0.34  0.06  0.68   2.96e-03   2.58e-03   3.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0624  0.104   64.8   1.13    105
DLS_J0514-4904              4980   0.71   3.52  2.52  0.00  0.00  6.26  4.96  8.59  0.49  0.11  0.92   1.50e-03   1.33e-03   1.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0912  0.076   63.1   1.03     78
MACS_J0308.9+2645           3268   0.25   1.40 11.88  0.00  0.00 11.12  9.44 13.35  0.39  0.23  0.55   3.80e-03   3.65e-03   3.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3240  0.195   92.2   0.97    133
MACS_J2243.3-0935           3260   0.66   3.63  4.31  0.00  0.00  8.81  6.14 13.12  0.00  0.00  0.38   2.05e-03   1.91e-03   2.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1010  0.100   66.0   1.27     95
MS_J1157.3+5531             4964   0.80   3.09  1.22  0.00  0.00 10.57  7.24 16.99  2.33  1.12  5.96   3.49e-04   2.51e-04   4.23e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0810  0.031   37.8   1.15    166
NGC_6338                    4194   2.16   7.87  2.60  0.00  0.00  3.03  2.79  3.33  0.29  0.13  0.47   5.90e-03   5.44e-03   6.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.185   54.6   1.00    335
RX_J0232.2-4420             4993   0.28   1.62  2.53  0.00  0.00 10.54  8.80 13.07  0.40  0.22  0.58   4.34e-03   4.13e-03   4.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2836  0.224   91.0   0.98    121
RX_J0340-4542               6954   0.28   1.62  1.63  0.00  0.00  5.26  3.50  8.63  0.00  0.00  0.28   6.28e-04   5.22e-04   7.85e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2836  0.026   62.4   1.04     25
RX_J0528.9-3927             4994   0.30   1.93  2.36  0.00  0.00  9.84  8.03 12.76  0.24  0.04  0.42   3.66e-03   3.48e-03   3.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2632  0.186   88.8   1.04    103
RX_J2011.3-5725             4995   0.29   1.16  4.76  0.00  0.00  3.93  3.23  4.91  0.50  0.21  0.88   1.15e-03   1.03e-03   1.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2786  0.046   84.9   1.08     39
ZwCl_0848.5+3341            4205   0.24   1.18  1.12  0.00  0.00  6.41  4.53 10.20  0.50  0.00  1.10   6.92e-04   5.78e-04   8.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3706  0.040   47.8   1.01     18
