# Model: wabs(mekal) for r5000 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
2PIGG_J0011.5-2850          5797   0.00   4.71  2.18  0.00  0.00  5.19  4.96  5.45  0.25  0.17  0.33   9.76e-03   9.53e-03   9.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  1.158   80.8   1.09    314
2PIGG_J0311.8-2655          5799   0.00   4.67  1.46  0.00  0.00  3.41  3.20  3.63  0.38  0.27  0.50   2.53e-03   2.41e-03   2.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.305   53.7   0.99    267
ABELL_0013                  4945   0.00   4.02  2.03  0.00  0.00  6.66  6.36  6.98  0.53  0.44  0.63   4.25e-03   4.16e-03   4.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.717   58.1   1.16    368
ABELL_0119                  4180   0.00   7.97  3.30  0.00  0.00  5.81  5.55  6.08  0.44  0.35  0.54   1.93e-02   1.88e-02   1.97e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0442  2.430   76.4   1.01    354
ABELL_0514                  3578   0.00   4.43  3.14  0.00  0.00  3.89  3.64  4.15  0.31  0.21  0.44   2.36e-03   2.25e-03   2.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.279   58.7   0.96    273
ABELL_1995                   906   0.00   0.97  1.44  0.00  0.00  8.26  7.65  8.96  0.36  0.25  0.47   2.21e-03   2.15e-03   2.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.303   82.5   1.05    198
ABELL_2065                 31821   0.00   4.63  2.96  0.00  0.00  5.40  5.25  5.54  0.29  0.24  0.33   1.84e-02   1.82e-02   1.86e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  2.241   91.2   1.15    383
ABELL_2631                  3248   0.00   1.83  3.74  0.00  0.00  7.23  6.34  8.42  0.30  0.12  0.49   3.85e-03   3.67e-03   4.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.356   89.4   0.97    105
ABELL_3128                   893   0.00   4.41  1.59  0.00  0.00  3.03  2.85  3.23  0.39  0.29  0.50   3.98e-03   3.78e-03   4.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0624  0.495   67.5   1.12    209
DLS_J0514-4904              4980   0.00   3.52  2.52  0.00  0.00  4.98  4.48  5.54  0.35  0.14  0.60   1.99e-03   1.86e-03   2.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0912  0.245   65.3   0.92    162
MACS_J0308.9+2645           3268   0.00   1.40 11.88  0.00  0.00 10.96  9.85 12.30  0.37  0.23  0.52   4.58e-03   4.45e-03   4.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3240  0.394   93.1   0.95    208
MACS_J2243.3-0935           3260   0.00   3.63  4.31  0.00  0.00  5.41  4.92  6.01  0.09  0.00  0.24   3.11e-03   2.97e-03   3.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1010  0.348   70.6   1.32    191
MS_J1157.3+5531             4964   0.00   3.09  1.22  0.00  0.00  1.98  1.89  2.08  0.48  0.41  0.56   1.22e-03   1.17e-03   1.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0810  0.214   44.0   1.66    265
NGC_6338                    4194   0.00   7.87  2.60  0.00  0.00  2.31  2.26  2.36  0.39  0.36  0.43   1.08e-02   1.06e-02   1.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  1.284   64.3   1.21    425
RX_J0232.2-4420             4993   0.00   1.62  2.53  0.00  0.00  7.14  6.62  7.74  0.50  0.38  0.62   6.12e-03   5.94e-03   6.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2836  0.588   92.9   1.11    199
RX_J0340-4542               6954   0.00   1.62  1.63  0.00  0.00  3.37  2.76  4.17  0.00  0.00  0.22   8.64e-04   7.65e-04   9.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2836  0.065   62.5   1.38     48
RX_J0528.9-3927             4994   0.00   1.93  2.36  0.00  0.00  7.69  6.99  8.52  0.23  0.11  0.35   4.94e-03   4.78e-03   5.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2632  0.476   90.7   1.12    181
RX_J2011.3-5725             4995   0.00   1.16  4.76  0.00  0.00  4.14  3.83  4.50  0.44  0.29  0.60   1.88e-03   1.78e-03   1.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2786  0.166   89.6   1.09    116
ZwCl_0848.5+3341            4205   0.00   1.18  1.12  0.00  0.00  7.07  5.61  9.60  0.32  0.00  0.69   8.52e-04   7.77e-04   9.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3706  0.104   51.1   0.84     45
