# Cluster             ObsID    Tx1    Tx2    Eta    RealCTR    FakeCTR      Norm1      Norm2      N2/N1
1E0657_56              3184  11.99   0.50   0.80   1.067000   1.114000  1.008e-02  7.422e-03     0.7363
1E0657_56              3184  11.99   0.50   0.85   1.067000   1.110000  1.071e-02  4.599e-03     0.4294
1E0657_56              3184  11.99   0.50   0.90   1.067000   1.116000  1.134e-02  2.691e-03     0.2373
1E0657_56              3184  11.99   0.50   0.95   1.067000   1.149000  1.197e-02  1.445e-03     0.1207
1E0657_56              3184  11.99   0.50   0.96   1.067000   1.164000  1.210e-02  1.516e-03     0.1253
1E0657_56              3184  11.99   0.50   0.97   1.067000   1.168000  1.222e-02  1.217e-03     0.0996
1E0657_56              3184  11.99   0.50   0.98   1.067000   1.177000  1.235e-02  1.086e-03     0.0879
1E0657_56              3184  11.99   0.50   0.99   1.067000   1.176000  1.247e-02  7.844e-04     0.0629
1E0657_56              3184  11.99   0.75   0.80   1.067000   1.114000  1.008e-02  4.343e-03     0.4309
1E0657_56              3184  11.99   0.75   0.85   1.067000   1.119000  1.071e-02  3.066e-03     0.2863
1E0657_56              3184  11.99   0.75   0.90   1.067000   1.120000  1.134e-02  1.615e-03     0.1424
1E0657_56              3184  11.99   0.75   0.95   1.067000   1.145000  1.197e-02  5.688e-04     0.0475
1E0657_56              3184  11.99   0.75   0.96   1.067000   1.161000  1.210e-02  8.188e-04     0.0677
1E0657_56              3184  11.99   0.75   0.97   1.067000   1.166000  1.222e-02  4.792e-04     0.0392
1E0657_56              3184  11.99   0.75   0.98   1.067000   1.169000  1.235e-02  5.277e-04     0.0427
1E0657_56              3184  11.99   0.75   0.99   1.067000   1.176000  1.247e-02  4.707e-04     0.0377
1E0657_56              3184  11.99   1.00   0.80   1.067000   1.110000  1.008e-02  3.246e-03     0.3221
1E0657_56              3184  11.99   1.00   0.85   1.067000   1.116000  1.071e-02  2.345e-03     0.2190
1E0657_56              3184  11.99   1.00   0.90   1.067000   1.108000  1.134e-02  1.140e-03     0.1005
1E0657_56              3184  11.99   1.00   0.95   1.067000   1.155000  1.197e-02  6.632e-04     0.0554
1E0657_56              3184  11.99   1.00   0.96   1.067000   1.153000  1.210e-02  5.637e-04     0.0466
1E0657_56              3184  11.99   1.00   0.97   1.067000   1.161000  1.222e-02  4.525e-04     0.0370
1E0657_56              3184  11.99   1.00   0.98   1.067000   1.181000  1.235e-02  5.410e-04     0.0438
1E0657_56              3184  11.99   1.00   0.99   1.067000   1.181000  1.247e-02  1.836e-04     0.0147
1E0657_56              5356  11.99   0.50   0.80   1.067000   1.077000  1.008e-02  7.422e-03     0.7363
1E0657_56              5356  11.99   0.50   0.85   1.067000   1.120000  1.071e-02  6.680e-03     0.6237
1E0657_56              5356  11.99   0.50   0.90   1.067000   1.116000  1.134e-02  4.139e-03     0.3650
1E0657_56              5356  11.99   0.50   0.95   1.067000   1.124000  1.197e-02  2.167e-03     0.1811
1E0657_56              5356  11.99   0.50   0.96   1.067000   1.128000  1.210e-02  1.842e-03     0.1523
1E0657_56              5356  11.99   0.50   0.97   1.067000   1.145000  1.222e-02  1.842e-03     0.1507
1E0657_56              5356  11.99   0.50   0.98   1.067000   1.138000  1.235e-02  1.239e-03     0.1004
1E0657_56              5356  11.99   0.50   0.99   1.067000   1.152000  1.247e-02  1.300e-03     0.1042
1E0657_56              5356  11.99   0.75   0.80   1.067000   1.105000  1.008e-02  5.110e-03     0.5069
1E0657_56              5356  11.99   0.75   0.85   1.067000   1.120000  1.071e-02  3.909e-03     0.3650
1E0657_56              5356  11.99   0.75   0.90   1.067000   1.116000  1.134e-02  2.483e-03     0.2190
1E0657_56              5356  11.99   0.75   0.95   1.067000   1.126000  1.197e-02  1.300e-03     0.1086
1E0657_56              5356  11.99   0.75   0.96   1.067000   1.120000  1.210e-02  9.006e-04     0.0745
1E0657_56              5356  11.99   0.75   0.97   1.067000   1.131000  1.222e-02  9.395e-04     0.0769
1E0657_56              5356  11.99   0.75   0.98   1.067000   1.141000  1.235e-02  9.179e-04     0.0743
1E0657_56              5356  11.99   0.75   0.99   1.067000   1.148000  1.247e-02  7.802e-04     0.0625
1E0657_56              5356  11.99   1.00   0.80   1.067000   1.113000  1.008e-02  4.102e-03     0.4070
1E0657_56              5356  11.99   1.00   0.85   1.067000   1.108000  1.071e-02  3.066e-03     0.2863
1E0657_56              5356  11.99   1.00   0.90   1.067000   1.120000  1.134e-02  1.994e-03     0.1758
1E0657_56              5356  11.99   1.00   0.95   1.067000   1.128000  1.197e-02  8.747e-04     0.0731
1E0657_56              5356  11.99   1.00   0.96   1.067000   1.126000  1.210e-02  8.261e-04     0.0683
1E0657_56              5356  11.99   1.00   0.97   1.067000   1.134000  1.222e-02  7.022e-04     0.0575
1E0657_56              5356  11.99   1.00   0.98   1.067000   1.142000  1.235e-02  6.632e-04     0.0537
1E0657_56              5356  11.99   1.00   0.99   1.067000   1.161000  1.247e-02  7.733e-04     0.0620
1E0657_56              5361  11.99   0.50   0.80   1.067000   1.107000  1.008e-02  7.422e-03     0.7363
1E0657_56              5361  11.99   0.50   0.85   1.067000   1.120000  1.071e-02  5.411e-03     0.5052
1E0657_56              5361  11.99   0.50   0.90   1.067000   1.110000  1.134e-02  2.691e-03     0.2373
1E0657_56              5361  11.99   0.50   0.95   1.067000   1.134000  1.197e-02  1.300e-03     0.1086
1E0657_56              5361  11.99   0.50   0.96   1.067000   1.152000  1.210e-02  1.605e-03     0.1327
1E0657_56              5361  11.99   0.50   0.97   1.067000   1.157000  1.222e-02  1.160e-03     0.0949
1E0657_56              5361  11.99   0.50   0.98   1.067000   1.164000  1.235e-02  9.312e-04     0.0754
