###### Started simulating spectra at Wed Nov  1 18:13:19 2006 ######
# Cluster             ObsID    Tx1    Tx2    Eta    RealCTR    FakeCTR      Norm1      Norm2
1RXS_J2129.4-0741      3595  10.68   0.50   0.50   0.092000   0.095820  6.450e-04  3.525e-03
1RXS_J2129.4-0741      3595  10.68   0.50   0.60   0.092000   0.096330  7.740e-04  3.014e-03
1RXS_J2129.4-0741      3595  10.68   0.50   0.70   0.092000   0.095910  9.030e-04  2.176e-03
1RXS_J2129.4-0741      3595  10.68   0.50   0.80   0.092000   0.094180  1.032e-03  1.489e-03
1RXS_J2129.4-0741      3595  10.68   0.50   0.90   0.092000   0.098670  1.161e-03  9.138e-04
# exited via overflow
1RXS_J2129.4-0741      3595  10.68   0.75   0.50   0.092000   0.093380  6.450e-04  1.855e-03
1RXS_J2129.4-0741      3595  10.68   0.75   0.60   0.092000   0.093140  7.740e-04  1.503e-03
1RXS_J2129.4-0741      3595  10.68   0.75   0.70   0.092000   0.095760  9.030e-04  1.160e-03
1RXS_J2129.4-0741      3595  10.68   0.75   0.80   0.092000   0.095850  1.032e-03  9.138e-04
1RXS_J2129.4-0741      3595  10.68   0.75   0.90   0.092000   0.099530  1.161e-03  5.077e-04
# exited via overflow
1RXS_J2129.4-0741      3595  10.68   1.00   0.50   0.092000   0.095260  6.450e-04  1.503e-03
1RXS_J2129.4-0741      3595  10.68   1.00   0.60   0.092000   0.092720  7.740e-04  1.206e-03
1RXS_J2129.4-0741      3595  10.68   1.00   0.70   0.092000   0.096270  9.030e-04  9.739e-04
1RXS_J2129.4-0741      3595  10.68   1.00   0.80   0.092000   0.095840  1.032e-03  6.598e-04
1RXS_J2129.4-0741      3595  10.68   1.00   0.90   0.092000   0.094440  1.161e-03  3.757e-04
3C_220.1                839   6.11   0.50   0.50   0.012000   0.012050  6.900e-05  6.087e-05
3C_220.1                839   6.11   0.50   0.60   0.012000   0.013580  8.280e-05  3.348e-05
# exited via overflow
3C_220.1                839   6.11   0.50   0.70   0.012000   0.013380  9.660e-05  2.164e-05
# exited via overflow
3C_220.1                839   6.11   0.50   0.80   0.012000   0.013760  1.104e-04  1.013e-05
# exited via overflow
3C_220.1                839   6.11   0.50   0.90   0.012000   0.015580  1.242e-04  5.000e-06
# exited via overflow
3C_220.1                839   6.11   0.75   0.50   0.012000   0.012330  6.900e-05  2.841e-05
3C_220.1                839   6.11   0.75   0.60   0.012000   0.012510  8.280e-05  3.006e-05
3C_220.1                839   6.11   0.75   0.70   0.012000   0.015470  9.660e-05  1.139e-05
# exited via overflow
3C_220.1                839   6.11   0.75   0.80   0.012000   0.017150  1.104e-04  5.625e-06
# exited via overflow
3C_220.1                839   6.11   0.75   0.90   0.012000   0.017210  1.242e-04  3.125e-06
# exited via overflow
3C_220.1                839   6.11   1.00   0.50   0.012000   0.012110  6.900e-05  3.382e-05
3C_220.1                839   6.11   1.00   0.60   0.012000   0.011750  8.280e-05  3.204e-05
3C_220.1                839   6.11   1.00   0.70   0.012000   0.014380  9.660e-05  1.281e-05
# exited via overflow
3C_220.1                839   6.11   1.00   0.80   0.012000   0.014310  1.104e-04  6.328e-06
# exited via overflow
3C_220.1                839   6.11   1.00   0.90   0.012000   0.017180  1.242e-04  3.125e-06
# exited via overflow
3C_28.0                3233   6.24   0.50   0.50   0.912000   0.937300  4.925e-03  2.170e-02
3C_28.0                3233   6.24   0.50   0.60   0.912000   0.955200  5.910e-03  1.828e-02
3C_28.0                3233   6.24   0.50   0.70   0.912000   0.944200  6.895e-03  1.320e-02
3C_28.0                3233   6.24   0.50   0.80   0.912000   0.955000  7.880e-03  8.814e-03
3C_28.0                3233   6.24   0.50   0.90   0.912000   0.952100  8.865e-03  4.407e-03
# exited via iteration cut-off
# exited via overflow
3C_28.0                3233   6.24   0.75   0.50   0.912000   0.934200  4.925e-03  1.269e-02
3C_28.0                3233   6.24   0.75   0.60   0.912000   0.944600  5.910e-03  1.028e-02
3C_28.0                3233   6.24   0.75   0.70   0.912000   0.939500  6.895e-03  7.813e-03
3C_28.0                3233   6.24   0.75   0.80   0.912000   0.954300  7.880e-03  5.641e-03
3C_28.0                3233   6.24   0.75   0.90   0.912000   0.956900  8.865e-03  2.899e-03
3C_28.0                3233   6.24   1.00   0.50   0.912000   0.950200  4.925e-03  1.015e-02
3C_28.0                3233   6.24   1.00   0.60   0.912000   0.953900  5.910e-03  8.224e-03
3C_28.0                3233   6.24   1.00   0.70   0.912000   0.949600  6.895e-03  6.250e-03
3C_28.0                3233   6.24   1.00   0.80   0.912000   0.947600  7.880e-03  3.966e-03
3C_28.0                3233   6.24   1.00   0.90   0.912000   0.963200  8.865e-03  2.320e-03
# exited via overflow
3C_295                 2254   5.39   0.50   0.50   0.064000   0.066520  4.070e-04  1.428e-03
3C_295                 2254   5.39   0.50   0.60   0.064000   0.066300  4.884e-04  1.142e-03
3C_295                 2254   5.39   0.50   0.70   0.064000   0.065020  5.698e-04  8.247e-04
3C_295                 2254   5.39   0.50   0.80   0.064000   0.066160  6.512e-04  6.233e-04
3C_295                 2254   5.39   0.50   0.90   0.064000   0.067340  7.326e-04  3.382e-04
# exited via overflow
3C_295                 2254   5.39   0.75   0.50   0.064000   0.066240  4.070e-04  8.813e-04
3C_295                 2254   5.39   0.75   0.60   0.064000   0.064050  4.884e-04  6.443e-04
3C_295                 2254   5.39   0.75   0.70   0.064000   0.064910  5.698e-04  4.944e-04
3C_295                 2254   5.39   0.75   0.80   0.064000   0.065910  6.512e-04  3.516e-04
3C_295                 2254   5.39   0.75   0.90   0.064000   0.067720  7.326e-04  2.114e-04
# exited via overflow
3C_295                 2254   5.39   1.00   0.50   0.064000   0.065750  4.070e-04  6.782e-04
3C_295                 2254   5.39   1.00   0.60   0.064000   0.067060  4.884e-04  5.426e-04
3C_295                 2254   5.39   1.00   0.70   0.064000   0.064200  5.698e-04  3.711e-04
3C_295                 2254   5.39   1.00   0.80   0.064000   0.066460  6.512e-04  2.747e-04
3C_295                 2254   5.39   1.00   0.90   0.064000   0.067400  7.326e-04  1.780e-04
# exited via overflow
#########################
# 578: no fit data in ../fits/dat/adj_robs-70_nhfro_fefro_7-7.dat
# 578: no ARF file for robs-70
# 578: no RMF file for robs-70
4C_55.16               4940   5.08   0.50   0.50   0.353000   0.369600  1.395e-03  1.428e-03
4C_55.16               4940   5.08   0.50   0.60   0.353000   0.369000  1.674e-03  1.085e-03
4C_55.16               4940   5.08   0.50   0.70   0.353000   0.365400  1.953e-03  7.051e-04
4C_55.16               4940   5.08   0.50   0.80   0.353000   0.372000  2.232e-03  4.016e-04
# exited via overflow
4C_55.16               4940   5.08   0.50   0.90   0.353000   0.395700  2.511e-03  2.421e-04
# exited via overflow
4C_55.16               4940   5.08   0.75   0.50   0.353000   0.364200  1.395e-03  1.085e-03
4C_55.16               4940   5.08   0.75   0.60   0.353000   0.366000  1.674e-03  8.247e-04
4C_55.16               4940   5.08   0.75   0.70   0.353000   0.363500  1.953e-03  5.509e-04
4C_55.16               4940   5.08   0.75   0.80   0.353000   0.378200  2.232e-03  3.204e-04
# exited via overflow
4C_55.16               4940   5.08   0.75   0.90   0.353000   0.400000  2.511e-03  2.152e-04
# exited via overflow
4C_55.16               4940   5.08   1.00   0.50   0.353000   0.369700  1.395e-03  1.082e-03
4C_55.16               4940   5.08   1.00   0.60   0.353000   0.366500  1.674e-03  7.813e-04
4C_55.16               4940   5.08   1.00   0.70   0.353000   0.368800  1.953e-03  5.493e-04
4C_55.16               4940   5.08   1.00   0.80   0.353000   0.376900  2.232e-03  3.382e-04
# exited via overflow
4C_55.16               4940   5.08   1.00   0.90   0.353000   0.399700  2.511e-03  2.152e-04
# exited via overflow
ABELL_0068             3250   9.40   0.50   0.50   0.371000   0.375800  1.905e-03  5.411e-03
ABELL_0068             3250   9.40   0.50   0.60   0.371000   0.385300  2.286e-03  4.340e-03
ABELL_0068             3250   9.40   0.50   0.70   0.371000   0.378400  2.667e-03  3.472e-03
ABELL_0068             3250   9.40   0.50   0.80   0.371000   0.384500  3.048e-03  2.203e-03
ABELL_0068             3250   9.40   0.50   0.90   0.371000   0.387200  3.429e-03  1.503e-03
