#Model: mekal; Energy band: 0.4 keV --> 1.0 keV; Fe-frozen? yes; Tx-frozen? no
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
1E0657_56                   3184   0.21   0.19   0.24   1.00   1.00   1.00   3.32e-05   2.49e-05   4.31e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.516e+05   4.23e-03   1.35     38
1E0657_56                   5356   0.18   0.17   0.19   1.00   1.00   1.00  -5.71e-05  -7.08e-05  -4.61e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.448e+05  -4.35e-03   1.32     38
1E0657_56                   5361   0.08   0.08   0.09   1.00   1.00   1.00  -3.76e-04  -5.40e-04  -1.53e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.714e+05  -2.62e-04   0.93     37
1RXS_J2129.4-0741           3595   0.08   0.08   0.24   1.00   1.00   1.00  -3.24e-04  -7.32e-04  -1.56e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.014e+05  -3.86e-04   0.15      7
2A_0335+096                  919   1.12   0.95   1.26   1.00   1.00   1.00   3.51e-05   2.21e-05   5.00e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.066e+05   1.00e-02   1.58     13
3C_28.0                     3233   0.21   0.18   0.26   1.00   1.00   1.00  -1.74e-05  -2.80e-05  -9.96e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.870e+05  -1.76e-03   0.51      9
3C_295                      2254   0.15   0.08   0.23   1.00   1.00   1.00  -1.68e-05  -2.28e-04  -5.02e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.176e+05  -8.65e-04   0.79     17
3C_388                      5295   0.18   0.14   0.25   1.00   1.00   1.00  -2.18e-05  -4.81e-05  -8.83e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.863e+05  -1.55e-03   0.45      5
4C_55.16                    4940   0.68   0.08  79.90   1.00   1.00   1.00  -5.65e-07  -1.84e-05   9.85e-07   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.294e+05  -2.59e-04   1.14     13
ABELL_0068                  3250   0.19   0.17   0.23   1.00   1.00   1.00  -6.46e-05  -9.69e-05  -4.07e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  7.447e+05  -4.80e-03   0.05      1
ABELL_0085                   904   0.71   0.66   0.78   1.00   1.00   1.00   2.37e-05   2.08e-05   2.68e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.923e+05   7.59e-03   0.55     17
ABELL_0133                  2203   0.50   0.42   0.58   1.00   1.00   1.00   8.55e-06   7.28e-06   9.87e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.662e+05   6.45e-03   1.16     13
ABELL_0262                  2215   0.84   0.81   0.87   1.00   1.00   1.00   7.54e-05   7.05e-05   8.16e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  7.973e+05   4.19e-02   2.78     24
ABELL_0267                  1448   0.26   0.25   0.27   1.00   1.00   1.00   3.53e-04   3.23e-04   3.84e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.405e+05   9.72e-02   2.88     16
