#Model: mekal; Energy band: 0.5 keV --> 1.5 keV; Fe-frozen? no; Tx-frozen? yes
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
1E0657_56                   3184   0.20   0.00   0.00   1.00   0.02 1000.00   3.74e-05   0.00e+00   9.10e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.52e+05   4.41e-03   1.10     62
1E0657_56                   5361   0.20   0.00   0.00   0.00   0.00 1000.00   2.39e-04   0.00e+00   4.96e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.71e+05   1.62e-03   0.95     62
1RXS_J2129.4-0741           3199   0.20   0.00   0.00   0.00   0.00   0.00   4.39e-03   3.53e-03   5.15e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.59e+05   1.29e-02   0.97     14
ABELL_0068                  3250   0.20   0.00   0.00   0.00   0.00   0.03   1.22e-03   0.00e+00   2.00e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.76e+05   7.12e-03   4.14      4
ABELL_0267                  1448   0.20   0.00   0.00   1.00   0.00   0.00   5.36e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.40e+05   1.46e-01  14.69     23
ABELL_0267                  3580   0.20   0.00   0.00   0.00   0.00   0.00   2.50e-03   1.92e-03   3.07e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.98e+05   8.78e-03   3.04     10
ABELL_0399                  3230   0.20   0.00   0.00   0.00   0.00 1000.00   1.97e-04   0.00e+00   4.87e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   7.87e+05   5.70e-03   6.36     19
ABELL_0520                  4215   0.20   0.00   0.00   0.00   0.00   0.01   1.23e-03   8.57e-04   1.52e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.01e+05   4.32e-03   1.28     30
ABELL_0521                   430   0.20   0.00   0.00   0.00   0.00   0.01   8.67e-04   6.50e-04   9.97e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.25e+05   1.18e-02   1.71     14
ABELL_0586                   530   0.20   0.00   0.00   0.00   0.00   0.01   1.90e-03   1.13e-03   2.64e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.18e+05   1.01e-02   4.17      6
ABELL_0644                  2211   0.20   0.00   0.00   0.00   0.00   0.01   7.00e-04   0.00e+00   1.07e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.82e+05   5.98e-03   3.45     15
ABELL_1201                  4216   0.20   0.00   0.00   0.00   0.00   0.03   3.96e-04   0.00e+00   5.17e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.77e+05   9.68e-03   6.46     11
ABELL_1651                  4185   0.20   0.00   0.00   0.00   0.00   0.02   2.96e-03   2.22e-03   3.84e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.36e+05   7.01e-03   1.18      3
ABELL_1758                  2213   0.20   0.00   0.00   1.00   0.00   0.00   1.18e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.14e+05   1.93e-02  12.58     25
ABELL_1795                  5289   0.20   0.00   0.00   0.00   0.00   0.00   1.38e-02   1.27e-02   1.49e-02   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.13e+05   4.36e-02   6.27     20
ABELL_1942                  3290   0.20   0.00   0.00   0.00   0.00   0.00   2.98e-03   2.66e-03   3.30e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.34e+05   9.88e-03   2.21     25
ABELL_2069                  4965   0.20   0.00   0.00   1.00   0.00 1000.00   0.00e+00   0.00e+00   1.83e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.67e+05   1.10e-03   1.82     21
ABELL_2163                  1653   0.20   0.00   0.00   0.00   0.00   0.00   2.78e-03   2.51e-03   3.06e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.13e+05   1.02e-02   2.65     33
ABELL_2204                   499   0.20   0.00   0.00   0.09   0.00   0.00   4.75e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.58e+05   4.28e-02  14.31     10
ABELL_2204                  6104   0.20   0.00   0.00   0.00   0.00   0.01   1.63e-02   1.21e-02   1.81e-02   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.90e+05   3.89e-02   2.24      9
ABELL_2218                  1666   0.20   0.00   0.00   0.00   0.00 1000.00   1.60e-04   0.00e+00   4.62e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.47e+05   2.98e-03   1.73     19
ABELL_2294                  3246   0.20   0.00   0.00   0.00   0.00 1000.00   5.20e-04   0.00e+00   1.28e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.70e+05   3.66e-03   1.71      4
ABELL_2319                  3231   0.20   0.00   0.00   1.00   0.00   0.00   2.57e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.34e+05   8.69e-02  34.25     21
ABELL_2554                  1696   0.20   0.00   0.00   0.20   0.00   0.00   6.23e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.58e+05   1.87e-02  13.45     10
ABELL_2556                  2226   0.20   0.00   0.00   0.00   0.00   0.05   7.61e-04   0.00e+00   8.79e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.96e+05   1.49e-02   7.81     10
ABELL_2670                  4959   0.20   0.00   0.00   1.00   0.00 1000.00   0.00e+00   0.00e+00   3.00e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.70e+05  -3.71e-03   3.89     15
ABELL_3158                  3201   0.20   0.00   0.00   0.00   0.00   0.00   6.04e-03   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.09e+05   3.34e-02  14.86     21
ABELL_3562                  4167   0.20   0.00   0.00   0.42   0.00   0.00   5.98e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.02e+05   5.78e-02  24.44     21
CL_0024+17                   929   0.20   0.00   0.00   0.00   0.00   0.01   3.61e-04   2.57e-04   4.59e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.14e+05   6.37e-03   1.68     19
CL_J1213+0253               4934   0.20   0.00   0.00   1.00   0.00 1000.00   0.00e+00   0.00e+00   4.08e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.04e+05  -3.60e-05   1.76      7
HERCULES_A                  1625   0.20   0.00   0.00   1.00   0.00   0.00   5.72e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.46e+05   3.28e-02  14.14      9
MACS_J0011.7-1523           6105   0.20   0.00   0.00   1.00   0.00 1000.00   0.00e+00   0.00e+00   6.68e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.50e+05   1.01e-04   2.50     16
MACS_J0242.5-2132           3266   0.20   0.00   0.00   1.00   0.00 1000.00   0.00e+00   0.00e+00   3.31e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.35e+05   9.35e-04   2.68      3
MACS_J0329.6-0211           3257   0.20   0.00   0.00   0.00   0.00   0.01   2.92e-03   2.07e-03   3.72e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.87e+05   1.03e-02   1.19     11
MACS_J0329.6-0211           6108   0.20   0.00   0.00   0.00   0.00   0.00   2.18e-03   1.71e-03   2.60e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.44e+05   9.16e-03   1.48     35
MACS_J0429.6-0253           3271   0.20   0.00   0.00   0.00   0.00 1000.00   1.23e-03   0.00e+00   1.72e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.06e+05   2.98e-03   0.52      9
MACS_J0451.9+0006           5815   0.20   0.00   0.00   0.00   0.00   0.00   1.09e-02   9.16e-03   1.19e-02   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.67e+05   3.03e-02   1.74     14
MACS_J0717.5+3745           1655   0.20   0.00   0.00   0.00   0.00   0.00   2.89e-03   2.31e-03   3.46e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.00e+05   1.12e-02   1.35     16
MACS_J0717.5+3745           4200   0.20   0.00   0.00   0.00   0.00   0.00   1.26e-03   0.00e+00   1.00e+24   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.43e+05   7.88e-03   3.51     37
MACS_J1131.8-1955           3276   0.20   0.00   0.00   1.00   0.00 1000.00   9.68e-06   0.00e+00   8.29e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.44e+05   1.45e-03   1.39     10
MACS_J1319+7003             3278   0.20   0.00   0.00   1.00   0.00 1000.00   0.00e+00   0.00e+00   2.23e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.06e+05  -3.71e-05   1.05      8
MACS_J1427.6-2521           3279   0.20   0.00   0.00   0.01   0.00   0.03   4.51e-03   2.21e-03   6.12e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.34e+05   1.24e-02   1.78      8
MACS_J1621.3+3810           3594   0.20   0.00   0.00   0.00   0.00   0.00   4.63e-03   3.51e-03   5.74e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.77e+05   2.09e-02   6.07      9
MACS_J1931.8-2634           3282   0.20   0.00   0.00   0.00   0.00   0.00   1.55e-02   1.46e-02   1.64e-02   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.47e+05   3.86e-02   2.66     11
MACS_J2214.9-1359           5011   0.20   0.00   0.00   0.00   0.00   0.01   2.75e-03   2.06e-03   3.41e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.51e+05   8.27e-03   1.79     13
MACS_J2245.0+2637           3287   0.20   0.00   0.00   0.00   0.00   0.13   7.14e-04   0.00e+00   1.25e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.27e+05   4.34e-03   1.39     13
MACS_J2311+0338             3288   0.20   0.00   0.00   0.00   0.00   0.00   5.45e-03   4.58e-03   6.29e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.21e+05   2.20e-02   4.84     10
MS_0440.5+0204              4196   0.20   0.00   0.00   1.00   0.00   0.00   8.14e-06   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.58e+05   1.78e-02  13.42      8
MS_0839.8+2938              2224   0.20   0.00   0.00   0.00   0.00   0.00   1.60e-03   1.43e-03   1.74e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.09e+05   1.87e-02   2.15     18
MS_1008.1-1224               926   0.20   0.00   0.00   0.00   0.00   0.00   3.89e-03   3.54e-03   4.24e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.07e+05   1.71e-02   3.74     27
MS_2053.7-0449               551   0.20   0.00   0.00   0.00   0.00   0.01   3.32e-03   2.42e-03   3.66e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.19e+05   1.27e-02   1.09     31
RX_J1504.1-0248             5793   0.20   0.00   0.00   0.00   0.00   0.04   5.66e-04   0.00e+00   9.54e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.19e+05   2.78e-03   2.56     20
RX_J1525+0958               1664   0.20   0.00   0.00   0.00   0.00   0.00   1.01e-02   9.63e-03   1.05e-02   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.25e+05   2.56e-02   3.13     30
RX_J1532.9+3021             1665   0.20   0.00   0.00  82.08   0.00 1000.00   4.53e-07   0.00e+00   1.60e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.53e+05   3.88e-03   1.06      3
RX_J1720.1+2638             4361   0.20   0.00   0.00   0.00   0.00   0.05   9.82e-04   0.00e+00   1.41e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.01e+05   3.94e-03   1.77     11
RX_J1720.2+3536             6107   0.20   0.00   0.00   1.00   0.00 1000.00   0.00e+00   0.00e+00   3.85e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.30e+05  -2.07e-03   2.47     29
RX_J1720.2+3536             7225   0.20   0.00   0.00   1.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   1.03e+06  -1.92e-03   0.42    136
RX_J2129.6+0005              552   0.20   0.00   0.00   1.00   0.00 1000.00   0.00e+00   0.00e+00   5.12e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.10e+05   1.51e-03   1.49     10
ZWCL_1215                   4184   0.20   0.00   0.00   0.00   0.00   0.10   1.24e-03   0.00e+00   1.95e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.46e+05   4.33e-03   1.88      4
ZWCL_1358+6245               516   0.20   0.00   0.00   1.00   0.00   0.00   2.06e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.39e+05   3.27e-02  13.64     30
ZWCL_5247                    539   0.20   0.00   0.00   1.00   0.00   0.00   1.11e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.34e+05   3.51e-02  11.85      9
