#Model: mekal; Energy band: 0.5 keV --> 1.5 keV; Fe-frozen? yes; Tx-frozen? yes
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
1E0657_56                   3184   0.20   0.00   0.00   1.00   1.00   1.00   3.74e-05   3.14e-05   4.33e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.52e+05   4.41e-03   1.08     63
1E0657_56                   5361   0.20   0.00   0.00   1.00   1.00   1.00   1.43e-06   0.00e+00   7.26e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.71e+05   1.62e-03   0.94     63
1RXS_J2129.4-0741           3199   0.20   0.00   0.00   1.00   1.00   1.00   8.22e-05   6.56e-05   9.89e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.59e+05   1.29e-02   1.46     15
ABELL_0068                  3250   0.20   0.00   0.00   1.00   1.00   1.00   1.52e-05   0.00e+00   3.20e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.76e+05   7.12e-03   3.64      5
ABELL_0267                  1448   0.20   0.00   0.00   1.00   1.00   1.00   5.35e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.40e+05   1.46e-01  14.08     24
ABELL_0267                  3580   0.20   0.00   0.00   1.00   1.00   1.00   3.79e-05   2.57e-05   5.00e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.98e+05   8.78e-03   3.61     11
ABELL_0399                  3230   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   2.15e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   7.87e+05   5.70e-03   6.07     20
ABELL_0520                  4215   0.20   0.00   0.00   1.00   1.00   1.00   2.44e-05   1.76e-05   3.11e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.01e+05   4.32e-03   1.38     31
ABELL_0521                   430   0.20   0.00   0.00   1.00   1.00   1.00   1.58e-05   1.33e-05   1.84e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.25e+05   1.18e-02   1.98     15
ABELL_0586                   530   0.20   0.00   0.00   1.00   1.00   1.00   2.27e-05   6.89e-06   3.85e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.18e+05   1.01e-02   4.17      7
ABELL_0644                  2211   0.20   0.00   0.00   1.00   1.00   1.00   5.31e-06   0.00e+00   1.31e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.82e+05   5.98e-03   3.43     16
ABELL_1201                  4216   0.20   0.00   0.00   1.00   1.00   1.00   7.23e-06   4.83e-06   9.62e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.77e+05   9.68e-03   6.05     12
ABELL_1651                  4185   0.20   0.00   0.00   1.00   1.00   1.00   5.97e-05   3.96e-05   7.98e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.36e+05   7.01e-03   1.53      4
ABELL_1758                  2213   0.20   0.00   0.00   1.00   1.00   1.00   1.18e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.14e+05   1.93e-02  12.10     26
ABELL_1795                  5289   0.20   0.00   0.00   1.00   1.00   1.00   2.46e-04   2.21e-04   2.70e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.13e+05   4.36e-02   8.69     21
ABELL_1942                  3290   0.20   0.00   0.00   1.00   1.00   1.00   5.69e-05   5.01e-05   6.38e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.34e+05   9.88e-03   2.85     26
ABELL_2069                  4965   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   2.29e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.67e+05   1.10e-03   1.74     22
ABELL_2163                  1653   0.20   0.00   0.00   1.00   1.00   1.00   5.08e-05   4.48e-05   5.69e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.13e+05   1.02e-02   3.56     34
ABELL_2204                   499   0.20   0.00   0.00   1.00   1.00   1.00   4.56e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.58e+05   4.28e-02  13.39     11
ABELL_2204                  6104   0.20   0.00   0.00   1.00   1.00   1.00   3.66e-04   3.38e-04   3.95e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.90e+05   3.89e-02   3.45     10
ABELL_2218                  1666   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   5.19e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.47e+05   2.98e-03   1.65     20
ABELL_2294                  3246   0.20   0.00   0.00   1.00   1.00   1.00   4.19e-06   0.00e+00   2.07e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.70e+05   3.66e-03   1.45      5
ABELL_2319                  3231   0.20   0.00   0.00   1.00   1.00   1.00   2.56e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.34e+05   8.69e-02  32.69     22
ABELL_2554                  1696   0.20   0.00   0.00   1.00   1.00   1.00   1.35e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.58e+05   1.87e-02  12.30     11
ABELL_2556                  2226   0.20   0.00   0.00   1.00   1.00   1.00   1.57e-05   1.33e-05   1.81e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.96e+05   1.49e-02   7.27     11
ABELL_2670                  4959   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   6.24e-07   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.70e+05  -3.71e-03   3.65     16
ABELL_3158                  3201   0.20   0.00   0.00   1.00   1.00   1.00   9.82e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.09e+05   3.34e-02  16.69     22
