#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
1E0657_56                           3184          OA      0.2960     -0.4440     -0.5550     -0.0000     -0.0000
1E0657_56                           5356          OA      0.2960     -0.4440     -0.5550     -0.0000     -0.0000
1E0657_56                           5361          OA      0.2960     -0.4440     -0.5550     -0.0000     -0.0000
1RXS_J2129.4-0741                   3199           F      0.5700      0.0035      0.0005     51.5510      7.3644
1RXS_J2129.4-0741                   3595           F      0.5700      0.0035      0.0005     51.5510      7.3644
2PIGG_J0011.5-2850                  5797           F      0.0753      0.0110      0.0006      1.6756      0.0914
2PIGG_J0311.8-2655                  5799          NF      0.0618      0.0025      0.0003      0.2515      0.0252
2PIGG_J2227.0-3041                  5798           F      0.0729      0.2277      0.0068     32.3975      0.9675
3C_28.0                             3233           F      0.1952      1.3617      0.0454   1633.4775     54.4612
3C_28.0                             3233           F      0.1952      0.0247      0.0023     29.6298      2.7590
3C_295                              2254           F      0.4641      0.0095      0.0010     85.0399      8.9516
3C_388                              5295           F      0.0917      5.5968      0.1854   1294.0981     42.8684
4C_55.16                            4940           F      0.2420      8.2831      0.2485  16141.1180    484.2472
ABELL_0013                          4945          NF      0.0940      0.0025      0.0003      0.6094      0.0609
ABELL_0068                          3250           F      0.2546      0.0402      0.0013     87.9587      2.8444
ABELL_0068                          3250           F      0.2546      0.0591      0.0022    129.3124      4.8137
ABELL_0085                           904           F      0.0558      0.0588      0.0022      4.7811      0.1789
ABELL_0085                           904           F      0.0558      0.0567      0.0025      4.6103      0.2033
ABELL_0085                           904           F      0.0558      0.0027      0.0005      0.2195      0.0407
ABELL_0119                          4180          NF      0.0442      0.0025      0.0003      0.1254      0.0125
ABELL_0133                          2203           F      0.0558      0.1671      0.0060     13.5870      0.4879
ABELL_0133                          2203           F      0.0558      0.0321      0.0016      2.6101      0.1301
ABELL_0168                          3203          NF      0.0450      0.0025      0.0003      0.1301      0.0130
ABELL_0168                          3204          NF      0.0450      0.0025      0.0003      0.1301      0.0130
ABELL_0209                          3579          NF      0.2060      0.0025      0.0003      3.3840      0.3384
ABELL_0209                           522          NF      0.2060      0.0025      0.0003      3.3840      0.3384
ABELL_0267                          3580          NF      0.2300      0.0025      0.0003      4.3399      0.4340
ABELL_0370                           515           F      0.3747      0.0105      0.0010     56.4292      5.3742
ABELL_0383                          2321           F      0.1871      0.0409      0.0013     44.6304      1.4186
ABELL_0399                          3230           F      0.0716      0.0028      0.0005      0.3836      0.0685
ABELL_0478                          1669           F      0.0883      0.0369      0.0015      7.8734      0.3201
ABELL_0478                          1669           F      0.0883      0.0044      0.0006      0.9388      0.1280
ABELL_0478                          1669           F      0.0883      0.0477      0.0021     10.1778      0.4481
ABELL_0478                          6102           F      0.0883      0.0369      0.0015      7.8734      0.3201
ABELL_0478                          6102           F      0.0883      0.0044      0.0006      0.9388      0.1280
ABELL_0478                          6102           F      0.0883      0.0477      0.0021     10.1778      0.4481
ABELL_0496                          3361           F      0.0328      0.1206      0.0043      3.2735      0.1167
ABELL_0514                          3578          NF      0.0720      0.0025      0.0003      0.3465      0.0347
ABELL_0520                          4215           F      0.2020      0.0077      0.0017      9.9736      2.2020
ABELL_0521                           430          NF      0.2533      0.0025      0.0003      5.4064      0.5406
ABELL_0576                          3289          NF      0.0385      0.0025      0.0003      0.0943      0.0094
ABELL_0586                           530           F      0.1710      0.0055      0.0005      4.9137      0.4467
ABELL_0611                          3194          NF      0.2880      0.0025      0.0003      7.2625      0.7262
ABELL_0644                          2211           F      0.0698      0.0022      0.0005      0.2857      0.0649
ABELL_0644                          2211           F      0.0698      0.0038      0.0006      0.4935      0.0779
ABELL_0665                          3586           F      0.1810      0.0160      0.0020     16.2166      2.0271
ABELL_0697                          4217           F      0.2820      0.0070      0.0020     19.3700      5.5343
ABELL_0773                          5006           F      0.2170      0.0080      0.0010     12.1748      1.5218
ABELL_0781                           534           F      0.2984      0.0731      0.0026    230.5307      8.1995
ABELL_0907                          3185           F      0.1527      0.0686      0.0025     47.7444      1.7400
ABELL_0963                           903           F      0.2056      1.3922      0.0418   1876.2448     56.3332
ABELL_1060                          2220           F      0.0125      0.0628      0.0027      0.2399      0.0103
ABELL_1063S                         4966          OA      0.3540     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_1068                          1652           F      0.1375      0.0231      0.0011     12.7801      0.6086
ABELL_1201                          4216           F      0.1688      0.0100      0.0010      8.6814      0.8681
ABELL_1204                          2205          NF      0.1706      0.0025      0.0003      2.2219      0.2222
ABELL_1361                          2200           F      0.1171      0.8693      0.0263    339.4450     10.2696
ABELL_1413                          5003           F      0.1426      0.0035      0.0005      2.0967      0.2995
ABELL_1423                           538           F      0.2130      0.0333      0.0014     48.5950      2.0430
ABELL_1650                          4178          NF      0.0843      0.0025      0.0003      0.4835      0.0483
ABELL_1651                          4185           F      0.0840      0.0060      0.0005      1.1516      0.0960
ABELL_1664                          1648           F      0.1276      0.0364      0.0012     17.1166      0.5643
ABELL_1689                          1663           F      0.1843      0.0103      0.0005     10.8679      0.5276
ABELL_1689                          5004           F      0.1843      0.0699      0.0029     73.7541      3.0599
ABELL_1689                           540           F      0.1843      0.0103      0.0005     10.8679      0.5276
ABELL_1758                          2213           F      0.2792      0.0251      0.0029     67.8749      7.8421
ABELL_1763                          3591           F      0.1866      0.8651      0.0300    938.3866     32.5414
ABELL_1795                          5289           F      0.0625      0.9245      0.0277     95.2389      2.8536
ABELL_1835                           495           F      0.2532      0.0393      0.0016     84.9120      3.4570
ABELL_1914                          3593           F      0.1712      0.0234      0.0044     20.9596      3.9411
ABELL_1942                          3290           F      0.2240      0.7433      0.0239   1215.3407     39.0780
ABELL_1991                          3193           F      0.0565      0.0390      0.0012      3.2545      0.1001
ABELL_1995                           906          NF      0.3186      0.0025      0.0003      9.1810      0.9181
ABELL_2029                          4977           F      0.0765      0.5344      0.0186     84.1640      2.9294
ABELL_2029                          6101           F      0.0765      0.5344      0.0186     84.1640      2.9294
ABELL_2034                          2204           F      0.1130      0.0075      0.0010      2.7120      0.3616
ABELL_2065                         31821          NF      0.0730      0.0025      0.0003      0.3567      0.0357
ABELL_2069                          4965          NF      0.1160      0.0025      0.0003      0.9565      0.0957
ABELL_2104                           895          NF      0.1554      0.0025      0.0003      1.8083      0.1808
ABELL_2111                           544          NF      0.2300      0.0025      0.0003      4.3399      0.4340
ABELL_2124                          3238          NF      0.0658      0.0025      0.0003      0.2868      0.0287
ABELL_2125                          2207           F      0.2465      0.0411      0.0016     83.5258      3.2516
ABELL_2147                          3211           F      0.0356      0.0161      0.0011      0.5170      0.0353
ABELL_2163                          1653           F      0.1695      0.0306      0.0051     26.8096      4.4683
ABELL_2199                           497           F      0.0300      3.6787      0.1233     83.1768      2.7879
ABELL_2204                           499           F      0.1524      0.0693      0.0025     48.0237      1.7325
