#Cluster                Obsid             RA            Dec    Maj    Min  Theta       Flux      Flerr    Found	         z	type	notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s      "      "   deg.        mJy        mJy      ---        ---	----	----
1E0657_56                3184    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.2960	na	na
1E0657_56                5356    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.2960	na	na
1E0657_56                5361    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.2960	na	na
1RXS_J2129.4-0741        3199    21:29:15.38    -07:42:13.7   67.4   51.5    0.0       3.50       0.50        F	    0.5700	relic	no identified counterpart within 5'
1RXS_J2129.4-0741        3595    21:29:15.38    -07:42:13.7   67.4   51.5    0.0       3.50       0.50        F	    0.5700	relic	no identified counterpart within 5'
2PIGG_J0011.5-2850       5797    00:11:21.66    -28:51:16.2   29.5   23.3    0.0      11.00       0.60        F   0.0753     na     na
2PIGG_J0311.8-2655       5799    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0618     na     na
2PIGG_J2227.0-3041       5798    22:27:54.37    -30:34:31.2   17.4   14.1    0.0     227.70       6.80        F   0.0729     na     na
3C_28.0                  3233    00:55:50.38    +26:24:36.0   33.1   16.5  -31.9    1361.70      45.40        F	    0.1952	bcg	----
3C_28.0                  3233    00:55:53.07    +26:26:50.2   97.0   50.2  -83.9      24.70       2.30        F	    0.1952	none	possible relic
3C_295                   2254    14:11:15.09    +52:14:59.7   44.6   26.7  -23.2       9.50       1.00        F	    0.4641	bcg	----
3C_388                   5295     18:44:2.44    +45:33:32.1   34.9   17.5   70.6    5596.80     185.40        F	    0.0917	bcg	----
4C_55.16                 4940    08:34:54.91    +55:34:21.0   19.6   18.8    0.0    8283.10     248.50        F	    0.2420	bcg	----
ABELL_0013               4945    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0940     na     na
ABELL_0068               3250     00:37:6.35    +09:07:30.4   21.5   18.2    0.0      40.20       1.30        F	    0.2546	none	double pt source
ABELL_0068               3250     00:37:7.71    +09:08:24.0   17.5   18.9   54.0      59.10       2.20        F	    0.2546	none	double pt source
ABELL_0085                904    00:41:47.91    -09:16:41.6   34.8   14.9   -3.5      58.80       2.20        F	    0.0558	none	possible companion? lobe?
ABELL_0085                904    00:41:50.38    -09:18:13.7   16.2   15.3    7.9      56.70       2.50        F	    0.0558	bcg	obvious pt src at xr peak
ABELL_0085                904    00:41:58.61    -09:16:46.8   88.8   56.6    0.0       2.70       0.50        F	    0.0558	none	low sbr, diffuse, relic?
ABELL_0119               4180    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0442     na     na
ABELL_0133               2203    01:02:41.09    -21:52:30.1   36.5   29.7  -61.7     167.10       6.00        F	    0.0558	bcg	obvious pt src at xr peak
ABELL_0133               2203    01:02:44.98    -21:54:16.6   31.5   17.2  -13.8      32.10       1.60        F	    0.0558	none	possible companion? lobe?
ABELL_0168               3203    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0450     na     na
ABELL_0168               3204    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0450     na     na
ABELL_0209               3579    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.2060     na     na
ABELL_0209                522    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.2060     na     na
ABELL_0267               3580    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.2300	na	na
ABELL_0370                515    02:39:55.31    -01:34:18.3   35.3   39.4  -25.6      10.50       1.00        F	    0.3747	bcg	offset pt src with spur
