#Name                              Obsid          ne      nerrlo      nerrhi     tcool      tclo      tchi
#Name                              Obsid      cm**-3          --          --       Gyr        --        --
1E0657_56                           5356    2.55E-03    1.28E-04    1.28E-04    47.167     2.420     2.417
1RXS_J2129.4-0741                   3199    2.79E-03    1.58E-04    1.58E-04    35.752     2.896     3.272
2PIGG_J0011.5-2850                  5797    8.40E-04    4.36E-05    4.27E-05    93.881     5.343     5.291
2PIGG_J2227.0-3041                  5798    1.02E-03    5.63E-05    5.63E-05    57.091     3.463     3.506
3C_220.1                             839    9.70E-04    8.47E-05    8.47E-05    91.403    20.698    47.916
3C_28.0                             3233    1.83E-03    9.34E-05    9.34E-05    44.672     2.528     2.564
3C_295                              2254    1.46E-03    7.78E-05    8.04E-05    54.102     3.506     3.706
3C_388                              5295    7.47E-04    4.37E-05    4.46E-05    83.601     5.598     5.811
4C_55.16                            4940    1.91E-03    9.73E-05    9.73E-05    40.575     2.179     2.179
ABELL_0068                          3250    1.24E-03    6.82E-05    6.94E-05    83.762     7.010     8.508
ABELL_0168                          3203    5.76E-04    3.04E-05    3.00E-05    96.523     5.313     5.444
ABELL_0209                          3579    1.48E-03    7.71E-05    7.78E-05    63.453     3.981     4.208
ABELL_0267                          3580    1.50E-03    7.81E-05    7.81E-05    60.136     3.782     4.021
ABELL_0370                           515    1.63E-03    8.35E-05    8.64E-05    57.720     4.427     4.163
ABELL_0383                          2321    1.92E-03    1.01E-04    1.01E-04    40.174     2.382     2.421
ABELL_0399                          3230    1.17E-03    5.92E-05    5.88E-05    83.658     4.533     4.589
ABELL_0401                           518    1.30E-03    6.59E-05    6.59E-05    67.189     3.537     3.537
ABELL_0478                          6102    2.10E-03    1.06E-04    1.06E-04    44.774     2.372     2.392
ABELL_0514                          3578    6.02E-04    3.18E-05    3.20E-05   109.488     6.395     6.432
ABELL_0520                          4215    1.69E-03    8.61E-05    8.58E-05    62.668     3.780     3.905
ABELL_0521                           430    1.60E-03    8.35E-05    8.35E-05    57.453     3.693     3.842
ABELL_0586                           530    1.22E-03    6.53E-05    6.53E-05    72.290     4.672     4.937
ABELL_0611                          3194    1.69E-03    8.74E-05    8.74E-05    54.474     3.364     3.520
ABELL_0665                          3586    1.57E-03    8.01E-05    8.01E-05    60.313     3.367     3.437
ABELL_0697                          4217    1.90E-03    9.78E-05    9.78E-05    56.397     3.673     3.881
ABELL_0773                          5006    1.43E-03    7.42E-05    7.42E-05    67.884     4.299     4.534
ABELL_0907                          3185    1.68E-03    8.49E-05    8.49E-05    48.992     2.602     2.602
ABELL_0963                           903    1.67E-03    8.51E-05    8.51E-05    53.853     2.991     3.024
ABELL_1063S                         4966    2.01E-03    1.02E-04    1.02E-04    59.687     3.614     3.741
ABELL_1204                          2205    1.82E-03    9.67E-05    9.81E-05    36.382     2.094     2.160
ABELL_1423                           538    1.16E-03    6.41E-05    6.47E-05    73.482     5.643     6.153
ABELL_1651                          4185    1.27E-03    6.52E-05    6.52E-05    68.177     3.786     3.853
ABELL_1689                           540    1.73E-03    8.70E-05    8.79E-05    61.983     3.329     3.394
ABELL_1758                          2213    1.70E-03    8.70E-05    8.70E-05    71.277     4.541     4.972
ABELL_1763                          3591    1.44E-03    7.46E-05    7.49E-05    67.089     4.325     4.522
ABELL_1835                           495    2.63E-03    1.32E-04    1.33E-04    41.295     2.344     2.410
ABELL_1914                          3593    1.79E-03    9.09E-05    9.09E-05    60.080     3.407     3.495
ABELL_1942                          3290    1.04E-03    5.63E-05    5.77E-05    72.948     4.769     4.985
ABELL_1995                           906    2.91E-03    1.50E-04    1.50E-04    34.585     2.184     2.296
ABELL_2034                          2204    1.20E-03    6.02E-05    6.02E-05    77.428     4.064     4.080
ABELL_2069                          4965    9.16E-04    4.66E-05    4.66E-05    96.641     5.363     5.489
ABELL_2111                           544    1.23E-03    6.83E-05    6.76E-05    75.256     6.521     7.961
ABELL_2125                          2207    1.14E-03    7.81E-05    7.88E-05    51.602     4.277     4.459
ABELL_2163                          1653    1.81E-03    9.12E-05    9.12E-05    83.963     4.572     4.632
ABELL_2204                          6104    1.82E-03    9.34E-05    9.25E-05    56.157     3.341     3.421
ABELL_2218                          1666    1.48E-03    7.46E-05    7.49E-05    63.847     3.569     3.659
ABELL_2255                           894    1.04E-03    5.23E-05    5.23E-05    82.969     4.381     4.402
ABELL_2259                          3245    1.60E-03    8.72E-05    8.67E-05    49.279     3.258     3.446
ABELL_2261                          5007    1.89E-03    9.63E-05    9.63E-05    50.778     2.957     3.024
ABELL_2294                          3246    1.41E-03    7.56E-05    7.56E-05    77.827     6.040     6.964
ABELL_2384                          4202    1.22E-03    6.27E-05    6.29E-05    61.854     3.426     3.486
ABELL_2409                          3247    1.67E-03    8.77E-05    8.74E-05    50.832     3.131     3.241
ABELL_2537                          4962    1.66E-03    8.63E-05    8.63E-05    60.556     3.987     4.170
ABELL_2550                          2225    1.09E-03    6.37E-05    6.63E-05    45.787     2.946     3.091
ABELL_2631                          3248    1.54E-03    8.44E-05    8.51E-05    60.110     4.868     5.609
ABELL_2667                          2214    2.35E-03    1.21E-04    1.21E-04    38.485     2.336     2.418
ABELL_2670                          4959    1.02E-03    5.24E-05    5.23E-05    67.891     3.648     3.691
ABELL_2717                          6974    8.32E-04    4.84E-05    4.84E-05    67.751     4.449     4.510
ABELL_2744                          2212    1.95E-03    9.93E-05    9.95E-05    54.017     3.269     3.408
ABELL_3164                          6955    4.10E-04    3.48E-05    3.55E-05   142.590    13.752    18.192
ABELL_3376                          3202    6.65E-04    3.38E-05    3.34E-05   110.511     5.808     5.712
ABELL_3921                          4973    1.06E-03    5.39E-05    5.39E-05    78.285     4.285     4.311
AC_114                              1562    1.58E-03    8.02E-05    8.14E-05    60.285     3.530     3.670
CL_0024+17                           929    1.14E-03    7.66E-05    7.39E-05    75.053     8.510    11.424
CL_1221+4918                        1662    1.44E-03    8.43E-05    8.49E-05    62.046     5.892     6.867
CL_J0030+2618                       5762    7.53E-04    8.22E-05    9.42E-05    99.220    17.812    31.676
CL_J0152-1357                        913    1.26E-03    7.91E-05    8.34E-05    74.857    10.193    15.039
CL_J0542.8-4100                      914    1.40E-03    8.37E-05    8.63E-05    61.263     6.445     8.327
