#Name		z	Tm	Thi	Tmlo	beta	betahi	betalo	rc	rchi	rclo	ne0	ne0hi	ne0lo	tcool	tchi	tclo	Mdot	Mdhi	Mdlo
2A_0335+096	0.0349	3.01	0.07	0.07	0.575	0.004	0.003	33	0	0	5.47	0.06	0.06	0.10	0.00	0.00	360	20	17
3C_129		0.0223	5.60	0.70	0.60	0.601	0.260	0.131	318	178	107	0.18	0.07	0.04	4.71	1.62	1.39	0	0	0
ABELL_0085	0.0556	6.10	0.20	0.20	0.532	0.004	0.004	82	3	3	2.57	0.10	0.10	0.33	0.02	0.02	200	33	27
ABELL_0119	0.0440	5.80	0.60	0.60	0.675	0.026	0.023	501	27	26	0.15	0.01	0.01	5.49	0.63	0.58	0	0	0
ABELL_0133	0.0569	3.80	2.00	0.90	0.530	0.004	0.004	45	1	1	2.80	0.08	0.08	0.23	0.09	0.04	108	55	51
ABELL_0262	0.0161	2.15	0.06	0.06	0.443	0.018	0.017	41	11	9	0.81	0.13	0.09	0.56	0.07	0.08	14	4	4
ABELL_0399	0.0715	7.40	0.70	0.70	0.713	0.137	0.095	449	131	99	0.22	0.04	0.03	4.32	0.78	0.70	0	0	0
ABELL_0400	0.0240	2.31	0.14	0.14	0.534	0.014	0.013	154	9	8	0.20	0.01	0.01	2.39	0.13	0.12	0	0	0
ABELL_0401	0.0748	8.30	0.50	0.50	0.613	0.010	0.010	245	11	10	0.60	0.05	0.04	1.67	0.15	0.14	0	0	0
ABELL_0478	0.0900	7.10	0.40	0.40	0.613	0.004	0.004	98	2	2	3.55	0.15	0.14	0.26	0.02	0.02	645	137	113
ABELL_0496	0.0328	4.13	0.08	0.08	0.484	0.003	0.003	30	1	1	4.07	0.29	0.26	0.17	0.01	0.01	114	35	28
ABELL_0539	0.0288	3.24	0.09	0.09	0.561	0.020	0.018	147	13	12	0.72	0.12	0.09	0.84	0.13	0.12	3	1	1
ABELL_0548e	0.0410	3.10	0.10	0.10	0.480	0.013	0.013	118	12	11	0.28	0.02	0.01	2.09	0.11	0.12	0	0	0
ABELL_0548w	0.0424	1.20	0.19	0.17	0.666	0.194	0.111	198	89	61	0.10	0.03	0.02	2.28	0.67	0.59	0	0	0
ABELL_0576	0.0381	4.02	0.07	0.07	0.825	0.432	0.185	394	221	125	0.16	0.06	0.04	4.27	1.22	1.09	0	0	0
ABELL_0644	0.0704	7.10	0.60	0.60	0.700	0.011	0.011	202	6	6	0.78	0.01	0.01	1.18	0.08	0.08	16	29	15
ABELL_0754	0.0528	9.00	0.50	0.50	0.698	0.027	0.024	239	17	16	0.44	0.02	0.02	2.41	0.13	0.13	0	0	0
ABELL_1060	0.0114	3.24	0.06	0.06	0.607	0.040	0.034	94	15	12	0.47	0.04	0.04	1.29	0.11	0.11	0	0	0
ABELL_1367	0.0216	3.55	0.08	0.08	0.695	0.035	0.032	383	24	22	0.15	0.01	0.01	4.29	0.22	0.21	0	0	0
ABELL_1413	0.1427	7.32	0.26	0.24	0.660	0.017	0.015	178	12	11	1.24	0.07	0.07	0.72	0.05	0.04	190	40	32
