# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
1E0657_56         5356+3184+5361   0.19   0.19  6.53  0.00  0.00 12.15 11.16 13.41  0.33  0.22  0.44   3.09e-04   3.00e-04   3.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.029   98.3   1.00    244
3C_28.0                     3233   0.00   0.25  5.71  0.00  0.00  3.02  2.93  3.10  0.64  0.55  0.75   9.63e-04   9.20e-04   1.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.097   99.2 138.76    121
ABELL_0168             3203+3204   0.98   0.98  3.27  0.00  0.00  3.00  2.69  3.37  0.54  0.31  0.87   1.76e-04   1.56e-04   1.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.023   56.8   0.60     40
ABELL_0209              3579+522   0.25   0.25  1.68  0.00  0.00  9.53  7.25 12.11  0.05  0.00  0.84   3.88e-04   3.36e-04   4.12e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.037   98.8   0.17    160
ABELL_0267             3580+1448   0.23   0.23  2.74  0.00  0.00  6.92  6.07  8.05  0.73  0.34  1.18   3.37e-04   3.06e-04   3.66e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.037   97.8   0.22    171
ABELL_0401                   518   0.00   0.61 12.48  0.00  0.00  7.38  6.82  8.04  0.66  0.43  0.92   1.61e-03   1.53e-03   1.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  0.210   96.3 102.09     87
ABELL_0514                  3578   0.00   0.63  3.14  0.00  0.00  6.89  4.80 20.98  0.73  0.73  0.73   4.09e-05   3.78e-05   4.64e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.005   62.0   9.56      7
ABELL_0665                  3586   0.00   0.27  4.24  0.00  0.00  7.51  6.63  8.76  0.43  0.18  0.68   5.01e-04   4.76e-04   5.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.051   98.2  60.03     53
ABELL_0907                  3185   0.00   0.31  5.69  0.00  0.00  4.27  4.17  4.39  0.75  0.67  0.83   1.83e-03   1.78e-03   1.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.210   99.4 185.72    184
ABELL_1204                  2205   0.00   0.29  1.44  0.00  0.00  3.47  3.38  3.55  0.60  0.53  0.68   3.41e-03   3.32e-03   3.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.383   99.8 162.15    160
