SEQ_NUM	OBSID	INSTR	GRAT	APP_EXP	EXP_TIME	TARGET_NAME	UPTARGET_NAME	PI_NAME	OBSERVER	RA	DEC	STATUS	START_DATE	PUBLIC_AVAIL	PR_NUM	CATEGORY	TYPE	AO	PR_TITLE	OBS_MODE	JOINT_OBS	COI_CONTACT	GAL_L	GAL_B
-------	-----	-----	----	-------	--------	-----------	-------------	-------	--------	--	---	------	----------	------------	------	--------	----	--	--------	--------	---------	-----------	-----	-----
800122	1654	ACIS-I	NONE	20.0	20.11	MACS J0257.1-2325	MACSJ0257.1-2325	VANSPEYBROECK		02 57 07.90	-23 26 06.00	archived	2000-10-03 10:28:32.0	2001-10-13 10:35:00.0	02800088	CLUSTERS OF GALAXIES	GTO	02	DETERMINATION OF H0 AND Q0, 2000 PART 2		None	N	212.5659382486402	-61.421487324638136
800123	1655	ACIS-I	NONE	20.0	20.13	MACS J0717.5+3745	MACSJ0717.5+3745	VANSPEYBROECK		07 17 31.00	+37 45 39.60	archived	2001-01-29 07:45:28.0	2002-02-07 08:25:00.0	02800088	CLUSTERS OF GALAXIES	GTO	02	DETERMINATION OF H0 AND Q0, 2000 PART 2		None	N	180.2415379169518	21.046180552974565
800124	1656	ACIS-I	NONE	20.0	18.76	MACS J1149.5+2223	MACSJ1149.5+2223	VANSPEYBROECK		11 49 35.80	+22 23 56.40	archived	2001-06-01 07:47:24.0	2002-06-06 13:45:00.0	02800088	CLUSTERS OF GALAXIES	GTO	02	DETERMINATION OF H0 AND Q0, 2000 PART 2		None	N	228.18195208567798	75.19950783718659
800125	1657	ACIS-I	NONE	20.0	18.77	MACS J1423.8+2404	MACSJ1423.8+2404	VANSPEYBROECK		14 23 48.00	+24 04 44.40	archived	2001-06-01 13:23:16.0	2002-06-06 13:45:00.0	02800088	CLUSTERS OF GALAXIES	GTO	02	DETERMINATION OF H0 AND Q0, 2000 PART 2		None	N	29.759990223206913	68.98527641863777
800251	3251	ACIS-I	NONE	20.0	19.59	MACS-J0025.4-1222	MACS-J0025.4-1222	VANSPEYBROECK		00 25 31.40	-12 22 59.00	archived	2002-11-11 16:01:46.0	2003-11-15 20:22:50.0	03800996	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5, SECOND SET		None	N	99.2835458243573	-74.05295092085868
800256	3256	ACIS-I	NONE	20.0	19.64	MACS-J0111.5+0855	MACS-J0111.5+0855	VANSPEYBROECK		01 11 31.50	+08 55 40.00	archived	2002-11-20 10:11:44.0	2003-11-21 20:19:21.0	03800995	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5		None	N	131.31430783522114	-53.61672590731628
800302	3581	ACIS-I	NONE	20.0	18.72	MACS-J0257.1-2325	MACS-J0257.1-2325	VANSPEYBROECK		02 57 08.60	-23 26 06.00	archived	2003-08-23 12:38:45.0	2004-08-27 20:15:51.0	04800103	CLUSTERS OF GALAXIES	GTO	04	X-RAY/SZ DETERMINATION OF COSMOLOGICAL PARAMETERS		None	N	212.56729858146483	-61.418891578837545
800257	3257	ACIS-I	NONE	10.0	9.99	MACS-J0329.6-0211	MACS-J0329.6-0211	VANSPEYBROECK		03 29 40.30	-02 11 39.00	archived	2001-11-25 23:48:37.0	2002-11-29 09:29:12.0	03800995	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5		None	N	186.43739128964182	-44.67735409726391
800303	3582	ACIS-I	NONE	20.0	20.11	MACS-J0329.6-0211	MACS-J0329.6-0211	VANSPEYBROECK		03 29 40.80	-02 11 52.80	archived	2002-12-24 19:33:20.0	2003-12-31 20:21:45.0	04800103	CLUSTERS OF GALAXIES	GTO	04	X-RAY/SZ DETERMINATION OF COSMOLOGICAL PARAMETERS		None	N	186.4434556451042	-44.678009323471635
