#Name			elli	elhi	ello	w	werr	Rw	B500	B5hi	B5lo
1E0657-56		0.13	0.00	0.00	2.29	0.19	1.00	1.04	0.04	0.03
ABELL_0068		0.31	0.02	0.02	1.19	0.10	1.00	0.78	0.18	0.16
ABELL_0115		0.25	0.01	0.01	6.95	0.59	1.00	0.64	0.02	0.02
ABELL_0209		0.21	0.01	0.01	0.55	0.05	1.00	0.73	0.04	0.04
ABELL_0267		0.28	0.02	0.02	3.21	0.28	1.00	0.79	0.10	0.10
ABELL_0383		0.04	0.01	0.01	0.18	0.02	1.00	0.68	0.09	0.08
ABELL_0520		0.07	0.01	0.01	6.43	0.54	1.00	0.94	0.03	0.03
ABELL_0521		0.20	0.01	0.01	4.18	0.36	1.00	0.78	0.02	0.02
ABELL_0586		0.08	0.02	0.02	0.26	0.02	0.81	0.80	0.14	0.12
ABELL_0665		0.07	0.01	0.01	3.40	0.29	0.77	0.72	0.02	0.02
ABELL_0697		0.23	0.01	0.01	0.41	0.03	1.00	0.73	0.05	0.05
ABELL_0773		0.21	0.01	0.01	1.05	0.09	1.00	0.60	0.04	0.04
ABELL_0781		0.13	0.03	0.03	3.88	0.34	1.00	0.55	0.08	0.08
ABELL_0907		0.29	0.00	0.00	0.81	0.07	1.00	0.92	0.05	0.04
ABELL_1063S		0.20	0.01	0.01	0.74	0.06	1.00	0.74	0.07	0.07
ABELL_1204		0.16	0.01	0.01	0.34	0.03	1.00	0.57	0.08	0.08
ABELL_1240		0.28	0.02	0.02	1.66	0.15	1.00	1.05	0.06	0.06
ABELL_1413		0.32	0.00	0.00	0.34	0.03	0.90	0.67	0.03	0.03
ABELL_1682		0.22	0.04	0.04	3.92	0.34	0.70	0.41	0.10	0.09
ABELL_1689		0.13	0.01	0.01	0.36	0.03	1.00	0.84	0.06	0.06
ABELL_1763		0.31	0.01	0.01	0.69	0.06	0.95	0.76	0.05	0.05
ABELL_1914		0.16	0.01	0.01	1.94	0.16	0.81	1.37	0.19	0.16
ABELL_1942		0.11	0.02	0.02	0.93	0.08	1.00	0.57	0.03	0.03
ABELL_2034		0.15	0.01	0.01	0.86	0.07	0.81	0.90	0.04	0.04
ABELL_2069		0.37	0.01	0.01	0.85	0.07	0.74	0.82	0.05	0.05
ABELL_2111		0.28	0.02	0.02	2.08	0.18	1.00	0.56	0.08	0.08
ABELL_2125		0.32	0.02	0.02	1.65	0.15	1.00	0.56	0.03	0.03
ABELL_2163		0.17	0.01	0.01	2.51	0.20	0.63	1.48	0.15	0.13
ABELL_2204		0.09	0.01	0.01	0.25	0.02	0.86	0.89	0.11	0.10
ABELL_2218		0.21	0.01	0.01	1.87	0.16	1.00	0.87	0.04	0.04
ABELL_2259		0.20	0.02	0.02	0.77	0.07	0.95	1.04	0.20	0.16
ABELL_2261		0.10	0.01	0.01	0.71	0.06	1.00	0.68	0.04	0.04
ABELL_2294		0.07	0.02	0.02	1.23	0.10	0.77	1.22	0.32	0.25
ABELL_2409		0.13	0.02	0.02	1.08	0.09	0.70	0.92	0.14	0.12
ABELL_2631		0.22	0.02	0.02	5.01	0.43	1.00	0.76	0.11	0.10
CL_J0030+2618		0.30	0.06	0.06	3.63	0.33	1.00	0.68	0.47	0.30
CL_J0152.7-1357N	0.06	0.07	0.06	2.34	0.22	1.00	0.91	0.21	0.18
CL_J0152.7-1357S	0.42	0.05	0.06	4.99	0.47	1.00	0.44	0.29	0.28
CL_J0216-1747		0.46	0.07	0.09	1.18	0.10	1.00	-1.00	-1.00	-1.00
CL_J0318-0302		0.16	0.05	0.05	3.09	0.28	1.00	0.57	0.26	0.22
CL_J0522-3625		0.32	0.06	0.07	1.29	0.12	1.00	0.88	0.31	0.23
CL_J0542.8-4100		0.27	0.03	0.03	3.78	0.34	1.00	0.56	0.16	0.15
CL_J0848.7+4456		0.34	0.05	0.05	1.06	0.10	1.00	0.28	0.17	0.18
CL_J0853+5759		0.36	0.05	0.05	1.54	0.14	1.00	0.67	0.54	0.38
CL_J0926+1242		0.37	0.04	0.04	0.36	0.03	1.00	0.60	0.17	0.16
CL_J0956+4107		0.42	0.04	0.04	3.90	0.36	1.00	0.66	0.22	0.20
CL_J1113.1-2615		0.00	0.38	0.00	0.88	0.08	1.00	-1.00	-1.00	-1.00
CL_J1117+1745		0.28	0.06	0.07	1.43	0.13	1.00	0.76	0.23	0.19
CL_J1120+4318		0.14	0.05	0.05	0.93	0.08	1.00	1.01	0.27	0.21
CL_J1213+0253		0.06	0.08	0.06	1.72	0.16	1.00	-1.00	-1.00	-1.00
CL_J1216+2633		0.18	0.08	0.09	0.67	0.06	1.00	-1.00	-1.00	-1.00
CL_J1226.9+3332		0.10	0.03	0.03	1.30	0.11	1.00	-1.00	-1.00	-1.00
CL_J1334+5031		0.22	0.08	0.09	1.70	0.16	1.00	0.53	0.46	0.40
CL_J1354-0221		0.23	0.05	0.06	2.58	0.24	1.00	0.65	0.14	0.13
CL_J1415.1+3612		0.13	0.05	0.05	1.20	0.11	1.00	0.62	0.15	0.13
CL_J1641+4001		0.18	0.05	0.06	0.45	0.04	1.00	0.34	0.17	0.16
CL_J2302.8+0844		0.12	0.05	0.06	1.11	0.10	1.00	0.42	0.11	0.11
MACS_J0159.8-0849	0.06	0.01	0.01	0.34	0.03	1.00	0.69	0.06	0.05
MACS_J0242.5-2132	0.00	0.18	0.00	0.33	0.03	1.00	0.91	0.18	0.16
MACS_J0257.6-2209	0.14	0.02	0.02	0.43	0.04	1.00	0.83	0.13	0.12
MACS_J0329.6-0211	0.15	0.03	0.03	1.38	0.13	1.00	0.93	0.11	0.10
MACS_J0404.6+1109	0.28	0.03	0.03	2.92	0.25	1.00	0.43	0.06	0.06
MACS_J0429.6-0253	0.21	0.02	0.02	0.38	0.03	1.00	0.79	0.16	0.14
MACS_J0451.9+0006	0.00	0.61	0.00	1.59	0.14	1.00	0.70	0.13	0.12
MACS_J0647.7+7015	0.36	0.02	0.02	0.62	0.06	1.00	0.58	0.10	0.10
MACS_J0717.5+3745	0.30	0.01	0.01	2.11	0.18	1.00	0.84	0.04	0.04
MACS_J0744.9+3927	0.11	0.02	0.02	1.41	0.13	1.00	0.65	0.04	0.04
MACS_J0949.8+1708	0.15	0.02	0.02	1.07	0.09	1.00	0.61	0.06	0.06
MACS_J1131.8-1955	0.31	0.02	0.02	2.91	0.25	1.00	0.72	0.05	0.05
MACS_J1149.5+2223	0.25	0.02	0.02	1.21	0.10	1.00	0.66	0.07	0.07
MACS_J1311.0-0310	0.08	0.02	0.02	0.39	0.03	1.00	1.00	0.30	0.23
MACS_J1423.8+2404	0.17	0.03	0.03	0.25	0.02	1.00	0.59	0.14	0.13
MACS_J1621.3+3810	0.18	0.02	0.02	0.25	0.02	1.00	0.88	0.14	0.12
MACS_J1720.2+3536	0.17	0.02	0.02	0.57	0.05	1.00	0.97	0.17	0.15
MACS_J1824.3+4309	0.20	0.08	0.08	3.57	0.32	1.00	0.71	0.12	0.12
MACS_J1931.8-2634	0.30	0.01	0.01	0.28	0.02	1.00	0.69	0.10	0.09
MACS_J2129.4-0741	0.19	0.03	0.03	1.56	0.14	1.00	1.22	0.20	0.17
MACS_J2228.5+2036	0.03	0.03	0.01	3.00	0.26	1.00	0.79	0.06	0.05
MACS_J2229.7-2755	0.19	0.02	0.02	0.27	0.02	1.00	0.77	0.12	0.11
MACS_J2245.0+2637	0.23	0.02	0.02	0.36	0.03	1.00	0.58	0.15	0.14
MS_0015.9+1609		0.18	0.01	0.01	0.90	0.08	1.00	0.58	0.04	0.04
MS_0302.7+1658		0.36	0.05	0.05	2.00	0.18	1.00	0.28	0.27	0.29
MS_0451.6-0305		0.25	0.02	0.02	0.94	0.08	1.00	0.73	0.09	0.09
MS_0906.5+1110		0.19	0.01	0.01	4.82	0.42	0.95	0.54	0.04	0.04
MS_1006.0+1202		0.24	0.02	0.02	2.19	0.19	1.00	0.70	0.09	0.09
MS_1008.1-1224		0.18	0.03	0.03	4.87	0.43	1.00	0.75	0.15	0.13
MS_1137.5+6625		0.14	0.02	0.03	0.34	0.03	1.00	0.41	0.10	0.10
MS_1455.0+2232		0.21	0.01	0.01	0.38	0.03	1.00	0.55	0.03	0.03
MS_1621.5+2640		0.10	0.03	0.03	1.94	0.17	1.00	0.81	0.12	0.11
MS_2053.7-0449		0.14	0.04	0.04	0.95	0.09	1.00	0.53	0.19	0.18
RBS_797			0.27	0.01	0.01	0.21	0.02	1.00	0.88	0.16	0.14
RDCS_1252-29		0.12	0.07	0.12	0.83	0.08	1.00	0.91	0.27	0.21
RX_J0027.6+2616		0.20	0.05	0.05	1.62	0.14	1.00	0.62	0.14	0.13
RX_J0232.2-4420		0.17	0.01	0.01	2.24	0.19	1.00	0.96	0.15	0.14
RX_J0439+0520		0.11	0.02	0.03	0.30	0.03	1.00	0.47	0.14	0.14
RX_J0439.0+0715		0.20	0.01	0.01	0.57	0.05	1.00	0.88	0.09	0.09
RX_J0910+5422		0.07	0.10	0.07	1.68	0.16	1.00	-1.00	-1.00	-1.00
RX_J1121+2327		0.16	0.03	0.03	1.39	0.13	1.00	0.84	0.13	0.12
RX_J1221+4918		0.18	0.03	0.03	1.28	0.12	1.00	0.69	0.06	0.06
RX_J1234.2+0947		0.10	0.05	0.05	4.71	0.40	0.95	1.00	0.35	0.25
RX_J1317.4+2911		0.52	0.07	0.08	1.26	0.12	1.00	1.22	0.70	0.39
RX_J1347.5-1145		0.26	0.01	0.01	0.63	0.05	1.00	0.80	0.08	0.07
RX_J1350.0+6007		0.37	0.05	0.05	2.67	0.24	1.00	0.62	0.20	0.18
RX_J1416+4446		0.25	0.03	0.03	0.82	0.07	1.00	0.52	0.10	0.10
RX_J1504-0248		0.23	0.01	0.01	0.15	0.01	1.00	0.80	0.11	0.10
RX_J1525+0958		0.23	0.03	0.04	2.04	0.19	1.00	0.73	0.10	0.09
RX_J1532.9+3021		0.18	0.02	0.02	0.07	0.01	1.00	0.69	0.09	0.09
RX_J1701+6414		0.27	0.03	0.03	1.39	0.13	1.00	0.60	0.10	0.10
RX_J1716.9+6708		0.32	0.04	0.04	0.60	0.05	1.00	0.73	0.18	0.15
RX_J1720.1+2638		0.14	0.01	0.01	0.16	0.01	1.00	0.73	0.05	0.05
RX_J2011.3-5725		0.00	0.44	0.00	0.37	0.03	1.00	0.73	0.12	0.11
RX_J2129.6+0005		0.26	0.02	0.02	0.55	0.05	1.00	0.82	0.15	0.13
RX_J2247+0337		0.21	0.05	0.06	0.53	0.05	1.00	0.17	0.34	0.39
ZWCL_3146		0.18	0.01	0.01	0.23	0.02	1.00	0.78	0.08	0.07
ZWCL_J1953		0.18	0.02	0.02	2.39	0.20	1.00	0.84	0.12	0.11
