# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk  chisq    dof
1E0657_56                   3184    0.5    0.4  6.53  0.00  0.00  8.23  7.97  8.50  0.28  0.24  0.31   1.06e-02   1.05e-02   1.07e-02  0.69  0.66  0.71  0.840  0.830  0.849  0.2960  0.939      0   3.50    402
1E0657_56                   3184   0.75    0.4  6.53  0.00  0.00  6.06  5.86  6.19  0.33  0.30  0.36   1.06e-02   1.05e-02   1.07e-02  0.51  0.49  0.52  0.844  0.834  0.853  0.2960  0.934      0   6.08    399
1E0657_56                   3184    1.0    0.4  6.53  0.00  0.00  5.02  4.88  5.14  0.33  0.31  0.37   1.12e-02   1.11e-02   1.13e-02  0.42  0.40  0.43  0.890  0.878  0.899  0.2960  0.964      0   8.26    397
1E0657_56                   3184    2.0    0.4  6.53  0.00  0.00  4.94  4.82  5.05  0.25  0.22  0.27   1.19e-02   1.18e-02   1.20e-02  0.41  0.40  0.43  0.944  0.933  0.953  0.2960  0.970      0   3.12    402
1E0657_56                   3184    3.0    0.4  6.53  0.00  0.00  5.85  5.72  5.99  0.21  0.18  0.24   1.22e-02   1.21e-02   1.23e-02  0.49  0.47  0.50  0.970  0.958  0.978  0.2960  1.010      0   1.27    397
1E0657_56                   3184    0.5    0.3  6.53  0.00  0.00  8.96  8.68  9.26  0.30  0.26  0.34   1.14e-02   1.13e-02   1.15e-02  0.75  0.72  0.78  0.906  0.895  0.914  0.2960  1.017      0   2.33    407
1E0657_56                   3184   0.75    0.3  6.53  0.00  0.00  6.96  6.77  7.17  0.28  0.25  0.32   1.11e-02   1.10e-02   1.12e-02  0.58  0.56  0.60  0.882  0.871  0.891  0.2960  0.975      0   4.36    397
1E0657_56                   3184    1.0    0.3  6.53  0.00  0.00  5.81  5.67  5.96  0.33  0.30  0.36   1.09e-02   1.08e-02   1.10e-02  0.48  0.47  0.50  0.864  0.854  0.873  0.2960  0.949      0   5.84    402
1E0657_56                   3184    2.0    0.3  6.53  0.00  0.00  5.95  5.81  6.10  0.22  0.20  0.25   1.20e-02   1.19e-02   1.21e-02  0.50  0.48  0.51  0.953  0.942  0.962  0.2960  1.004      0   2.23    400
1E0657_56                   3184    3.0    0.3  6.53  0.00  0.00  6.89  6.71  7.07  0.21  0.17  0.24   1.18e-02   1.17e-02   1.19e-02  0.57  0.56  0.59  0.934  0.923  0.942  0.2960  0.998      0   1.28    397
1E0657_56                   3184    0.5    0.2  6.53  0.00  0.00  9.68  9.36 10.01  0.28  0.24  0.32   1.12e-02   1.11e-02   1.13e-02  0.81  0.78  0.84  0.892  0.881  0.901  0.2960  0.998      0   1.72    410
1E0657_56                   3184   0.75    0.2  6.53  0.00  0.00  8.30  8.06  8.56  0.25  0.22  0.29   1.18e-02   1.17e-02   1.19e-02  0.69  0.67  0.72  0.935  0.924  0.944  0.2960  1.036      0   2.60    407
1E0657_56                   3184    1.0    0.2  6.53  0.00  0.00  7.39  7.18  7.62  0.25  0.22  0.28   1.12e-02   1.11e-02   1.13e-02  0.62  0.59  0.64  0.885  0.874  0.893  0.2960  0.975      0   3.60    404
1E0657_56                   3184    2.0    0.2  6.53  0.00  0.00  7.22  7.03  7.42  0.22  0.19  0.25   1.18e-02   1.17e-02   1.19e-02  0.60  0.58  0.62  0.940  0.928  0.948  0.2960  1.014      0   1.57    400
1E0657_56                   3184    3.0    0.2  6.53  0.00  0.00  7.76  7.55  7.97  0.21  0.17  0.24   1.21e-02   1.20e-02   1.22e-02  0.65  0.62  0.67  0.958  0.947  0.968  0.2960  1.036      0   1.06    405
1E0657_56                   3184    0.5   0.15  6.53  0.00  0.00 10.12  9.78 10.48  0.27  0.23  0.31   1.12e-02   1.11e-02   1.13e-02  0.84  0.81  0.88  0.889  0.878  0.898  0.2960  0.993      0   1.53    405
1E0657_56                   3184   0.75   0.15  6.53  0.00  0.00  8.95  8.67  9.24  0.30  0.26  0.34   1.15e-02   1.14e-02   1.16e-02  0.75  0.72  0.78  0.910  0.899  0.918  0.2960  1.018      0   1.70    409
1E0657_56                   3184    1.0   0.15  6.53  0.00  0.00  8.54  8.28  8.80  0.29  0.25  0.32   1.18e-02   1.17e-02   1.19e-02  0.71  0.69  0.74  0.939  0.928  0.947  0.2960  1.049      0   2.41    408
1E0657_56                   3184    2.0   0.15  6.53  0.00  0.00  8.25  8.01  8.50  0.27  0.24  0.31   1.12e-02   1.11e-02   1.13e-02  0.69  0.66  0.71  0.887  0.877  0.896  0.2960  0.979      0   1.23    406
1E0657_56                   3184    3.0   0.15  6.53  0.00  0.00  8.49  8.25  8.76  0.22  0.19  0.26   1.15e-02   1.14e-02   1.16e-02  0.71  0.68  0.74  0.913  0.903  0.921  0.2960  1.000      0   1.16    409
1E0657_56                   3184    0.5    0.1  6.53  0.00  0.00 10.55 10.18 10.94  0.30  0.26  0.35   1.11e-02   1.10e-02   1.12e-02  0.88  0.84  0.92  0.879  0.868  0.887  0.2960  0.987      0   1.14    406
1E0657_56                   3184   0.75    0.1  6.53  0.00  0.00  9.70  9.39 10.04  0.29  0.25  0.34   1.13e-02   1.12e-02   1.14e-02  0.81  0.78  0.84  0.896  0.885  0.904  0.2960  1.004      0   1.58    410
1E0657_56                   3184    1.0    0.1  6.53  0.00  0.00  9.14  8.86  9.44  0.28  0.24  0.32   1.15e-02   1.14e-02   1.16e-02  0.76  0.73  0.79  0.909  0.898  0.918  0.2960  1.014      0   1.75    406
1E0657_56                   3184    2.0    0.1  6.53  0.00  0.00  9.30  9.01  9.60  0.26  0.22  0.30   1.17e-02   1.16e-02   1.18e-02  0.78  0.75  0.81  0.930  0.919  0.939  0.2960  1.032      0   1.10    407
1E0657_56                   3184    3.0    0.1  6.53  0.00  0.00  9.58  9.28  9.89  0.24  0.20  0.28   1.19e-02   1.18e-02   1.20e-02  0.80  0.77  0.83  0.947  0.935  0.955  0.2960  1.046      0   0.98    409
1E0657_56                   3184    0.5   0.05  6.53  0.00  0.00 10.56 10.19 10.96  0.26  0.21  0.30   1.10e-02   1.09e-02   1.11e-02  0.88  0.84  0.92  0.872  0.861  0.881  0.2960  0.971      0   1.07    407
1E0657_56                   3184   0.75   0.05  6.53  0.00  0.00 10.29  9.94 10.65  0.29  0.25  0.34   1.10e-02   1.09e-02   1.11e-02  0.86  0.82  0.89  0.875  0.865  0.883  0.2960  0.981      0   1.24    406
1E0657_56                   3184    1.0   0.05  6.53  0.00  0.00 10.44 10.08 10.82  0.24  0.20  0.28   1.12e-02   1.11e-02   1.13e-02  0.87  0.83  0.91  0.893  0.881  0.901  0.2960  0.990      0   1.13    408
1E0657_56                   3184    2.0   0.05  6.53  0.00  0.00 10.53 10.17 10.91  0.29  0.24  0.33   1.14e-02   1.13e-02   1.15e-02  0.88  0.84  0.92  0.902  0.891  0.911  0.2960  1.008      0   1.00    406
1E0657_56                   3184    3.0   0.05  6.53  0.00  0.00 10.81 10.44 11.21  0.28  0.24  0.33   1.14e-02   1.13e-02   1.15e-02  0.90  0.87  0.94  0.905  0.894  0.914  0.2960  1.012      0   1.09    408
1E0657_56                   5356    0.5    0.4  6.53  0.00  0.00  8.39  8.16  8.65  0.28  0.25  0.32   1.17e-02   1.16e-02   1.18e-02  0.70  0.68  0.73  0.931  0.921  0.939  0.2960  0.996      0   3.37    412
1E0657_56                   5356   0.75    0.4  6.53  0.00  0.00  6.50  6.32  6.68  0.30  0.28  0.33   1.15e-02   1.14e-02   1.16e-02  0.54  0.52  0.56  0.912  0.901  0.920  0.2960  0.966      0   6.08    409
1E0657_56                   5356    1.0    0.4  6.53  0.00  0.00  5.36  5.24  5.50  0.32  0.29  0.34   1.14e-02   1.13e-02   1.15e-02  0.45  0.43  0.46  0.906  0.895  0.914  0.2960  0.945      0   8.77    404
1E0657_56                   5356    2.0    0.4  6.53  0.00  0.00  5.07  4.96  5.18  0.28  0.26  0.31   1.26e-02   1.25e-02   1.27e-02  0.42  0.41  0.44  0.998  0.986  1.008  0.2960  0.991      0   2.66    399
1E0657_56                   5356    3.0    0.4  6.53  0.00  0.00  5.85  5.72  5.98  0.20  0.17  0.22   1.22e-02   1.21e-02   1.24e-02  0.49  0.47  0.50  0.972  0.960  0.981  0.2960  0.965      0   1.46    400
1E0657_56                   5356    0.5    0.3  6.53  0.00  0.00  8.96  8.69  9.25  0.28  0.25  0.32   1.14e-02   1.14e-02   1.15e-02  0.75  0.72  0.78  0.909  0.898  0.916  0.2960  0.972      0   2.62    407
1E0657_56                   5356   0.75    0.3  6.53  0.00  0.00  7.16  6.97  7.37  0.32  0.29  0.35   1.10e-02   1.09e-02   1.11e-02  0.60  0.58  0.62  0.873  0.863  0.881  0.2960  0.930      0   3.84    407
1E0657_56                   5356    1.0    0.3  6.53  0.00  0.00  6.23  6.10  6.42  0.25  0.22  0.28   1.19e-02   1.18e-02   1.20e-02  0.52  0.50  0.54  0.945  0.933  0.953  0.2960  0.980      0   5.79    405
1E0657_56                   5356    2.0    0.3  6.53  0.00  0.00  6.01  5.87  6.15  0.24  0.22  0.27   1.20e-02   1.19e-02   1.21e-02  0.50  0.49  0.52  0.951  0.940  0.959  0.2960  0.963      0   2.28    403
1E0657_56                   5356    3.0    0.3  6.53  0.00  0.00  6.79  6.63  6.95  0.23  0.20  0.25   1.22e-02   1.21e-02   1.23e-02  0.57  0.55  0.58  0.970  0.959  0.978  0.2960  0.991      0   1.24    404
1E0657_56                   5356    0.5    0.2  6.53  0.00  0.00  9.27  8.98  9.57  0.34  0.30  0.38   1.12e-02   1.11e-02   1.13e-02  0.77  0.74  0.80  0.888  0.878  0.896  0.2960  0.958      0   1.65    413
1E0657_56                   5356   0.75    0.2  6.53  0.00  0.00  8.53  8.28  8.78  0.28  0.24  0.31   1.17e-02   1.16e-02   1.18e-02  0.71  0.69  0.74  0.930  0.919  0.938  0.2960  0.989      0   2.40    410
1E0657_56                   5356    1.0    0.2  6.53  0.00  0.00  7.74  7.54  7.96  0.25  0.22  0.28   1.22e-02   1.21e-02   1.23e-02  0.65  0.62  0.67  0.966  0.954  0.974  0.2960  1.018      0   3.35    411
1E0657_56                   5356    2.0    0.2  6.53  0.00  0.00  7.24  7.05  7.43  0.22  0.19  0.25   1.18e-02   1.17e-02   1.19e-02  0.60  0.58  0.62  0.937  0.925  0.944  0.2960  0.965      0   1.63    404
1E0657_56                   5356    3.0    0.2  6.53  0.00  0.00  7.98  7.77  8.20  0.24  0.21  0.27   1.20e-02   1.19e-02   1.21e-02  0.67  0.64  0.69  0.953  0.942  0.961  0.2960  0.995      0   1.19    409
1E0657_56                   5356    0.5   0.15  6.53  0.00  0.00 10.11  9.78 10.46  0.27  0.23  0.31   1.12e-02   1.11e-02   1.13e-02  0.84  0.81  0.88  0.887  0.877  0.896  0.2960  0.947      0   1.53    411
1E0657_56                   5356   0.75   0.15  6.53  0.00  0.00  9.40  9.11  9.71  0.27  0.23  0.30   1.15e-02   1.14e-02   1.16e-02  0.78  0.75  0.82  0.912  0.902  0.921  0.2960  0.973      0   2.03    410
1E0657_56                   5356    1.0   0.15  6.53  0.00  0.00  8.18  7.95  8.41  0.26  0.23  0.29   1.19e-02   1.18e-02   1.20e-02  0.68  0.66  0.71  0.942  0.932  0.951  0.2960  0.997      0   2.48    412
1E0657_56                   5356    2.0   0.15  6.53  0.00  0.00  8.36  8.13  8.60  0.23  0.20  0.26   1.23e-02   1.22e-02   1.24e-02  0.70  0.67  0.72  0.977  0.966  0.985  0.2960  1.023      0   1.42    408
1E0657_56                   5356    3.0   0.15  6.53  0.00  0.00  8.88  8.63  9.14  0.24  0.21  0.27   1.24e-02   1.23e-02   1.25e-02  0.74  0.71  0.77  0.988  0.976  0.995  0.2960  1.039      0   1.06    415
1E0657_56                   5356    0.5    0.1  6.53  0.00  0.00 10.98 10.62 11.37  0.28  0.24  0.32   1.22e-02   1.21e-02   1.23e-02  0.92  0.88  0.95  0.966  0.955  0.975  0.2960  1.032      0   1.22    414
1E0657_56                   5356   0.75    0.1  6.53  0.00  0.00  9.73  9.42 10.06  0.25  0.21  0.29   1.13e-02   1.12e-02   1.14e-02  0.81  0.78  0.84  0.895  0.884  0.903  0.2960  0.951      0   1.60    410
1E0657_56                   5356    1.0    0.1  6.53  0.00  0.00  9.17  8.89  9.46  0.29  0.26  0.33   1.15e-02   1.14e-02   1.16e-02  0.76  0.74  0.79  0.910  0.900  0.918  0.2960  0.973      0   1.70    412
1E0657_56                   5356    2.0    0.1  6.53  0.00  0.00  9.05  8.79  9.33  0.28  0.25  0.32   1.18e-02   1.17e-02   1.19e-02  0.75  0.73  0.78  0.934  0.923  0.942  0.2960  0.992      0   1.15    410
1E0657_56                   5356    3.0    0.1  6.53  0.00  0.00  9.28  9.01  9.57  0.26  0.22  0.29   1.20e-02   1.19e-02   1.21e-02  0.77  0.75  0.80  0.951  0.940  0.959  0.2960  1.006      0   1.09    412
1E0657_56                   5356    0.5   0.05  6.53  0.00  0.00 11.36 10.97 11.77  0.29  0.25  0.34   1.21e-02   1.20e-02   1.22e-02  0.95  0.91  0.99  0.964  0.952  0.972  0.2960  1.031      0   1.12    415
1E0657_56                   5356   0.75   0.05  6.53  0.00  0.00 10.67 10.33 11.03  0.26  0.22  0.31   1.22e-02   1.21e-02   1.23e-02  0.89  0.86  0.93  0.971  0.960  0.980  0.2960  1.034      0   1.05    414
1E0657_56                   5356    1.0   0.05  6.53  0.00  0.00 10.86 10.50 11.24  0.26  0.22  0.30   1.23e-02   1.22e-02   1.24e-02  0.91  0.87  0.94  0.979  0.968  0.988  0.2960  1.043      0   1.18    412
1E0657_56                   5356    2.0   0.05  6.53  0.00  0.00 10.31  9.99 10.65  0.28  0.24  0.32   1.24e-02   1.23e-02   1.25e-02  0.86  0.83  0.89  0.981  0.969  0.989  0.2960  1.047      0   0.98    412
1E0657_56                   5356    3.0   0.05  6.53  0.00  0.00 10.82 10.46 11.21  0.26  0.21  0.30   1.14e-02   1.13e-02   1.15e-02  0.90  0.87  0.94  0.904  0.893  0.912  0.2960  0.961      0   0.96    411
1E0657_56                   5361    0.5    0.4  6.53  0.00  0.00  8.71  8.44  9.01  0.31  0.28  0.35   1.15e-02   1.14e-02   1.16e-02  0.73  0.70  0.76  0.914  0.902  0.922  0.2960  1.025      0   3.28    401
1E0657_56                   5361   0.75    0.4  6.53  0.00  0.00  6.16  5.99  6.33  0.29  0.26  0.32   1.07e-02   1.06e-02   1.08e-02  0.51  0.50  0.53  0.848  0.837  0.856  0.2960  0.928      0   5.73    399
1E0657_56                   5361    1.0    0.4  6.53  0.00  0.00  5.16  5.03  5.30  0.27  0.25  0.30   1.13e-02   1.12e-02   1.14e-02  0.43  0.42  0.45  0.896  0.885  0.906  0.2960  0.954      0   7.66    396
1E0657_56                   5361    2.0    0.4  6.53  0.00  0.00  4.82  4.71  4.93  0.21  0.18  0.23   1.21e-02   1.20e-02   1.22e-02  0.40  0.39  0.41  0.961  0.949  0.970  0.2960  0.960      0   2.45    388
1E0657_56                   5361    3.0    0.4  6.53  0.00  0.00  5.68  5.55  5.81  0.23  0.21  0.26   1.23e-02   1.22e-02   1.24e-02  0.47  0.46  0.49  0.974  0.962  0.983  0.2960  1.009      0   1.37    394
1E0657_56                   5361    0.5    0.3  6.53  0.00  0.00  8.91  8.62  9.22  0.26  0.22  0.29   1.16e-02   1.15e-02   1.17e-02  0.74  0.71  0.77  0.917  0.906  0.926  0.2960  1.014      0   2.09    406
1E0657_56                   5361   0.75    0.3  6.53  0.00  0.00  7.29  7.07  7.52  0.25  0.21  0.28   1.11e-02   1.10e-02   1.12e-02  0.61  0.59  0.63  0.880  0.869  0.889  0.2960  0.965      0   4.18    398
1E0657_56                   5361    1.0    0.3  6.53  0.00  0.00  6.05  5.89  6.22  0.28  0.24  0.31   1.09e-02   1.08e-02   1.10e-02  0.50  0.49  0.52  0.867  0.856  0.876  0.2960  0.941      0   5.49    397
1E0657_56                   5361    2.0    0.3  6.53  0.00  0.00  5.89  5.74  6.03  0.25  0.22  0.28   1.19e-02   1.18e-02   1.20e-02  0.49  0.47  0.51  0.944  0.932  0.953  0.2960  0.994      0   2.08    399
1E0657_56                   5361    3.0    0.3  6.53  0.00  0.00  6.80  6.63  6.98  0.19  0.17  0.22   1.19e-02   1.17e-02   1.20e-02  0.57  0.55  0.59  0.941  0.929  0.950  0.2960  0.994      0   1.11    398
1E0657_56                   5361    0.5    0.2  6.53  0.00  0.00  9.28  8.98  9.60  0.25  0.21  0.29   1.14e-02   1.13e-02   1.15e-02  0.77  0.74  0.81  0.901  0.891  0.910  0.2960  0.995      0   1.43    404
1E0657_56                   5361   0.75    0.2  6.53  0.00  0.00  8.63  8.35  8.91  0.23  0.20  0.27   1.18e-02   1.17e-02   1.19e-02  0.72  0.69  0.75  0.940  0.928  0.948  0.2960  1.032      0   2.29    402
1E0657_56                   5361    1.0    0.2  6.53  0.00  0.00  7.25  7.04  7.47  0.24  0.21  0.27   1.11e-02   1.10e-02   1.13e-02  0.60  0.58  0.63  0.885  0.874  0.894  0.2960  0.964      0   3.31    403
1E0657_56                   5361    2.0    0.2  6.53  0.00  0.00  7.36  7.16  7.58  0.23  0.20  0.26   1.18e-02   1.16e-02   1.19e-02  0.61  0.59  0.64  0.933  0.921  0.942  0.2960  1.007      0   1.52    401
1E0657_56                   5361    3.0    0.2  6.53  0.00  0.00  7.92  7.70  8.15  0.21  0.18  0.24   1.20e-02   1.19e-02   1.21e-02  0.66  0.64  0.68  0.952  0.941  0.960  0.2960  1.027      0   1.05    402
1E0657_56                   5361    0.5   0.15  6.53  0.00  0.00 10.09  9.75 10.46  0.32  0.27  0.36   1.11e-02   1.10e-02   1.12e-02  0.84  0.81  0.88  0.882  0.871  0.890  0.2960  0.988      0   1.48    404
1E0657_56                   5361   0.75   0.15  6.53  0.00  0.00  9.09  8.80  9.39  0.25  0.21  0.29   1.16e-02   1.15e-02   1.17e-02  0.76  0.73  0.79  0.924  0.912  0.932  0.2960  1.018      0   1.69    406
1E0657_56                   5361    1.0   0.15  6.53  0.00  0.00  8.38  8.13  8.65  0.26  0.23  0.30   1.19e-02   1.18e-02   1.20e-02  0.70  0.67  0.73  0.943  0.932  0.953  0.2960  1.040      0   2.22    405
1E0657_56                   5361    2.0   0.15  6.53  0.00  0.00  8.17  7.92  8.42  0.25  0.22  0.29   1.12e-02   1.11e-02   1.13e-02  0.68  0.66  0.71  0.887  0.876  0.895  0.2960  0.970      0   1.34    401
1E0657_56                   5361    3.0   0.15  6.53  0.00  0.00  8.59  8.33  8.86  0.26  0.23  0.30   1.13e-02   1.12e-02   1.14e-02  0.72  0.69  0.74  0.896  0.885  0.905  0.2960  0.984      0   1.11    400
1E0657_56                   5361    0.5    0.1  6.53  0.00  0.00 10.31  9.95 10.70  0.25  0.21  0.30   1.11e-02   1.10e-02   1.12e-02  0.86  0.82  0.90  0.879  0.868  0.888  0.2960  0.973      0   1.19    403
1E0657_56                   5361   0.75    0.1  6.53  0.00  0.00  9.53  9.22  9.86  0.25  0.21  0.29   1.13e-02   1.12e-02   1.14e-02  0.80  0.76  0.83  0.901  0.889  0.909  0.2960  0.994      0   1.46    405
1E0657_56                   5361    1.0    0.1  6.53  0.00  0.00  9.00  8.72  9.30  0.27  0.23  0.30   1.15e-02   1.14e-02   1.17e-02  0.75  0.72  0.78  0.916  0.905  0.925  0.2960  1.013      0   1.74    405
1E0657_56                   5361    2.0    0.1  6.53  0.00  0.00  9.38  9.09  9.70  0.26  0.22  0.30   1.18e-02   1.17e-02   1.19e-02  0.78  0.75  0.81  0.933  0.922  0.942  0.2960  1.030      0   1.15    408
1E0657_56                   5361    3.0    0.1  6.53  0.00  0.00  9.86  9.54 10.20  0.24  0.20  0.28   1.20e-02   1.19e-02   1.21e-02  0.82  0.79  0.86  0.951  0.939  0.959  0.2960  1.047      0   1.01    406
1E0657_56                   5361    0.5   0.05  6.53  0.00  0.00 10.80 10.42 11.22  0.32  0.27  0.37   1.09e-02   1.08e-02   1.11e-02  0.90  0.86  0.94  0.869  0.858  0.878  0.2960  0.973      0   0.99    405
1E0657_56                   5361   0.75   0.05  6.53  0.00  0.00 10.44 10.07 10.83  0.25  0.21  0.30   1.11e-02   1.10e-02   1.13e-02  0.87  0.83  0.91  0.885  0.874  0.894  0.2960  0.980      0   1.14    405
1E0657_56                   5361    1.0   0.05  6.53  0.00  0.00 10.29  9.94 10.67  0.27  0.22  0.31   1.12e-02   1.11e-02   1.13e-02  0.86  0.82  0.90  0.890  0.879  0.899  0.2960  0.987      0   1.20    405
1E0657_56                   5361    2.0   0.05  6.53  0.00  0.00 10.22  9.88 10.59  0.29  0.24  0.33   1.13e-02   1.12e-02   1.14e-02  0.85  0.82  0.89  0.896  0.885  0.905  0.2960  0.995      0   0.91    401
1E0657_56                   5361    3.0   0.05  6.53  0.00  0.00 10.76 10.38 11.17  0.27  0.22  0.31   1.15e-02   1.14e-02   1.16e-02  0.90  0.86  0.94  0.909  0.898  0.919  0.2960  1.009      0   1.06    406
1RXS_J2129.4-0741           3199    0.5    0.4  4.36  0.00  0.00  8.02  6.57 10.18  0.61  0.30  0.96   1.57e-03   1.44e-03   1.70e-03  0.98  0.77  1.27  0.841  0.761  0.925  0.5700  0.112      0   0.80     49
1RXS_J2129.4-0741           3199   0.75    0.4  4.36  0.00  0.00  9.54  7.50 12.89  0.15  0.00  0.44   1.77e-03   1.64e-03   1.88e-03  1.16  0.88  1.60  0.950  0.865  1.030  0.5700  0.120      0   1.02     52
1RXS_J2129.4-0741           3199    1.0    0.4  4.36  0.00  0.00  5.16  4.32  6.34  0.40  0.15  0.69   1.66e-03   1.52e-03   1.80e-03  0.63  0.50  0.80  0.894  0.805  0.983  0.5700  0.108      0   1.37     46
1RXS_J2129.4-0741           3199    2.0    0.4  4.36  0.00  0.00  3.95  3.42  4.63  0.67  0.37  1.03   1.95e-03   1.77e-03   2.13e-03  0.48  0.40  0.59  1.046  0.934  1.160  0.5700  0.125      0   1.09     52
1RXS_J2129.4-0741           3199    3.0    0.4  4.36  0.00  0.00  4.28  3.71  4.99  0.41  0.17  0.70   1.96e-03   1.79e-03   2.14e-03  0.52  0.43  0.63  1.052  0.948  1.163  0.5700  0.117      0   1.01     50
1RXS_J2129.4-0741           3199    0.5    0.3  4.36  0.00  0.00  8.10  6.60 10.26  0.57  0.27  0.89   1.62e-03   1.49e-03   1.75e-03  0.99  0.77  1.28  0.872  0.788  0.953  0.5700  0.115      0   1.09     50
1RXS_J2129.4-0741           3199   0.75    0.3  4.36  0.00  0.00  6.14  5.13  7.50  0.67  0.38  1.00   1.59e-03   1.46e-03   1.73e-03  0.75  0.60  0.94  0.856  0.772  0.942  0.5700  0.113      0   1.04     49
1RXS_J2129.4-0741           3199    1.0    0.3  4.36  0.00  0.00  6.24  5.19  7.76  0.45  0.18  0.74   1.78e-03   1.67e-03   1.96e-03  0.76  0.60  0.97  0.958  0.877  1.066  0.5700  0.123      0   0.93     52
1RXS_J2129.4-0741           3199    2.0    0.3  4.36  0.00  0.00  5.20  4.47  6.15  0.67  0.39  1.00   1.82e-03   1.66e-03   1.96e-03  0.63  0.52  0.78  0.977  0.879  1.072  0.5700  0.122      0   0.82     52
1RXS_J2129.4-0741           3199    3.0    0.3  4.36  0.00  0.00  5.76  4.87  7.01  0.31  0.07  0.57   1.86e-03   1.73e-03   2.00e-03  0.70  0.57  0.88  0.998  0.910  1.091  0.5700  0.118      0   0.82     50
1RXS_J2129.4-0741           3199    0.5    0.2  4.36  0.00  0.00  7.60  6.31  9.38  0.22  0.00  0.47   1.71e-03   1.58e-03   1.84e-03  0.92  0.73  1.18  0.919  0.832  1.005  0.5700  0.114      0   1.28     49
1RXS_J2129.4-0741           3199   0.75    0.2  4.36  0.00  0.00  7.22  6.00  9.10  0.33  0.05  0.63   1.73e-03   1.60e-03   1.85e-03  0.88  0.70  1.14  0.928  0.842  1.013  0.5700  0.117      0   1.01     50
1RXS_J2129.4-0741           3199    1.0    0.2  4.36  0.00  0.00  6.09  5.12  7.46  0.42  0.17  0.70   1.75e-03   1.61e-03   1.89e-03  0.74  0.60  0.94  0.940  0.852  1.031  0.5700  0.117      0   0.95     50
1RXS_J2129.4-0741           3199    2.0    0.2  4.36  0.00  0.00  6.01  5.16  7.10  0.41  0.17  0.68   1.84e-03   1.70e-03   1.98e-03  0.73  0.60  0.90  0.990  0.895  1.083  0.5700  0.121      0   0.94     52
