           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    3.05200E-02    7.02231E-03    5.59936E-04    9.09247E+00    2.07886E+00    2.41562E-23    1.56479E+01    3.78900E+00    9.38877E+00    2.27340E+00
    3.05200E-02    6.10500E-02    5.21466E-03    1.43856E-03    9.07740E+00    2.12657E+00    2.44565E-23    2.07790E+01    7.52033E+00    1.24674E+01    4.51220E+00
    6.10500E-02    9.15700E-02    4.00914E-03    6.02673E-04    9.06233E+00    2.17429E+00    2.47569E-23    2.66548E+01    7.54676E+00    1.59929E+01    4.52806E+00
    9.15700E-02    1.22100E-01    2.65547E-03    6.54640E-04    9.04726E+00    2.22201E+00    2.50573E-23    3.96940E+01    1.38130E+01    2.38164E+01    8.28778E+00
    1.22100E-01    1.52620E-01    2.21989E-03    5.31170E-04    9.03219E+00    2.26973E+00    2.53577E-23    4.68421E+01    1.62537E+01    2.81052E+01    9.75224E+00
    1.52620E-01    1.83150E-01    1.60230E-03    8.64110E-04    9.01712E+00    2.31745E+00    2.56580E-23    6.40301E+01    3.82517E+01    3.84181E+01    2.29510E+01
    1.83150E-01    2.13670E-01    1.46924E-03    7.78767E-04    9.03720E+00    2.35166E+00    2.56394E-23    7.00351E+01    4.13542E+01    4.20211E+01    2.48125E+01
    2.13670E-01    2.44200E-01    8.82109E-04    5.63303E-04    9.08877E+00    2.37376E+00    2.53350E-23    1.18726E+02    8.19127E+01    7.12355E+01    4.91476E+01
    2.44200E-01    2.74720E-01    1.02530E-03    4.45629E-04    9.14034E+00    2.39586E+00    2.50306E-23    1.03974E+02    5.27725E+01    6.23843E+01    3.16635E+01
    2.74720E-01    3.05250E-01    6.95142E-04    5.58216E-04    9.19191E+00    2.41796E+00    2.47261E-23    1.56120E+02    1.31924E+02    9.36722E+01    7.91542E+01
    3.05250E-01    3.35770E-01    8.35458E-04    1.73679E-03    9.24347E+00    2.44006E+00    2.44217E-23    1.32257E+02    2.77150E+02    7.93542E+01    1.66290E+02
    3.35770E-01    3.66300E-01    4.95762E-04    2.83586E-04    9.28555E+00    2.47301E+00    2.41474E-23    2.26437E+02    1.42878E+02    1.35862E+02    8.57265E+01
    3.66300E-01    3.96820E-01    5.15614E-04    1.05673E-03    9.24002E+00    2.60604E+00    2.41518E-23    2.16611E+02    4.48120E+02    1.29967E+02    2.68872E+02
    3.96820E-01    4.27350E-01    4.83157E-04    4.00281E-04    9.19449E+00    2.73908E+00    2.41563E-23    2.29982E+02    2.02476E+02    1.37989E+02    1.21486E+02
    4.27350E-01    4.57870E-01    2.16336E-04    3.49972E-04    9.14896E+00    2.87211E+00    2.41607E-23    5.10996E+02    8.42071E+02    3.06598E+02    5.05243E+02
    4.57870E-01    4.88400E-01    4.15059E-04    5.61853E-04    9.10343E+00    3.00515E+00    2.41651E-23    2.64966E+02    3.69188E+02    1.58980E+02    2.21513E+02
    4.88400E-01    5.18920E-01    3.48599E-04    5.05809E-04    9.05790E+00    3.13818E+00    2.41695E-23    3.13846E+02    4.68186E+02    1.88308E+02    2.80911E+02
    5.18920E-01    5.49450E-01    2.14397E-04    8.35948E-04    9.01237E+00    3.27121E+00    2.41739E-23    5.07641E+02    1.98788E+03    3.04585E+02    1.19273E+03
    5.49450E-01    5.79970E-01    3.80907E-04    2.95316E-04    8.96684E+00    3.40425E+00    2.41783E-23    2.84235E+02    2.45369E+02    1.70541E+02    1.47221E+02
    5.79970E-01    6.10500E-01    1.75223E-04    6.72114E-04    8.92130E+00    3.53728E+00    2.41827E-23    6.14633E+02    2.37015E+03    3.68780E+02    1.42209E+03
    6.10500E-01    6.41020E-01    2.25709E-04    2.72115E-04    8.87577E+00    3.67031E+00    2.41871E-23    4.74631E+02    6.04941E+02    2.84779E+02    3.62964E+02
    6.41020E-01    6.71550E-01    2.17028E-04    1.52278E-04    8.83024E+00    3.80335E+00    2.41915E-23    4.90995E+02    4.04239E+02    2.94597E+02    2.42543E+02
    6.71550E-01    7.02070E-01    2.43209E-05    2.79027E-04    8.78471E+00    3.93638E+00    2.41959E-23    4.35802E+03    5.00364E+04    2.61481E+03    3.00219E+04
    7.02070E-01    7.32600E-01    2.30748E-04    2.60247E-04    8.73918E+00    4.06941E+00    2.42004E-23    4.56872E+02    5.57469E+02    2.74123E+02    3.34482E+02
    7.32600E-01    7.63120E-01    2.03845E-04    3.24055E-04    8.69365E+00    4.20245E+00    2.42048E-23    5.14381E+02    8.54686E+02    3.08628E+02    5.12812E+02
    7.63120E-01    7.93650E-01    1.73409E-04    1.20736E-04    8.64812E+00    4.33548E+00    2.42092E-23    6.01386E+02    5.15962E+02    3.60832E+02    3.09577E+02
