           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    2.82000E-02    5.82524E-03    2.92357E-03    9.49504E+00    2.09436E+00    2.77785E-23    1.71300E+01    9.39087E+00    1.02780E+01    5.63452E+00
    2.82000E-02    5.64000E-02    6.15888E-03    1.77499E-03    9.33276E+00    2.08783E+00    2.73704E-23    1.61626E+01    5.89668E+00    9.69753E+00    3.53801E+00
    5.64000E-02    8.46000E-02    4.53342E-03    1.35442E-03    9.17048E+00    2.08129E+00    2.69623E-23    2.19024E+01    8.21760E+00    1.31415E+01    4.93056E+00
    8.46000E-02    1.12800E-01    6.24940E-03    7.33352E-04    9.00820E+00    2.07476E+00    2.65542E-23    1.58471E+01    4.09632E+00    9.50825E+00    2.45779E+00
    1.12800E-01    1.41000E-01    4.05467E-03    7.76241E-04    8.84592E+00    2.06822E+00    2.61461E-23    2.43592E+01    7.36098E+00    1.46155E+01    4.41659E+00
    1.41000E-01    1.69200E-01    4.61368E-03    5.41029E-04    8.68364E+00    2.06169E+00    2.57381E-23    2.13482E+01    5.65308E+00    1.28089E+01    3.39185E+00
    1.69200E-01    1.97400E-01    3.43155E-03    5.56917E-04    8.52136E+00    2.05516E+00    2.53300E-23    2.86199E+01    8.31974E+00    1.71719E+01    4.99184E+00
    1.97400E-01    2.25600E-01    3.34450E-03    4.62503E-04    8.35908E+00    2.04862E+00    2.49219E-23    2.92773E+01    8.23864E+00    1.75664E+01    4.94318E+00
    2.25600E-01    2.53800E-01    3.42615E-03    3.51748E-04    8.19680E+00    2.04209E+00    2.45138E-23    2.84912E+01    7.67716E+00    1.70947E+01    4.60630E+00
    2.53800E-01    2.82000E-01    2.18099E-03    4.49725E-04    8.03452E+00    2.03555E+00    2.41057E-23    4.46139E+01    1.45735E+01    2.67684E+01    8.74412E+00
