           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    2.89100E-02    3.07319E-02    5.27572E-04    5.02000E+00    3.80000E-01    2.03590E-23    2.34229E+00    1.81807E-01    1.40537E+00    1.09084E-01
    2.89100E-02    5.78300E-02    2.27860E-02    5.99466E-04    5.02000E+00    3.80000E-01    2.05328E-23    3.13235E+00    2.51023E-01    1.87941E+00    1.50614E-01
    5.78300E-02    8.67400E-02    1.49450E-02    5.28274E-04    5.10175E+00    4.08928E-01    2.07066E-23    4.81281E+00    4.21615E-01    2.88769E+00    2.52969E-01
    8.67400E-02    1.15650E-01    9.20416E-03    6.02884E-04    5.29480E+00    4.77238E-01    2.08803E-23    8.04288E+00    8.96138E-01    4.82573E+00    5.37683E-01
    1.15650E-01    1.44570E-01    6.82657E-03    4.74630E-04    5.48788E+00    5.45559E-01    2.10541E-23    1.11468E+01    1.35224E+00    6.68807E+00    8.11344E-01
    1.44570E-01    1.73480E-01    4.49688E-03    3.89579E-04    5.68097E+00    6.13881E-01    2.12279E-23    1.73735E+01    2.40622E+00    1.04241E+01    1.44373E+00
    1.73480E-01    2.02390E-01    3.97711E-03    2.21621E-04    5.87402E+00    6.82190E-01    2.14016E-23    2.01467E+01    2.59517E+00    1.20880E+01    1.55710E+00
    2.02390E-01    2.31310E-01    2.94316E-03    3.38142E-04    6.06710E+00    7.50511E-01    2.15754E-23    2.78928E+01    4.70901E+00    1.67357E+01    2.82541E+00
    2.31310E-01    2.60220E-01    2.04922E-03    1.50016E-04    6.26018E+00    8.18833E-01    2.17492E-23    4.10052E+01    6.14639E+00    2.46031E+01    3.68783E+00
    2.60220E-01    2.89130E-01    2.01549E-03    4.15063E-04    6.31125E+00    1.13981E+00    2.20008E-23    4.15509E+01    1.13811E+01    2.49305E+01    6.82868E+00
    2.89130E-01    3.18050E-01    1.96963E-03    2.39500E-04    6.29857E+00    1.57431E+00    2.22874E-23    4.18871E+01    1.16427E+01    2.51323E+01    6.98564E+00
    3.18050E-01    3.46960E-01    1.44418E-03    3.77465E-04    6.28589E+00    2.00880E+00    2.25741E-23    5.62884E+01    2.32384E+01    3.37730E+01    1.39430E+01
    3.46960E-01    3.75870E-01    1.11781E-03    1.81415E-04    6.27321E+00    2.44323E+00    2.28607E-23    7.16665E+01    3.02384E+01    4.29999E+01    1.81430E+01
    3.75870E-01    4.04790E-01    1.13691E-03    2.45150E-04    6.26053E+00    2.87772E+00    2.31473E-23    6.94492E+01    3.52611E+01    4.16695E+01    2.11566E+01
    4.04790E-01    4.33700E-01    2.82663E-04    2.61378E-04    6.24785E+00    3.31222E+00    2.34340E-23    2.75359E+02    2.93501E+02    1.65215E+02    1.76101E+02
    4.33700E-01    4.62620E-01    1.13270E-03    3.03103E-04    6.23517E+00    3.74672E+00    2.37206E-23    6.77471E+01    4.45634E+01    4.06483E+01    2.67380E+01
    4.62620E-01    4.91530E-01    5.28606E-04    2.27222E-04    6.22249E+00    4.18122E+00    2.40073E-23    1.43144E+02    1.14183E+02    8.58863E+01    6.85097E+01
    4.91530E-01    5.20440E-01    2.89306E-04    2.24750E-04    6.20982E+00    4.61564E+00    2.42939E-23    2.57933E+02    2.77321E+02    1.54760E+02    1.66392E+02
    5.20440E-01    5.49360E-01    4.74525E-04    7.54604E-05    6.19714E+00    5.05014E+00    2.45805E-23    1.55104E+02    1.28781E+02    9.30626E+01    7.72686E+01
    5.49360E-01    5.78270E-01    6.70613E-04    2.08346E-04    6.18446E+00    5.48464E+00    2.48672E-23    1.08265E+02    1.01735E+02    6.49587E+01    6.10408E+01
    5.78270E-01    6.07180E-01    3.56219E-04    1.97851E-04    6.17178E+00    5.91906E+00    2.51538E-23    2.01082E+02    2.22854E+02    1.20649E+02    1.33712E+02
    6.07180E-01    6.36100E-01    4.75950E-04    5.68865E-05    6.15910E+00    6.35356E+00    2.54404E-23    1.48496E+02    1.54209E+02    8.90976E+01    9.25255E+01
    6.36100E-01    6.65010E-01    4.18465E-04    1.78007E-04    6.14642E+00    6.78806E+00    2.57271E-23    1.66669E+02    1.97250E+02    1.00002E+02    1.18350E+02
    6.65010E-01    6.93920E-01    2.94393E-04    3.40922E-05    6.13374E+00    7.22248E+00    2.60137E-23    2.33819E+02    2.76650E+02    1.40291E+02    1.65990E+02
