           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    3.76000E-03    7.37269E-03    4.56211E-03    3.69806E+00    2.44751E-01    1.90130E-23    7.70158E+00    4.79281E+00    4.62095E+00    2.87568E+00
    3.76000E-03    7.51000E-03    7.24480E-03    2.48513E-03    3.76836E+00    2.46215E-01    1.92189E-23    7.90096E+00    2.75893E+00    4.74058E+00    1.65536E+00
    7.51000E-03    1.12700E-02    6.82822E-03    1.97099E-03    3.83866E+00    2.47680E-01    1.94249E-23    8.44885E+00    2.49898E+00    5.06931E+00    1.49939E+00
    1.12700E-02    1.50300E-02    6.39689E-03    1.69427E-03    3.90906E+00    2.49147E-01    1.96311E-23    9.08746E+00    2.47560E+00    5.45248E+00    1.48536E+00
    1.50300E-02    1.87900E-02    5.81707E-03    1.44120E-03    3.97945E+00    2.50613E-01    1.98373E-23    1.00675E+01    2.57357E+00    6.04049E+00    1.54414E+00
    1.87900E-02    2.25400E-02    6.37560E-03    1.07002E-03    4.04976E+00    2.52078E-01    2.00432E-23    9.25176E+00    1.65608E+00    5.55105E+00    9.93647E-01
    2.25400E-02    2.63000E-02    6.22166E-03    8.83687E-04    4.12006E+00    2.53543E-01    2.02491E-23    9.54716E+00    1.47783E+00    5.72830E+00    8.86696E-01
    2.63000E-02    3.00600E-02    5.93127E-03    7.36129E-04    4.19046E+00    2.55009E-01    2.04553E-23    1.00830E+01    1.39374E+00    6.04981E+00    8.36244E-01
    3.00600E-02    3.38200E-02    5.15453E-03    7.10505E-04    4.26085E+00    2.56476E-01    2.06615E-23    1.16796E+01    1.75674E+00    7.00776E+00    1.05404E+00
    3.38200E-02    3.75700E-02    4.47235E-03    7.07837E-04    4.33115E+00    2.57941E-01    2.08675E-23    1.35482E+01    2.29105E+00    8.12892E+00    1.37463E+00
    3.75700E-02    4.13300E-02    4.28789E-03    6.35312E-04    4.40146E+00    2.59406E-01    2.10734E-23    1.42201E+01    2.26747E+00    8.53204E+00    1.36048E+00
    4.13300E-02    4.50900E-02    3.80945E-03    6.34780E-04    4.43000E+00    2.64112E-01    2.10415E-23    1.61343E+01    2.85540E+00    9.68056E+00    1.71324E+00
    4.50900E-02    4.88500E-02    3.57268E-03    5.92955E-04    4.43000E+00    2.71028E-01    2.08471E-23    1.73639E+01    3.07144E+00    1.04183E+01    1.84286E+00
    4.88500E-02    5.26000E-02    3.53980E-03    5.37343E-04    4.43000E+00    2.77935E-01    2.06530E-23    1.76899E+01    2.90564E+00    1.06139E+01    1.74339E+00
    5.26000E-02    5.63600E-02    3.26543E-03    5.33993E-04    4.43000E+00    2.84842E-01    2.04589E-23    1.93581E+01    3.40153E+00    1.16149E+01    2.04092E+00
    5.63600E-02    6.01200E-02    3.36308E-03    4.68573E-04    4.43000E+00    2.91758E-01    2.02646E-23    1.89763E+01    2.92444E+00    1.13858E+01    1.75467E+00
    6.01200E-02    6.38700E-02    2.76050E-03    5.26027E-04    4.43000E+00    2.98665E-01    2.00705E-23    2.33422E+01    4.71815E+00    1.40053E+01    2.83089E+00
    6.38700E-02    6.76300E-02    2.67383E-03    5.09496E-04    4.40329E+00    2.98786E-01    1.99311E-23    2.41210E+01    4.87896E+00    1.44726E+01    2.92738E+00
    6.76300E-02    7.13900E-02    2.67430E-03    4.88277E-04    4.37014E+00    2.97279E-01    1.98047E-23    2.40880E+01    4.69334E+00    1.44528E+01    2.81600E+00
    7.13900E-02    7.51500E-02    2.73263E-03    4.39818E-04    4.33698E+00    2.95772E-01    1.96783E-23    2.35453E+01    4.11577E+00    1.41272E+01    2.46946E+00
    7.51500E-02    7.89000E-02    2.71397E-03    4.00410E-04    4.30388E+00    2.94267E-01    1.95520E-23    2.36781E+01    3.85029E+00    1.42069E+01    2.31017E+00
    7.89000E-02    8.26600E-02    2.39092E-03    4.30822E-04    4.27077E+00    2.92762E-01    1.94257E-23    2.68440E+01    5.17524E+00    1.61064E+01    3.10515E+00
    8.26600E-02    8.64200E-02    2.34550E-03    4.14055E-04    4.23761E+00    2.91255E-01    1.92993E-23    2.73292E+01    5.17724E+00    1.63975E+01    3.10634E+00
    8.64200E-02    9.01800E-02    2.11604E-03    4.26950E-04    4.20840E+00    2.88523E-01    1.91785E-23    3.02735E+01    6.45123E+00    1.81641E+01    3.87074E+00
    9.01800E-02    9.39300E-02    2.15501E-03    4.14130E-04    4.19884E+00    2.79696E-01    1.90855E-23    2.98029E+01    6.06157E+00    1.78817E+01    3.63694E+00
    9.39300E-02    9.76900E-02    2.22728E-03    3.88411E-04    4.18927E+00    2.70869E-01    1.89926E-23    2.89109E+01    5.37711E+00    1.73466E+01    3.22626E+00
    9.76900E-02    1.01450E-01    2.25286E-03    3.56590E-04    4.17970E+00    2.62030E-01    1.88996E-23    2.86577E+01    4.87886E+00    1.71946E+01    2.92732E+00
    1.01450E-01    1.05210E-01    2.07937E-03    3.64389E-04    4.17012E+00    2.53191E-01    1.88066E-23    3.11308E+01    5.77353E+00    1.86785E+01    3.46412E+00
    1.05210E-01    1.08960E-01    1.95740E-03    3.75159E-04    4.16056E+00    2.44363E-01    1.87137E-23    3.31586E+01    6.64695E+00    1.98952E+01    3.98817E+00
    1.08960E-01    1.12720E-01    2.04773E-03    3.40058E-04    4.15100E+00    2.35536E-01    1.86208E-23    3.17809E+01    5.57729E+00    1.90685E+01    3.34638E+00
    1.12720E-01    1.16480E-01    2.07667E-03    3.18367E-04    4.14142E+00    2.26697E-01    1.85277E-23    3.14227E+01    5.11517E+00    1.88536E+01    3.06910E+00
