           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    3.39000E-02    5.19518E-02    4.29871E-04    7.72971E+00    8.90766E-01    2.47675E-23    1.75373E+00    2.02619E-01    1.05224E+00    1.21572E-01
    3.39000E-02    6.78100E-02    2.27855E-02    1.14182E-03    7.88917E+00    9.45886E-01    2.47703E-23    4.08061E+00    5.30266E-01    2.44837E+00    3.18160E-01
    6.78100E-02    1.01710E-01    1.32648E-02    5.16471E-04    8.04862E+00    1.00101E+00    2.47731E-23    7.15031E+00    9.31843E-01    4.29019E+00    5.59106E-01
    1.01710E-01    1.35610E-01    1.02782E-02    6.31715E-04    8.20805E+00    1.05612E+00    2.47758E-23    9.40976E+00    1.34178E+00    5.64586E+00    8.05067E-01
    1.35610E-01    1.69520E-01    6.89683E-03    2.10548E-03    8.36751E+00    1.11124E+00    2.47786E-23    1.42940E+01    4.75873E+00    8.57640E+00    2.85524E+00
    1.69520E-01    2.03420E-01    4.94303E-03    2.57044E-04    8.52696E+00    1.16636E+00    2.47813E-23    2.03217E+01    2.97379E+00    1.21930E+01    1.78428E+00
    2.03420E-01    2.37320E-01    3.97575E-03    3.72662E-04    8.68639E+00    1.22147E+00    2.47841E-23    2.57354E+01    4.34918E+00    1.54412E+01    2.60951E+00
    2.37320E-01    2.71230E-01    3.02049E-03    4.66680E-04    8.69126E+00    1.28086E+00    2.47002E-23    3.40086E+01    7.26150E+00    2.04052E+01    4.35690E+00
    2.71230E-01    3.05130E-01    3.35599E-03    3.08410E-04    8.61784E+00    1.34242E+00    2.45724E-23    3.05080E+01    5.51767E+00    1.83048E+01    3.31060E+00
    3.05130E-01    3.39030E-01    2.88938E-03    2.16144E-04    8.54443E+00    1.40396E+00    2.44446E-23    3.53166E+01    6.37607E+00    2.11899E+01    3.82564E+00
    3.39030E-01    3.72940E-01    1.67020E-03    5.64888E-04    8.47100E+00    1.46552E+00    2.43168E-23    6.08896E+01    2.31317E+01    3.65337E+01    1.38790E+01
    3.72940E-01    4.06840E-01    2.33259E-03    3.73059E-04    8.39758E+00    1.52708E+00    2.41891E-23    4.34491E+01    1.05221E+01    2.60694E+01    6.31328E+00
    4.06840E-01    4.40740E-01    1.27551E-03    3.05115E-04    8.32417E+00    1.58863E+00    2.40613E-23    7.91811E+01    2.42304E+01    4.75087E+01    1.45382E+01
    4.40740E-01    4.74650E-01    1.38103E-03    8.66861E-04    8.25075E+00    1.65018E+00    2.39335E-23    7.28731E+01    4.80078E+01    4.37239E+01    2.88047E+01
    4.74650E-01    5.08550E-01    1.38627E-03    3.94290E-04    8.17732E+00    1.71174E+00    2.38057E-23    7.23378E+01    2.55462E+01    4.34027E+01    1.53277E+01
    5.08550E-01    5.42450E-01    9.07211E-04    3.16158E-04    8.10391E+00    1.77329E+00    2.36779E-23    1.10135E+02    4.53203E+01    6.60811E+01    2.71922E+01
    5.42450E-01    5.76360E-01    1.01635E-03    5.33590E-04    8.03049E+00    1.83484E+00    2.35502E-23    9.79463E+01    5.60811E+01    5.87678E+01    3.36487E+01
    5.76360E-01    6.10260E-01    9.02392E-04    2.98500E-04    7.95707E+00    1.89640E+00    2.34224E-23    1.09903E+02    4.48078E+01    6.59419E+01    2.68847E+01
    6.10260E-01    6.44160E-01    9.98184E-04    1.30734E-04    7.88365E+00    1.95795E+00    2.32946E-23    9.89794E+01    2.77908E+01    5.93877E+01    1.66745E+01
    6.44160E-01    6.78070E-01    7.13870E-04    1.06346E-04    7.81023E+00    2.01950E+00    2.31668E-23    1.37867E+02    4.11417E+01    8.27205E+01    2.46850E+01
    6.78070E-01    7.11970E-01    8.81678E-04    4.30200E-04    7.73681E+00    2.08106E+00    2.30390E-23    1.11191E+02    6.19516E+01    6.67148E+01    3.71710E+01
    7.11970E-01    7.45870E-01    7.22245E-04    1.22293E-04    7.66340E+00    2.14261E+00    2.29113E-23    1.35198E+02    4.41916E+01    8.11189E+01    2.65150E+01
    7.45870E-01    7.79780E-01    2.67352E-04    1.56357E-04    7.58997E+00    2.20416E+00    2.27835E-23    3.63764E+02    2.37527E+02    2.18259E+02    1.42516E+02
    7.79780E-01    8.13680E-01    5.14243E-04    3.15588E-04    7.51655E+00    2.26572E+00    2.26557E-23    1.88346E+02    1.28777E+02    1.13008E+02    7.72662E+01
    8.13680E-01    8.47580E-01    4.56572E-04    7.48137E-05    7.44314E+00    2.32727E+00    2.25279E-23    2.11256E+02    7.45749E+01    1.26754E+02    4.47450E+01
    8.47580E-01    8.81490E-01    4.24108E-04    2.55757E-04    7.36972E+00    2.38882E+00    2.24002E-23    2.26468E+02    1.55049E+02    1.35881E+02    9.30295E+01
    8.81490E-01    9.15390E-01    3.33601E-04    1.39253E-04    7.29629E+00    2.45038E+00    2.22724E-23    2.86676E+02    1.53588E+02    1.72006E+02    9.21525E+01
    9.15390E-01    9.49290E-01    5.53677E-04    1.25812E-04    7.22288E+00    2.51193E+00    2.21446E-23    1.71977E+02    7.14439E+01    1.03186E+02    4.28663E+01
    9.49290E-01    9.83200E-01    2.21100E-04    6.57216E-05    7.14946E+00    2.57348E+00    2.20168E-23    4.28759E+02    2.00155E+02    2.57255E+02    1.20093E+02
