           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    2.17800E-02    9.82399E-02    1.34368E-03    4.09000E+00    2.90000E-01    1.86145E-23    6.52930E-01    4.71492E-02    3.91758E-01    2.82895E-02
    2.17800E-02    4.35700E-02    4.48572E-02    9.00011E-04    4.35496E+00    3.47678E-01    1.92207E-23    1.47457E+00    1.21383E-01    8.84745E-01    7.28301E-02
    4.35700E-02    6.53500E-02    2.53031E-02    1.07158E-03    4.89629E+00    4.65519E-01    1.98268E-23    2.84921E+00    2.96549E-01    1.70952E+00    1.77930E-01
    6.53500E-02    8.71400E-02    1.43069E-02    1.01535E-03    5.43762E+00    5.83360E-01    2.04330E-23    5.43020E+00    6.98495E-01    3.25812E+00    4.19097E-01
    8.71400E-02    1.08920E-01    1.03690E-02    6.91987E-04    5.62710E+00    6.36561E-01    2.07316E-23    7.64187E+00    1.00370E+00    4.58512E+00    6.02220E-01
    1.08920E-01    1.30710E-01    8.46613E-03    7.68252E-04    5.71380E+00    6.70880E-01    2.09403E-23    9.40894E+00    1.39622E+00    5.64537E+00    8.37734E-01
    1.30710E-01    1.52490E-01    6.03669E-03    9.32076E-04    5.80050E+00    7.05199E-01    2.11490E-23    1.32635E+01    2.60656E+00    7.95812E+00    1.56394E+00
    1.52490E-01    1.74280E-01    4.76699E-03    3.71244E-04    5.88720E+00    7.39518E-01    2.13578E-23    1.68808E+01    2.49493E+00    1.01285E+01    1.49696E+00
    1.74280E-01    1.96060E-01    3.46415E-03    8.64846E-04    5.97390E+00    7.73837E-01    2.15665E-23    2.33434E+01    6.56560E+00    1.40061E+01    3.93936E+00
    1.96060E-01    2.17840E-01    3.28145E-03    3.89670E-04    6.06058E+00    8.08148E-01    2.17752E-23    2.47611E+01    4.42124E+00    1.48566E+01    2.65274E+00
    2.17840E-01    2.39630E-01    2.44407E-03    2.50357E-04    6.14728E+00    8.42467E-01    2.19840E-23    3.34000E+01    5.71470E+00    2.00400E+01    3.42882E+00
    2.39630E-01    2.61410E-01    1.61543E-03    5.43488E-04    6.23398E+00    8.76786E-01    2.21927E-23    5.07634E+01    1.85109E+01    3.04580E+01    1.11065E+01
    2.61410E-01    2.83200E-01    1.93485E-03    4.90252E-04    6.32068E+00    9.11105E-01    2.24015E-23    4.25720E+01    1.24103E+01    2.55432E+01    7.44616E+00
    2.83200E-01    3.04980E-01    1.79133E-03    2.57445E-04    6.40738E+00    9.45423E-01    2.26102E-23    4.61832E+01    9.51266E+00    2.77099E+01    5.70759E+00
    3.04980E-01    3.26770E-01    6.84399E-04    2.80010E-04    6.49409E+00    9.79742E-01    2.28189E-23    1.21394E+02    5.29353E+01    7.28363E+01    3.17612E+01
    3.26770E-01    3.48550E-01    1.47487E-03    3.44432E-04    6.58079E+00    1.01406E+00    2.30277E-23    5.65662E+01    1.58267E+01    3.39397E+01    9.49604E+00
    3.48550E-01    3.70340E-01    9.94189E-04    2.07952E-04    6.66749E+00    1.04838E+00    2.32364E-23    8.42573E+01    2.20482E+01    5.05544E+01    1.32289E+01
    3.70340E-01    3.92120E-01    1.28021E-03    1.48354E-04    6.75419E+00    1.08270E+00    2.34452E-23    6.56934E+01    1.29942E+01    3.94161E+01    7.79651E+00
