           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    5.32000E-03    4.16881E-03    9.66346E-05    5.29282E+00    1.57390E-01    2.03406E-23    1.82220E+01    6.87042E-01    1.09332E+01    4.12225E-01
    5.32000E-03    1.06400E-02    4.15735E-03    1.21639E-04    5.32130E+00    1.60742E-01    2.03771E-23    1.83376E+01    7.71173E-01    1.10026E+01    4.62704E-01
    1.06400E-02    1.59600E-02    4.13606E-03    1.31642E-04    5.34979E+00    1.64093E-01    2.04136E-23    1.84975E+01    8.17632E-01    1.10985E+01    4.90579E-01
    1.59600E-02    2.12800E-02    4.10506E-03    1.35474E-04    5.37828E+00    1.67445E-01    2.04501E-23    1.87030E+01    8.48549E-01    1.12218E+01    5.09130E-01
    2.12800E-02    2.66000E-02    4.06488E-03    1.35250E-04    5.40677E+00    1.70797E-01    2.04867E-23    1.89541E+01    8.69611E-01    1.13724E+01    5.21767E-01
    2.66000E-02    3.19200E-02    4.01622E-03    1.38760E-04    5.43526E+00    1.74148E-01    2.05232E-23    1.92504E+01    9.07080E-01    1.15503E+01    5.44248E-01
    3.19200E-02    3.72300E-02    3.95993E-03    1.36501E-04    5.46372E+00    1.77497E-01    2.05597E-23    1.95915E+01    9.27980E-01    1.17549E+01    5.56788E-01
    3.72300E-02    4.25500E-02    3.89690E-03    1.34380E-04    5.49218E+00    1.80845E-01    2.05962E-23    1.99766E+01    9.52482E-01    1.19860E+01    5.71489E-01
    4.25500E-02    4.78700E-02    3.82807E-03    1.29740E-04    5.52067E+00    1.84197E-01    2.06327E-23    2.04051E+01    9.70448E-01    1.22431E+01    5.82269E-01
    4.78700E-02    5.31900E-02    3.75442E-03    1.27177E-04    5.54916E+00    1.87548E-01    2.06693E-23    2.08758E+01    9.98928E-01    1.25255E+01    5.99357E-01
    5.31900E-02    5.85100E-02    3.67688E-03    1.24114E-04    5.58581E+00    1.90000E-01    2.07671E-23    2.13557E+01    1.02339E+00    1.28134E+01    6.14031E-01
    5.85100E-02    6.38300E-02    3.59571E-03    1.20900E-04    5.64468E+00    1.90000E-01    2.10321E-23    2.17900E+01    1.03669E+00    1.30740E+01    6.22015E-01
    6.38300E-02    6.91500E-02    3.50014E-03    1.18367E-04    5.70356E+00    1.90000E-01    2.12970E-23    2.23370E+01    1.06033E+00    1.34022E+01    6.36199E-01
    6.91500E-02    7.44700E-02    3.40378E-03    1.13932E-04    5.76258E+00    1.90136E-01    2.15498E-23    2.29349E+01    1.07795E+00    1.37609E+01    6.46771E-01
    7.44700E-02    7.97900E-02    3.30732E-03    1.13368E-04    5.82499E+00    1.93420E-01    2.15195E-23    2.38929E+01    1.14026E+00    1.43358E+01    6.84158E-01
    7.97900E-02    8.51100E-02    3.23592E-03    1.12492E-04    5.88739E+00    1.96705E-01    2.14893E-23    2.47164E+01    1.19174E+00    1.48299E+01    7.15042E-01
    8.51100E-02    9.04300E-02    3.16432E-03    1.07450E-04    5.94980E+00    1.99990E-01    2.14591E-23    2.55796E+01    1.22218E+00    1.53478E+01    7.33309E-01
    9.04300E-02    9.57500E-02    3.09298E-03    1.06001E-04    5.92454E+00    2.03638E-01    2.14594E-23    2.60582E+01    1.26482E+00    1.56349E+01    7.58891E-01
    9.57500E-02    1.01070E-01    3.01262E-03    1.04646E-04    5.89899E+00    2.07287E-01    2.14597E-23    2.66374E+01    1.31616E+00    1.59825E+01    7.89696E-01
    1.01070E-01    1.06380E-01    2.93332E-03    1.04344E-04    5.88205E+00    2.11025E-01    2.14239E-23    2.73246E+01    1.38049E+00    1.63947E+01    8.28293E-01
    1.06380E-01    1.11700E-01    2.85818E-03    1.01995E-04    5.89005E+00    2.15026E-01    2.12831E-23    2.82669E+01    1.44305E+00    1.69602E+01    8.65829E-01
    1.11700E-01    1.17020E-01    2.78710E-03    9.84670E-05    5.89806E+00    2.19032E-01    2.11421E-23    2.92208E+01    1.49777E+00    1.75325E+01    8.98663E-01
    1.17020E-01    1.22340E-01    2.71795E-03    9.62664E-05    5.83317E+00    2.13925E-01    2.09862E-23    2.98547E+01    1.52214E+00    1.79128E+01    9.13284E-01
    1.22340E-01    1.27660E-01    2.64245E-03    9.54977E-05    5.74505E+00    2.05914E-01    2.08256E-23    3.04771E+01    1.55126E+00    1.82863E+01    9.30757E-01
    1.27660E-01    1.32980E-01    2.56913E-03    9.38870E-05    5.69783E+00    2.02098E-01    2.07523E-23    3.11990E+01    1.58887E+00    1.87194E+01    9.53321E-01
    1.32980E-01    1.38300E-01    2.50165E-03    8.95332E-05    5.76592E+00    2.10109E-01    2.09253E-23    3.21553E+01    1.64237E+00    1.92932E+01    9.85419E-01
    1.38300E-01    1.43620E-01    2.43965E-03    8.97862E-05    5.83402E+00    2.18120E-01    2.10984E-23    3.30883E+01    1.73589E+00    1.98530E+01    1.04153E+00
    1.43620E-01    1.48940E-01    2.38002E-03    8.91229E-05    5.75804E+00    2.13869E-01    2.08754E-23    3.38332E+01    1.78446E+00    2.02999E+01    1.07068E+00
