           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    2.90100E-02    2.17656E-02    4.00404E-04    5.52000E+00    5.60000E-01    1.94651E-23    3.80361E+00    3.92166E-01    2.28216E+00    2.35300E-01
    2.90100E-02    5.80200E-02    6.92283E-03    7.64181E-04    5.54851E+00    5.66075E-01    2.05618E-23    1.13793E+01    1.71044E+00    6.82757E+00    1.02626E+00
    5.80200E-02    8.70300E-02    4.07685E-03    4.27682E-04    6.10870E+00    6.85419E-01    2.16586E-23    2.01966E+01    3.10231E+00    1.21179E+01    1.86139E+00
    8.70300E-02    1.16040E-01    2.31671E-03    2.34750E-04    6.66889E+00    8.04763E-01    2.27553E-23    3.69302E+01    5.81928E+00    2.21581E+01    3.49157E+00
    1.16040E-01    1.45050E-01    2.05482E-03    2.36278E-04    7.22907E+00    9.24107E-01    2.38521E-23    4.30592E+01    7.40357E+00    2.58355E+01    4.44214E+00
    1.45050E-01    1.74060E-01    1.24064E-03    2.62127E-04    7.78926E+00    1.04345E+00    2.49488E-23    7.34656E+01    1.83791E+01    4.40794E+01    1.10274E+01
    1.74060E-01    2.03070E-01    1.40030E-03    3.66510E-04    7.69243E+00    1.05965E+00    2.46528E-23    6.50518E+01    1.92406E+01    3.90311E+01    1.15444E+01
    2.03070E-01    2.32080E-01    9.49552E-04    1.89605E-04    7.55745E+00    1.06987E+00    2.42760E-23    9.57113E+01    2.34272E+01    5.74268E+01    1.40563E+01
    2.32080E-01    2.61090E-01    7.41933E-04    2.04681E-04    7.42248E+00    1.08008E+00    2.38992E-23    1.22204E+02    3.81154E+01    7.33223E+01    2.28693E+01
    2.61090E-01    2.90100E-01    6.93444E-04    1.57952E-04    7.28750E+00    1.09030E+00    2.35223E-23    1.30428E+02    3.55442E+01    7.82567E+01    2.13265E+01
    2.90100E-01    3.19110E-01    5.34640E-04    1.36330E-04    7.15252E+00    1.10051E+00    2.31455E-23    1.68739E+02    5.02536E+01    1.01243E+02    3.01521E+01
    3.19110E-01    3.48120E-01    4.29160E-04    3.19908E-04    7.01755E+00    1.11073E+00    2.27686E-23    2.09659E+02    1.59770E+02    1.25795E+02    9.58618E+01
    3.48120E-01    3.77130E-01    4.99510E-04    2.48487E-04    6.88257E+00    1.12094E+00    2.23918E-23    1.79639E+02    9.40310E+01    1.07783E+02    5.64186E+01
    3.77130E-01    4.06140E-01    2.24891E-04    1.22137E-04    6.74759E+00    1.13116E+00    2.20150E-23    3.97871E+02    2.26141E+02    2.38723E+02    1.35685E+02
    4.06140E-01    4.35150E-01    4.24649E-04    5.01332E-04    6.61261E+00    1.14137E+00    2.16381E-23    2.10091E+02    2.50666E+02    1.26055E+02    1.50400E+02
    4.35150E-01    4.64160E-01    2.63662E-04    1.32485E-04    6.47764E+00    1.15158E+00    2.12613E-23    3.37337E+02    1.79801E+02    2.02402E+02    1.07881E+02
    4.64160E-01    4.93170E-01    1.98607E-04    1.35362E-04    6.34266E+00    1.16180E+00    2.08844E-23    4.46414E+02    3.15053E+02    2.67848E+02    1.89032E+02
