# Model: proj(wabs(mekal2t)) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; calcerror = yes
# Cluster           ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2   Norm2    Normlo2    Normhi2          z     Cr  chisq    dof
ABELL_0085            904   0.00   0.30  3.67  0.00  0.00  2.60  2.48  2.73  0.93  0.84  1.03   2.03e-03   1.95e-03   2.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.381   1.06   3332
ABELL_0085            904   0.30   0.53  3.67  0.00  0.00  3.42  3.18  3.70  0.93  0.84  1.03   2.36e-03   2.26e-03   2.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.358   1.06   3332
ABELL_0085            904   0.53   0.76  3.67  0.00  0.00  4.53  3.96  4.99  0.93  0.84  1.03   2.44e-03   2.33e-03   2.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.334   1.06   3332
ABELL_0085            904   0.76   1.01  3.67  0.00  0.00  4.70  4.30  5.77  0.52  0.44  0.64   3.02e-03   2.87e-03   3.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.341   1.06   3332
ABELL_0085            904   1.01   1.28  3.67  0.00  0.00  6.00  5.01  6.84  0.52  0.44  0.64   3.26e-03   3.10e-03   3.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.336   1.06   3332
ABELL_0085            904   1.28   1.57  3.67  0.00  0.00  4.21  3.66  4.65  0.52  0.44  0.64   2.90e-03   2.72e-03   3.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.326   1.06   3332
ABELL_0085            904   1.57   1.88  3.67  0.00  0.00  5.98  4.95  7.32  0.47  0.38  0.55   3.17e-03   3.01e-03   3.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.334   1.06   3332
ABELL_0085            904   1.88   2.20  3.67  0.00  0.00  5.33  4.44  6.68  0.47  0.38  0.55   3.29e-03   3.11e-03   3.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.329   1.06   3332
ABELL_0085            904   2.20   2.54  3.67  0.00  0.00  6.31  5.14  7.86  0.47  0.38  0.55   3.85e-03   3.67e-03   4.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.326   1.06   3332
ABELL_0085            904   2.54   2.92  3.67  0.00  0.00  5.10  4.14  6.87  0.47  0.38  0.55   3.28e-03   3.10e-03   3.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0549  0.326   1.06   3332
