# H0=50
#r	T_X
#kpc	keV
26.61	1.889
72.90	1.981
121.7	2.131
166.6	2.034
214.3	2.395
263.0	2.218
306.8	2.488
386.7	2.116
505.6	2.565

#r	K
#kpc	keV cm^2
23.75	73.76
70.40	125.8
118.3	191.5
164.0	228.2
212.6	342.2
257.7	380.8
306.4	521.0
382.3	575.3
500.4	1036

# x=[23.75,70.4,118,164,212,257,306,382,500]
# y=[73.76,125.8,191.5,228.2,342,380,521,575,1036]
# sy=0.1*k
# expr='P[0]+P[1]*(X/100.)^(P[2])'
# p0=[10.,100.,1.2]
# p=mpfitexpr(expr,x,y,sy,p0,perror=oerr)
# Iter      6   CHI-SQUARE =       5.2773752          DOF = 6
# P(0) =              62.6808
# P(1) =              93.0897
# P(2) =              1.37004
# print,p
# 62.6808      93.0897      1.37004
# print,oerr
# 9.97263      14.8271     0.127276
