#Name			  RAX	 DecX	z	sigma	r200	MDR	CF	CFref	LX	BCG Name		Mk	dr	W0HB	HBerr
#---			  deg	  deg	---	km/s	Mpc	M/yr	--	----	10^44	---			BCG	Mpc	Ang	Ang
2PIGG_J2227.0-3041	337.0	-30.6	0.0583	817	1.4	-1	UK	N/A	0.960	PKS-2225-308		-25.6	0.022	 2.94	0.15
ABELL_0085		 10.5	 -9.3	0.0557	736	1.3	108	Y	p/s	4.920	MCG--02-02-086		-26.0	0.046	 1.13	0.21
ABELL_0119		 14.1	 -1.2	0.0436	653	1.1	0	N	p	1.580	UGC-00579		-25.7	0.054	-0.11	0.06
ABELL_0133		 15.7	-21.9	0.0561	794	1.4	25	N	b/m	1.590	ESO-541--G-013		-25.6	0.017	-0.08	0.09
ABELL_0262		 28.2	 36.2	0.0155	432	0.7	2	Y	b/s	0.230	NGC-0708		-24.8	0.005	 1.76	0.06
ABELL_0376		 41.5	 36.9	0.0482	975	1.7	42	N	w	0.680	GIN-138			-24.4	0.408 	-0.04	0.06
ABELL_0407		 45.5	 35.8	0.0465	670	1.2	-1	UK	N/A	0.210	UGC-02489-NED02		-25.6	0.022 	-0.14	0.10
ABELL_0496		 68.4	-13.2	0.0321	577	1.0	70	Y	o/m	1.770	MCG--02-12-039		-25.5	0.031	 1.21	0.18
ABELL_0548		 87.2	-25.4	0.0386	794	1.4	10	N	w	0.370	ESO-488-IG-031		-24.3	0.356	 0.20	0.13
ABELL_0576		110.4	 55.8	0.0383	854	1.5	3	N	p/k	0.710	CGCG-261-056-NED01	-25.9	0.008 	-0.02	0.05
ABELL_0602		118.4	 29.4	0.0605	675	1.2	-1	UK	N/A	0.530	2MASX-J07532661+2921341	-24.2	0.032 	-0.45	0.12
ABELL_0754		137.3	 -9.7	0.0546	784	1.4	218	N	w/h	4.460	2MASX-J09083238-0937470	-25.7	0.328 	 0.06	0.10
ABELL_0757		138.4	 47.7	0.0514	381	0.7	-1	UK	N/A	0.460	2MASX-J09134460+4742169	-24.5	0.142 	-0.01	0.10
ABELL_0780		139.5	-12.1	0.0551	641	1.1	492	Y	w/m	3.470	Hydra-A			-25.1	0.015	 7.80	0.30
ABELL_1367		176.2	 19.8	0.0219	747	1.3	0	N	o/m	0.930	NGC-3842		-24.9	0.252 	-0.11	0.05
ABELL_1631		193.2	-15.4	0.0461	531	0.9	-1	UK	N/A	0.330	2MASX-J12523166-1512150	-24.4	0.358 	-0.06	0.07
ABELL_1656		194.9	 27.9	0.0230	898	1.6	85	N	w	3.980	NGC-4889		-25.6	0.169 	-0.03	0.03
ABELL_1668		195.9	 19.3	0.0641	476	0.8	-1	UK	N/A	0.880	IC-4130			-25.2	0.027	 2.39	0.09
ABELL_1736		201.7	-27.1	0.0465	664	1.2	79	N	w	1.250	IC-4252			-25.8	0.512 	-0.02	0.04
ABELL_1795		207.2	 26.6	0.0627	725	1.3	18	Y	b/m	6.330	CGCG-162-010		-25.7	0.016	 7.20	0.30
ABELL_1983		223.2	 16.7	0.0448	472	0.8	-1	UK	N/A	0.230	ABELL-1983-1:[CBW93]-C	-24.2	0.050	 0.14	0.09
ABELL_1991		223.6	 18.6	0.0589	454	0.8	37	Y	w/r	0.710	NGC-5778		-25.4	0.023	 0.61	0.10
ABELL_2052		229.2	  7.0	0.0352	531	0.9	81	Y	b/m	1.330	UGC-09799		-25.5	0.038	 1.64	0.09
ABELL_2063		230.8	  8.6	0.0344	764	1.3	99	Y	w/v	1.020	CGCG-077-097		-24.9	0.056	 0.10	0.08
ABELL_2107		234.9	 21.8	0.0415	527	0.9	57	N	w/f	0.570	UGC-09958		-25.5	0.014 	-0.18	0.06
ABELL_2147		240.6	 16.0	0.0370	711	1.2	119	N	w/s	1.660	UGC-10143		-24.9	0.082 	-0.02	0.07
ABELL_2151		241.2	 17.7	0.0352	746	1.3	173	Y	w	0.430	NGC-6041A		-25.1	0.051 	-0.11	0.07
ABELL_2199		247.2	 39.5	0.0293	647	1.1	2	Y	b/m	1.900	NGC-6166-NED01		-25.7	0.007	 2.17	0.11
ABELL_2399		329.3	 -7.8	0.0577	608	1.1	-1	UK	N/A	0.430	2MASX-J21572939-0747443	-24.5	0.218 	-0.05	0.06
ABELL_2572		349.3	 18.7	0.0386	138	0.2	-1	UK	N/A	0.280	NGC-7602		-24.5	0.105 	-0.04	0.05
ABELL_2589		351.0	 16.8	0.0411	583	1.0	0	X 	o/m	0.890	NGC-7647		-25.4	0.073 	-0.11	0.07
ABELL_2634		354.6	 27.0	0.0309	692	1.2	0	N	w	0.480	NGC-7720-NED01		-25.5	0.018	 0.19	0.08
ABELL_3128		 52.6	-52.5	0.0595	838	1.5	-1	UK	N/A	1.160	2MASX-J03295060-5234471	-25.5	0.217 	-0.30	0.13
ABELL_3158		 55.7	-53.6	0.0586	814	1.4	292	Y	w	2.820	ESO-156--G-008-NED01	-25.7	0.069 	-0.01	0.09
ABELL_3266		 67.9	-61.4	0.0588	946	1.6	145	N	w/m	3.900	ESO-118-IG-030-NED02	-26.2	0.128 	-0.05	0.15
ABELL_3341		 81.4	-31.6	0.0376	500	0.9	-1	UK	N/A	0.310	MCG--05-13-019		-24.9	0.009 	-0.01	0.07
ABELL_3376		 90.4	-40.0	0.0464	710	1.2	0	N	w	1.320	ESO-307--G-013		-25.3	0.470 	-0.03	0.06
ABELL_3389		 95.5	-65.0	0.0270	626	1.1	25	N	w	0.180	NGC-2235		-25.2	0.061	 0.13	0.07
ABELL_3391		 96.6	-53.7	0.0556	696	1.2	131	Y	w	1.370	ESO-161-IG-007-NED02	-26.4	0.055	 0.14	0.10
ABELL_3395		 96.8	-54.5	0.0491	640	1.1	-1	UK	N/A	1.610	ESO-161--G-008		-25.4	0.158 	-0.05	0.12
ABELL_3528A		193.7	-29.3	0.0535	698	1.2	-1	UK	N/A	1.100	2MASX-J12543999-2927327	-24.0	0.482 	-0.36	0.25
ABELL_3528B		193.6	-29.0	0.0547	500	0.9	-1	UK	N/A	0.690	ESO-443--G-004		-25.8	0.005 	-0.14	0.07
ABELL_3530		193.9	-30.4	0.0544	436	0.8	-1	UK	N/A	0.380	AM-1252-300-NED02	-25.0	0.018 	  N/A	 N/A
ABELL_3558		202.0	-31.5	0.0476	814	1.4	235	N	w/s	3.450	ESO-444--G-046		-26.2	0.019 	-0.06	0.12
ABELL_3560		203.1	-33.1	0.0487	548	0.9	-1	UK	N/A	0.730	2MASX-J13322574-3308100	-25.2	0.097 	-0.05	0.06
ABELL_3571		206.9	-32.9	0.0392	913	1.6	130	N	w/s	3.910	ESO-383--G-076		-26.0	0.022 	-0.07	0.14
