#Name                              Obsid       z         SB0         S01         +/-         rc1         +/-       beta1         +/-         S02         +/-         rc2         +/-       beta2         +/-     chisq  dof        prob
1E0657_56                 5356_3184_5361  0.2960    4.45E-05    1.01E-05    1.11E-06      84.903       8.931       1.000       0.000    3.89E-05    2.46E-07     430.234       1.104       1.000       0.000   1856.99   42    0.00E+00
2A_0335+096                          919  0.0347    1.14E-03    1.12E-03    9.58E-06      17.962       0.162       0.537       0.001    0.00E+00    0.00E+00       1.279       0.000       0.444       0.000    529.57   43    0.00E+00
2PIGG_J0011.5-2850                  5797  0.0753    5.90E-05    1.63E-05    3.37E-06      94.265      11.587       0.484       0.023    6.80E-05    6.64E-05       3.695       5.841       0.431       0.227    156.33   76    1.68E-07
2PIGG_J0311.8-2655                  5799  0.0618    5.07E-06    3.95E-06    1.82E-07      68.023       5.014       0.404       0.008    0.00E+00    0.00E+00       3.273       0.000       0.334       0.000    132.28   72    1.95E-05
2PIGG_J2227.0-3041                  5798  0.0729    2.55E-04    2.72E-04    1.14E-05      12.033       0.427       0.459       0.002    6.78E-21    0.00E+00      10.208       0.000       1.000       0.000    215.68   66    0.00E+00
3C_28.0                             3233  0.1952    2.41E-04    2.42E-04    0.00E+00      25.033       0.000       0.495       0.000    1.02E-06    0.00E+00       0.000       0.000       0.167       0.000    464.55   59    0.00E+00
3C_295                              2254  0.4641    2.98E-04    3.18E-04    2.02E-05      32.680       4.336       1.000       0.000    9.63E-05    3.27E-05      61.193       9.973       0.641       0.012     62.55   30    4.48E-04
3C_388                              5295  0.0917    2.21E-03    4.07E-05    3.05E-06      31.083       1.938       0.493       0.005    1.50E-01    8.92E-01       1.941       2.388       1.000       0.000    107.87   71    3.14E-03
4C_55.16                            4940  0.2420    5.47E-04    1.32E-04    1.34E-05      75.954       4.457       0.626       0.007    4.93E-04    1.42E-05      38.549       1.266       1.000       0.000    169.55   30    0.00E+00
ABELL_0013                          4945  0.0940    2.33E-05    8.85E-06    2.82E-07     291.499       3.760       1.000       0.000    1.26E-05    6.75E-07      79.482       4.617       1.000       0.000     68.66   49    3.33E-02
ABELL_0085                           904  0.0558    8.20E-04    5.37E-05    2.85E-05      70.815      19.625       0.500       0.088    8.08E-04    4.36E-05       8.320       0.944       0.430       0.043    307.07   53    0.00E+00
ABELL_0119                          4180  0.0442    1.10E-05    4.86E-06    7.68E-08     411.959       4.013       1.000       0.000    3.91E-06    9.26E-07      40.946       7.484       1.000       0.000    303.08  109    0.00E+00
ABELL_0133                          2203  0.0558    6.54E-04    3.94E-04    5.13E-03      19.313      32.705       0.935       2.426    3.17E-04    5.13E-03      16.938     184.166       0.424       0.039    100.99   25    4.28E-11
ABELL_0168                     3203_3204  0.0450    1.78E-06    1.50E-06    1.51E-08     371.245       1.997       1.000       0.000    0.00E+00    0.00E+00       2.748       0.000       0.349       0.000    584.16  144    0.00E+00
ABELL_0209                      3579_522  0.2060    5.09E-05    1.98E-05    3.27E-06     253.848      42.499       0.787       0.110    3.32E-05    5.57E-06      28.994      10.109       0.405       0.018     87.38   56    4.62E-03
ABELL_0262                          2215  0.0164    4.18E-04    3.07E-05    2.35E-04       9.375      56.578       0.279       0.198    4.43E-04    2.34E-04       3.735       0.805       0.465       0.246    132.32   29    3.77E-15
ABELL_0267                     3580_1448  0.2300    4.12E-05    4.93E-05    1.48E-06     115.158       3.540       0.611       0.007    5.15E-05    0.00E+00       0.000       0.000       0.607       0.000     54.46   51    3.44E-01
ABELL_0370                           515  0.3747    2.38E-05    2.04E-06    6.09E-05     105.391    1780.240       0.385       2.628    2.25E-05    6.20E-05     254.845     298.268       0.676       0.724     26.47   26    4.37E-01
ABELL_0383                          2321  0.1871    1.09E-03    2.16E-04    1.72E-05      77.615       4.381       0.646       0.010    1.05E-03    3.57E-05      29.482       1.040       1.000       0.000     69.52   30    5.62E-05
ABELL_0399                          3230  0.0716    2.18E-05    1.00E-05    1.96E-07     253.777       7.668       0.624       0.011    1.19E-05    1.76E-06      31.417      15.328       0.953       0.518    191.56   96    2.49E-08
ABELL_0401                      518_2309  0.0745    4.64E-05    3.55E-05    5.31E-07     179.880       3.280       0.650       0.006    1.50E-05    2.56E-06      36.063       5.779       1.000       0.000    190.32   93    1.15E-08
ABELL_0478                     1669_6102  0.0883    1.59E-03    1.32E-04    1.23E-06     210.857       0.695       1.000       0.000    1.18E-03    1.35E-05      28.532       0.506       0.677       0.008   3351.94   76    0.00E+00
