# Model: wabs(mekal2t) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                       ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
CENTAURUS        5310+4190+4191+4954+4955   0.00   0.17  8.06  0.00  0.00  1.55  1.53  1.59  0.82  0.77  0.92   7.67e-04   7.17e-04   8.03e-04  0.71  0.71  0.72   3.80e-04   3.45e-04   4.05e-04  0.0109  0.395   99.0   1.55    667
CENTAURUS        5310+4190+4191+4954+4955   0.17   0.25  8.06  0.00  0.00  1.75  1.72  1.80  1.33  1.22  1.52   5.30e-04   4.88e-04   5.60e-04  0.79  0.77  0.80   1.26e-04   1.13e-04   1.37e-04  0.0109  0.236   98.4   1.33    634
CENTAURUS        5310+4190+4191+4954+4955   0.25   0.32  8.06  0.00  0.00  1.86  1.82  1.90  1.61  1.46  1.76   5.91e-04   5.56e-04   6.31e-04  0.85  0.83  0.87   8.49e-05   7.69e-05   9.48e-05  0.0109  0.237   97.9   1.42    666
CENTAURUS        5310+4190+4191+4954+4955   0.32   0.39  8.06  0.00  0.00  1.96  1.93  2.01  1.76  1.67  2.01   6.30e-04   5.75e-04   6.55e-04  0.95  0.92  0.98   9.87e-05   8.21e-05   1.08e-04  0.0109  0.246   97.5   1.33    694
CENTAURUS        5310+4190+4191+4954+4955   0.39   0.47  8.06  0.00  0.00  2.07  2.03  2.12  1.90  1.79  2.08   6.34e-04   5.97e-04   6.67e-04  1.02  0.99  1.04   1.31e-04   1.15e-04   1.39e-04  0.0109  0.255   97.1   1.32    710
CENTAURUS        5310+4190+4191+4954+4955   0.47   0.52  8.06  0.00  0.00  2.29  2.23  2.36  1.78  1.64  1.95   3.86e-04   3.59e-04   4.15e-04  1.23  1.19  1.26   1.52e-04   1.24e-04   1.79e-04  0.0109  0.190   96.7   1.34    661
CENTAURUS        5310+4190+4191+4954+4955   0.52   0.59  8.06  0.00  0.00  2.42  2.36  2.49  1.94  1.79  2.08   5.80e-04   5.44e-04   6.15e-04  1.26  1.23  1.31   1.74e-04   1.48e-04   2.15e-04  0.0109  0.222   96.1   1.43    733
CENTAURUS        5310+4190+4191+4954+4955   0.59   0.66  8.06  0.00  0.00  2.55  2.47  2.62  1.83  1.75  2.01   5.48e-04   5.05e-04   6.05e-04  1.41  1.34  1.44   2.62e-04   1.96e-04   2.99e-04  0.0109  0.239   95.5   1.49    767
CENTAURUS        5310+4190+4191+4954+4955   0.66   0.74  8.06  0.00  0.00  2.74  2.67  2.83  1.95  1.84  2.09   5.13e-04   4.67e-04   5.60e-04  1.48  1.43  1.52   2.79e-04   2.31e-04   3.26e-04  0.0109  0.225   94.9   1.37    783
CENTAURUS        5310+4190+4191+4954+4955   0.74   0.81  8.06  0.00  0.00  2.97  2.82  3.16  1.79  1.69  1.91   4.46e-04   3.73e-04   5.23e-04  1.65  1.58  1.70   3.99e-04   3.20e-04   4.77e-04  0.0109  0.216   94.1   1.35    780
CENTAURUS        5310+4190+4191+4954+4955   0.81   0.89  8.06  0.00  0.00  3.06  2.96  3.26  1.82  1.70  1.92   4.22e-04   3.37e-04   4.78e-04  1.72  1.67  1.80   3.99e-04   3.44e-04   4.92e-04  0.0109  0.201   93.3   1.37    785
CENTAURUS        5310+4190+4191+4954+4955   0.89   0.96  8.06  0.00  0.00  3.07  2.99  3.19  1.85  1.80  1.95   4.50e-04   3.60e-04   5.11e-04  1.86  1.79  1.96   3.49e-04   2.91e-04   4.41e-04  0.0109  0.208   92.6   1.24    812
CENTAURUS        5310+4190+4191+4954+4955   0.96   1.03  8.06  0.00  0.00  3.26  3.14  3.60  1.85  1.75  1.97   3.45e-04   2.29e-04   4.24e-04  1.98  1.89  2.09   4.34e-04   3.54e-04   4.95e-04  0.0109  0.183   91.8   1.24    783
CENTAURUS        5310+4190+4191+4954+4955   1.03   1.13  8.06  0.00  0.00  3.13  3.03  3.30  1.84  1.74  1.93   5.58e-04   3.28e-04   6.75e-04  2.08  1.97  2.27   5.18e-04   4.05e-04   7.53e-04  0.0109  0.216   91.1   1.28    848
