#Cluster                                          Obsid   Tmode    Rmin    Rmax   Ann             t0         t0_err           t100       t100_err      Power-law       Plaw_err          Chisq           Prob
2A_0335+096                                         919    flat    0.00    0.12    37        0.17912        0.00343        7.05909        0.12825        1.83843        0.01903        7.94159    0.00000E+00
ABELL_0085                                          904    flat    0.00    0.20    39        0.23057        0.01031        7.31224        0.09267        1.31304        0.01660        1.89526    2.99513E-04
ABELL_0119                                         4180    flat    0.00    0.20    23       11.52060        5.61562       18.25583        7.35490        0.91596        0.56730        0.00546    1.00000E+00
ABELL_0133                                         2203    flat    0.00    0.10    20        0.39702        0.01245       10.65485        0.29005        1.81549        0.03483        5.18885    0.00000E+00
ABELL_0262                                    7921_2215    flat    0.00    0.05    30        0.28819        0.01644       20.56458        0.86384        1.41080        0.03693        1.51258    1.73439E-02
ABELL_0399                                         3230    flat    0.00    0.20    31        5.72564        0.63784       13.25891        0.85747        0.87409        0.09219        0.29107    9.99405E-01
ABELL_0400                                         4181    flat    0.00    0.18    73       10.64855        0.53693        8.68397        0.73399        1.31160        0.13429        0.03731    1.00000E+00
ABELL_0401                                     518_2309    flat    0.00    0.40    60        6.25222        0.28464        4.51622        0.44311        1.58484        0.09190        0.22443    1.00000E+00
ABELL_0478                                    1669_6102    flat    0.00    0.40    49        0.22288        0.01607        4.51961        0.08570        1.36325        0.02292        0.44736    9.98504E-01
ABELL_0496                                         3361    flat    0.00    0.08    26        0.21726        0.01578        9.82553        0.49787        1.42897        0.04801        0.59474    8.46389E-01
ABELL_0576                                         3289    flat    0.00    0.08    21        4.36922        1.06032       17.30548        3.00581        1.59315        0.47475        0.17426    9.99470E-01
ABELL_0754                                          577    flat    0.00    0.30    58        8.80390        1.43103        7.82566        1.70982        1.26577        0.19751        0.24483    1.00000E+00
ABELL_1644                                    7922_2206    flat    0.00    0.05    11        0.55502        0.04979       36.96158        5.40357        1.82372        0.11002        0.07612    9.87591E-01
ABELL_1650                                         4178    flat    0.00    0.12    15        0.86358        0.23150        7.71679        0.49483        1.02865        0.14057        0.15696    9.93178E-01
ABELL_1651                                         4185    flat    0.00    0.20    27        2.22464        0.27428        6.70935        0.48477        1.13578        0.13181        0.99951    2.93629E-01
ABELL_1736                                         4186    flat    0.00    0.10    15        9.91102        3.26349       16.08377        4.16899        1.14389        0.76666        0.00713    1.00000E+00
ABELL_1795                                     493_5289    flat    0.00    0.30    53        0.55025        0.02375        5.75408        0.10661        1.56495        0.02677        0.64744    9.48555E-01
ABELL_2029                                4977_6101_891    flat    0.00    0.40    58        0.18102        0.00781        5.74664        0.06172        1.30673        0.01380        2.54182    0.00000E+00
ABELL_2052                                     5807_890    flat    0.00    0.10    29        0.30688        0.02760       11.07398        0.19411        1.62203        0.03064       13.74135    0.00000E+00
ABELL_2063                                    4187_6263    flat    0.00    0.18    52        1.84178        0.10439       10.15929        0.21219        1.28465        0.04095        0.89040    5.72063E-01
ABELL_2065                                        31821    flat    0.00    0.20    29        1.13006        0.27951       12.22353        0.60749        1.10974        0.09967        0.47226    9.65941E-01
ABELL_2142                               5005_1228_1196    flat    0.00    0.30    75        1.88091        0.07081        5.51335        0.15511        1.37501        0.03937        0.19331    1.00000E+00
ABELL_2147                                         3211    flat    0.00    0.20    57        8.29408        1.04715       13.76281        1.44809        0.87116        0.14586        0.68594    9.28617E-01
ABELL_2163                                         1653    flat    0.00    0.60    42       10.16917        1.95507        3.16066        1.41754        1.86965        0.28891        0.02939    1.00000E+00
ABELL_2199                                          497    flat    0.00    0.02     7        0.27766        0.02480       17.96535        4.81863        1.49677        0.13831        1.98818    4.80151E-03
ABELL_2204                                     6104_499    flat    0.00    0.12     9        0.25533        0.01354        6.65267        0.41178        2.08234        0.08515        2.46501    2.00516E-03
ABELL_2244                                         4179    flat    0.00    0.30    34        1.64744        0.12898        6.17470        0.23262        1.30057        0.04691        0.86165    5.34018E-01
ABELL_2255                                          894    flat    0.00    0.30    40       28.84003        2.20941        2.33811        2.11848        1.75492        0.82244        0.02614    1.00000E+00
ABELL_2589                                         3210    flat    0.00    0.10    25        1.79454        1.39115        8.19070        1.49964        0.83893        0.44471        0.05414    1.00000E+00
ABELL_2597                                          922    flat    0.00    0.06     8        0.28294        0.03108        4.34816        0.67738        1.55985        0.17330        0.95413    9.20582E-02
