# Model: wabs(mekal+mekal/b) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
2PIGG_J0011.5-2850          5797   0.00   1.03  2.18  0.00  0.00  5.14  4.72  5.64  0.49  0.32  0.71   1.84e-03   1.73e-03   1.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.165   94.1   1.24    133
2PIGG_J0011.5-2850          5797   1.03   1.77  2.18  0.00  0.00  5.79  5.22  6.48  0.20  0.03  0.39   1.86e-03   1.77e-03   1.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.152   89.8   0.96    133
2PIGG_J0011.5-2850          5797   1.77   2.56  2.18  0.00  0.00  6.25  5.57  7.06  0.43  0.22  0.68   1.77e-03   1.67e-03   1.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.150   84.4   0.91    138
2PIGG_J0011.5-2850          5797   2.56   3.49  2.18  0.00  0.00  5.21  4.65  5.90  0.11  0.00  0.29   1.93e-03   1.83e-03   2.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.153   76.4   1.12    144
2PIGG_J0011.5-2850          5797   3.49   4.55  2.18  0.00  0.00  4.53  4.07  5.09  0.28  0.10  0.50   1.80e-03   1.68e-03   1.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.144   67.0   1.23    147
2PIGG_J0011.5-2850          5797   4.55   6.67  2.18  0.00  0.00  4.75  4.25  5.34  0.33  0.14  0.55   2.58e-03   2.42e-03   2.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.200   52.0   1.10    211
2PIGG_J0311.8-2655          5799   0.00   1.92  1.46  0.00  0.00  3.63  3.34  3.94  0.62  0.43  0.85   8.60e-04   7.96e-04   9.22e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.084   71.9   1.01    138
2PIGG_J0311.8-2655          5799   1.92   3.49  1.46  0.00  0.00  3.46  3.08  3.89  0.29  0.13  0.52   8.66e-04   7.89e-04   9.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.074   50.7   1.04    157
2PIGG_J0311.8-2655          5799   3.49   4.87  1.46  0.00  0.00  3.12  2.71  3.62  0.21  0.06  0.41   8.04e-04   7.31e-04   8.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.065   40.0   0.86    170
2PIGG_J0311.8-2655          5799   4.87   6.35  1.46  0.00  0.00  3.68  3.07  4.43  0.54  0.23  1.01   5.79e-04   5.05e-04   6.61e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0618  0.053   30.4   1.13    189
2PIGG_J2227.0-3041          5798   0.00   0.54  1.11  0.00  0.00  2.02  1.92  2.12  0.66  0.51  0.85   1.90e-03   1.73e-03   2.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.209   98.3   1.30    104
2PIGG_J2227.0-3041          5798   0.54   1.23  1.11  0.00  0.00  2.69  2.51  2.88  0.39  0.27  0.54   1.99e-03   1.84e-03   2.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.177   92.7   1.23    118
2PIGG_J2227.0-3041          5798   1.23   2.29  1.11  0.00  0.00  3.00  2.78  3.25  0.37  0.23  0.53   1.92e-03   1.79e-03   2.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.169   81.5   1.17    125
2PIGG_J2227.0-3041          5798   2.29   3.94  1.11  0.00  0.00  2.82  2.56  3.10  0.29  0.16  0.45   1.89e-03   1.74e-03   2.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.153   62.1   0.87    143
2PIGG_J2227.0-3041          5798   3.94   5.90  1.11  0.00  0.00  3.00  2.59  3.48  0.35  0.17  0.61   1.36e-03   1.21e-03   1.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.111   40.9   0.83    159
4C_55.16                    4940   0.00   0.10  4.00  0.00  0.00  2.91  2.76  3.06  0.78  0.61  0.97   4.60e-04   4.26e-04   4.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.053   98.8   1.02    112
4C_55.16                    4940   0.10   0.15  4.00  0.00  0.00  3.09  2.92  3.27  0.96  0.75  1.22   3.48e-04   3.18e-04   3.76e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.043   98.2   1.14    101
4C_55.16                    4940   0.15   0.20  4.00  0.00  0.00  3.86  3.60  4.14  0.87  0.65  1.13   3.02e-04   2.81e-04   3.26e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.035   97.2   1.02     97
4C_55.16                    4940   0.20   0.27  4.00  0.00  0.00  4.24  3.95  4.56  0.61  0.43  0.82   4.08e-04   3.84e-04   4.34e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.044   95.3   1.20    112
4C_55.16                    4940   0.27   0.37  4.00  0.00  0.00  4.50  4.22  4.81  0.89  0.68  1.11   4.21e-04   3.96e-04   4.45e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.047   92.5   0.93    119
4C_55.16                    4940   0.37   0.47  4.00  0.00  0.00  4.80  4.43  5.23  0.61  0.43  0.82   3.81e-04   3.59e-04   4.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.040   89.1   1.10    112
4C_55.16                    4940   0.47   0.57  4.00  0.00  0.00  4.67  4.26  5.13  0.53  0.34  0.75   3.23e-04   3.04e-04   3.45e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.033   84.1   0.95    102
4C_55.16                    4940   0.57   0.74  4.00  0.00  0.00  5.58  5.09  6.16  0.47  0.30  0.68   4.25e-04   4.01e-04   4.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.042   76.1   1.10    123
4C_55.16                    4940   0.74   0.96  4.00  0.00  0.00  5.68  5.07  6.41  0.22  0.06  0.40   4.12e-04   3.94e-04   4.35e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.039   64.7   0.97    121
4C_55.16                    4940   0.96   1.30  4.00  0.00  0.00  5.11  4.59  5.74  0.35  0.15  0.57   3.86e-04   3.65e-04   4.14e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.038   48.0   1.17    128
4C_55.16                    4940   1.30   1.89  4.00  0.00  0.00  5.58  4.84  6.52  0.23  0.03  0.45   3.84e-04   3.63e-04   4.10e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.036   27.2   1.09    148
4C_55.16                    4940   1.89   2.95  4.00  0.00  0.00  6.32  5.19  7.82  0.09  0.00  0.40   4.39e-04   4.06e-04   4.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.040   13.5   0.93    215
ABELL_0013                  4945   0.00   0.54  2.03  0.00  0.00  6.28  5.59  7.12  0.64  0.40  0.94   4.13e-04   3.89e-04   4.37e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.053   85.3   1.12    116
ABELL_0013                  4945   0.54   0.84  2.03  0.00  0.00  5.85  5.21  6.62  0.47  0.22  0.75   4.01e-04   3.77e-04   4.28e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.050   81.0   1.06    112
ABELL_0013                  4945   0.84   1.11  2.03  0.00  0.00  6.55  5.79  7.48  0.64  0.34  0.99   3.80e-04   3.55e-04   4.05e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.048   77.7   0.70    110
