# Model: wabs(mekal) for inner100 spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
2A_0335+096                  919  0.000  2.410 18.11  0.00  0.00  2.91  2.89  2.93  0.93  0.91  0.96   4.72e-02   4.68e-02   4.76e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  0.0000  0.0000  9.127   93.6   5.95    393
2PIGG_J0011.5-2850          5797  0.000  1.160  2.18  0.00  0.00  4.99  4.63  5.41  0.46  0.31  0.63   2.29e-03   2.19e-03   2.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.0000  0.0000  0.307   93.5   1.03    154
2PIGG_J2227.0-3041          5798  0.000  1.200  1.11  0.00  0.00  2.29  2.21  2.37  0.57  0.48  0.67   3.79e-03   3.59e-03   3.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.0000  0.0000  0.490   95.7   1.45    158
3C_28.0                     3233  0.000  0.520  5.71  0.00  0.00  3.21  3.09  3.35  0.53  0.43  0.63   1.86e-03   1.77e-03   1.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.0000  0.0000  0.191   98.2   1.22    172
3C_295                      2254  0.000  0.280  1.35  0.00  0.00  4.36  4.11  4.65  0.55  0.43  0.69   9.28e-04   8.91e-04   9.66e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.0000  0.0000  0.078   98.8   1.38    147
3C_388                      5295  0.000  0.980  6.11  0.00  0.00  3.34  3.16  3.54  0.98  0.77  1.22   1.24e-03   1.15e-03   1.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.0000  0.0000  0.173   94.1   0.98    134
4C_55.16                    4940  0.000  0.430  4.00  0.00  0.00  3.77  3.67  3.86  0.77  0.70  0.85   2.21e-03   2.15e-03   2.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.0000  0.0000  0.349   95.5   1.15    249
ABELL_0013                  4945  0.000  0.950  2.03  0.00  0.00  5.40  5.03  5.79  0.46  0.32  0.62   9.83e-04   9.48e-04   1.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0940  0.0000  0.0000  0.186   70.5   1.03    190
ABELL_0068                  3250  0.000  0.420  4.60  0.00  0.00 19.15 11.02 45.34  1.35  0.14  3.87   7.65e-04   6.33e-04   9.27e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.0000  0.0000  0.081   97.3   0.61     27
ABELL_0085                   904  0.000  1.530  3.65  0.00  0.00  4.50  4.43  4.57  0.64  0.60  0.68   2.10e-02   2.08e-02   2.12e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.0000  0.0000  3.000   98.8   1.31    408
ABELL_0119                  4180  0.000  1.910  3.30  0.00  0.00  5.90  5.30  6.62  1.02  0.66  1.44   1.94e-03   1.79e-03   2.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0442  0.0000  0.0000  0.310   86.5   1.13    115
ABELL_0133                  2203  0.000  1.530  1.56  0.00  0.00  3.13  3.07  3.19  0.90  0.84  0.95   7.92e-03   7.79e-03   8.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.0000  0.0000  2.040   91.1   1.62    314
ABELL_0141                  9410  0.000  0.450  1.67  0.00  0.00  6.06  4.89  7.96  0.67  0.17  1.29   3.41e-04   2.96e-04   3.88e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.0000  0.0000  0.038   91.3   1.04     25
ABELL_0160                  3219  0.000  1.890  4.38  0.00  0.00  2.60  2.41  2.80  0.40  0.28  0.56   6.37e-04   5.90e-04   6.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0447  0.0000  0.0000  0.082   69.3   0.97    144
ABELL_0193                  6931  0.000  1.750  4.57  0.00  0.00  4.45  4.24  4.69  0.48  0.37  0.59   4.21e-03   4.07e-03   4.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0485  0.0000  0.0000  0.801   72.0   1.07    215
ABELL_0222                  4967  0.000  0.480  2.30  0.00  0.00  4.66  4.00  5.59  0.39  0.11  0.72   3.18e-04   2.89e-04   3.50e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.0000  0.0000  0.030   90.6   1.29     43
ABELL_0223                 49671  0.000  0.490  2.20  0.00  0.00  5.37  4.69  6.22  0.37  0.13  0.64   4.36e-04   4.03e-04   4.68e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2070  0.0000  0.0000  0.045   92.8   1.14     61
ABELL_0368                  9412  0.000  0.470  1.75  0.00  0.00  5.64  5.07  6.34  0.65  0.41  0.92   1.81e-03   1.69e-03   1.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.0000  0.0000  0.209   97.4   1.40     85
ABELL_0370                   515  0.000  0.320  3.37  0.00  0.00  8.40  7.08 10.28  0.53  0.22  0.87   2.68e-04   2.51e-04   2.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.0000  0.0000  0.041   89.4   1.09     69
ABELL_0383                  2321  0.000  0.530  4.07  0.00  0.00  3.67  3.51  3.84  0.69  0.58  0.81   3.48e-03   3.35e-03   3.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.0000  0.0000  0.644   96.1   1.27    169
ABELL_0399                  3230  0.000  1.220 11.51  0.00  0.00  6.88  6.44  7.37  0.36  0.24  0.48   2.26e-03   2.20e-03   2.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.0000  0.0000  0.278   94.8   1.07    247
ABELL_0400                  4181  0.000  3.440  9.38  0.00  0.00  2.45  2.35  2.56  0.71  0.60  0.85   3.36e-03   3.16e-03   3.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0240  0.0000  0.0000  0.463   76.9   1.14    198
ABELL_0496                  3361  0.000  2.540  4.57  0.00  0.00  3.82  3.74  3.90  0.85  0.79  0.91   3.06e-02   3.01e-02   3.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  0.0000  0.0000  7.030   93.5   1.40    334
ABELL_0520                  4215  0.000  0.500  7.84  0.00  0.00  6.81  6.02  7.83  0.32  0.15  0.51   5.57e-04   5.34e-04   5.86e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.0000  0.0000  0.057   94.6   1.28    116
ABELL_0521                   430  0.000  0.420  6.17  0.00  0.00  5.17  4.41  6.19  0.62  0.25  1.08   3.64e-04   3.26e-04   4.05e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.0000  0.0000  0.058   87.0   0.86     43
ABELL_0562                  6936  0.000  0.830  5.48  0.00  0.00  3.70  3.32  4.11  0.57  0.34  0.84   3.61e-04   3.33e-04   3.94e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1100  0.0000  0.0000  0.064   42.7   1.05    112
ABELL_0576                  3289  0.000  2.180  5.57  0.00  0.00  4.06  3.93  4.19  0.61  0.53  0.68   5.69e-03   5.56e-03   5.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.0000  0.0000  1.132   68.3   1.04    293
