#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
1E0657_56                           3184          OA      0.2960     -0.4440     -0.5550     -0.0000     -0.0000
1E0657_56                           5356          OA      0.2960     -0.4440     -0.5550     -0.0000     -0.0000
1E0657_56                           5361          OA      0.2960     -0.4440     -0.5550     -0.0000     -0.0000
1RXS_J2129.4-0741                   3199          NF      0.5700      0.0025      0.0003      4.3233      0.4323
1RXS_J2129.4-0741                   3595          NF      0.5700      0.0025      0.0003      4.3233      0.4323
2A_0335+096                          919           F      0.0347      0.0367      0.0018      0.1313      0.0064
2PIGG_J0011.5-2850                  5797           F      0.0753      0.0110      0.0006      0.1967      0.0107
2PIGG_J0311.8-2655                  5799          NF      0.0618      0.0025      0.0003      0.0295      0.0030
2PIGG_J2227.0-3041                  5798           F      0.0729      0.2277      0.0068      3.8038      0.1136
3C_28.0                             3233           F      0.1952      1.3617      0.0454    191.7859      6.3943
3C_295                              2254           F      0.4641     22.7201      0.6816  23878.8233    716.3616
3C_388                              5295           F      0.0917      5.5968      0.1854    151.9395      5.0332
4C_55.16                            4940           F      0.2420      8.2831      0.2485   1895.1217     56.8553
ABELL_0013                          4945          NF      0.0940      0.0025      0.0003      0.0715      0.0072
ABELL_0068                          3250          NF      0.2546      0.0025      0.0003      0.6422      0.0642
ABELL_0085                           904           F      0.0558      0.0567      0.0025      0.5413      0.0239
ABELL_0119                          4180          NF      0.0442      0.0025      0.0003      0.0147      0.0015
ABELL_0133                          2203          NF      0.0558      0.0025      0.0003      0.0239      0.0024
ABELL_0168                          3203          NF      0.0450      0.0025      0.0003      0.0153      0.0015
ABELL_0168                          3204          NF      0.0450      0.0025      0.0003      0.0153      0.0015
ABELL_0209                          3579          NF      0.2060      0.0025      0.0003      0.3973      0.0397
ABELL_0209                           522          NF      0.2060      0.0025      0.0003      0.3973      0.0397
ABELL_0262                          2215           F      0.0164      0.0657      0.0023      0.0510      0.0018
ABELL_0267                          1448          NF      0.2300      0.0025      0.0003      0.5095      0.0510
ABELL_0267                          3580          NF      0.2300      0.0025      0.0003      0.5095      0.0510
ABELL_0370                           515          NF      0.3747      0.0025      0.0003      1.5775      0.1577
ABELL_0383                          2321           F      0.1871      0.0409      0.0013      5.2400      0.1666
ABELL_0399                          3230          NF      0.0716      0.0025      0.0003      0.0402      0.0040
ABELL_0401                          2309          NF      0.0745      0.0025      0.0003      0.0437      0.0044
ABELL_0401                           518          NF      0.0745      0.0025      0.0003      0.0437      0.0044
ABELL_0478                          1669           F      0.0883      0.0369      0.0015      0.9244      0.0376
ABELL_0478                          6102           F      0.0883      0.0369      0.0015      0.9244      0.0376
ABELL_0496                          3361           F      0.0328      0.1206      0.0043      0.3843      0.0137
ABELL_0514                          3578          NF      0.0720      0.0025      0.0003      0.0407      0.0041
ABELL_0520                          4215          NF      0.2020      0.0025      0.0003      0.3802      0.0380
ABELL_0521                           430          NF      0.2533      0.0025      0.0003      0.6348      0.0635
ABELL_0576                          3289          NF      0.0385      0.0025      0.0003      0.0111      0.0011
ABELL_0586                           530           F      0.1710      0.0055      0.0005      0.5769      0.0524
ABELL_0611                          3194          NF      0.2880      0.0025      0.0003      0.8527      0.0853
ABELL_0644                          2211          NF      0.0698      0.0025      0.0003      0.0381      0.0038
ABELL_0665                          3586          NF      0.1810      0.0025      0.0003      0.2975      0.0297
ABELL_0697                          4217          NF      0.2820      0.0025      0.0003      0.8122      0.0812
ABELL_0754                           577          NF      0.0543      0.0025      0.0003      0.0226      0.0023
ABELL_0773                          5006          NF      0.2170      0.0025      0.0003      0.4467      0.0447
ABELL_0907                          3185           F      0.1527      0.0686      0.0025      5.6057      0.2043
ABELL_0963                           903          NF      0.2056      0.0025      0.0003      0.3956      0.0396
ABELL_1060                          2220          NF      0.0125      0.0025      0.0003      0.0011      0.0001
ABELL_1063S                         4966          OA      0.3540     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_1068                          1652           F      0.1375      0.0231      0.0011      1.5005      0.0715
ABELL_1201                          4216          NF      0.1688      0.0025      0.0003      0.2548      0.0255
ABELL_1204                          2205          NF      0.1706      0.0025      0.0003      0.2609      0.0261
ABELL_1361                          2200           F      0.1171      0.8632      0.0259     39.5744      1.1874
ABELL_1413                          5003           F      0.1426      0.0035      0.0005      0.2462      0.0352
ABELL_1423                           538           F      0.2130      0.0333      0.0014      5.7055      0.2399
ABELL_1644                          2206           F      0.0471      0.0984      0.0030      0.6607      0.0201
ABELL_1650                          4178          NF      0.0843      0.0025      0.0003      0.0568      0.0057
ABELL_1651                          4185           F      0.0840      0.0060      0.0005      0.1352      0.0113
ABELL_1664                          1648           F      0.1276      0.0364      0.0012      2.0097      0.0663
ABELL_1689                          1663           F      0.1843      0.0103      0.0005      1.2760      0.0619
ABELL_1689                          5004          NF      0.1843      0.0025      0.0003      0.3097      0.0310
ABELL_1689                           540           F      0.1843      0.0103      0.0005      1.2760      0.0619
ABELL_1736                          4186          NF      0.0338      0.0025      0.0003      0.0085      0.0008
ABELL_1758                          2213          NF      0.2792      0.0025      0.0003      0.7937      0.0794
ABELL_1763                          3591          NF      0.1866      0.0025      0.0003      0.3184      0.0318
ABELL_1795                           493           F      0.0622      0.9245      0.0277     11.0700      0.3317
ABELL_1795                          5289           F      0.0625      0.9245      0.0277     11.1820      0.3350
ABELL_1835                           495           F      0.2532      0.0393      0.0016      9.9695      0.4059
ABELL_1914                          3593          NF      0.1712      0.0025      0.0003      0.2629      0.0263
ABELL_1942                          3290           F      0.2240      0.7433      0.0239    142.6926      4.5881
ABELL_1991                          3193           F      0.0565      0.0390      0.0012      0.3821      0.0118
ABELL_1995                           906          NF      0.3186      0.0025      0.0003      1.0779      0.1078
ABELL_2029                          4977           F      0.0765      0.5278      0.0182      9.7596      0.3365
ABELL_2029                          6101           F      0.0765      0.5278      0.0182      9.7596      0.3365
ABELL_2029                           891           F      0.0761      0.5278      0.0182      9.6523      0.3328
ABELL_2034                          2204          NF      0.1130      0.0025      0.0003      0.1061      0.0106
ABELL_2052                          5807           F      0.0353      5.4993      0.2091     20.3765      0.7748
ABELL_2052                           890           F      0.0353      5.4993      0.2091     20.3765      0.7748
ABELL_2063                          4187           F      0.0351      0.0146      0.0006      0.0535      0.0022
ABELL_2063                          6263           F      0.0351      0.0146      0.0006      0.0535      0.0022
ABELL_2065                         31821          NF      0.0730      0.0025      0.0003      0.0419      0.0042
ABELL_2069                          4965          NF      0.1160      0.0025      0.0003      0.1123      0.0112
ABELL_2104                           895          NF      0.1554      0.0025      0.0003      0.2123      0.0212
ABELL_2111                           544          NF      0.2300      0.0025      0.0003      0.5095      0.0510
ABELL_2124                          3238          NF      0.0658      0.0025      0.0003      0.0337      0.0034
ABELL_2125                          2207           F      0.2465      0.0411      0.0016      9.8067      0.3818
