#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   type  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
1E0657_56                3184    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.2960     na     na
1E0657_56                5356    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.2960     na     na
1E0657_56                5361    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.2960     na     na
2A_0335+096               919    03:38:40.62    +09:58:12.2   13.600   39.4   27.1  -43.6      36.70       1.80        F   0.0347     na     na
2PIGG_J0011.5-2850       5797    00:11:21.66    -28:51:16.2    1.860   29.5   23.3    0.0      11.00       0.60        F   0.0753     na     na
2PIGG_J0311.8-2655       5799    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0618     na     na
2PIGG_J2227.0-3041       5798    22:27:54.37    -30:34:31.2    4.440   17.4   14.1    0.0     227.70       6.80        F   0.0729     na     na
3C_28.0                  3233    00:55:50.38    +26:24:36.0    0.620   33.1   16.5  -31.9    1361.70      45.40        F   0.1952     na     na
3C_295                   2254    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4641     na     na
3C_388                   5295     18:44:2.44    +45:33:32.1    2.880   34.9   17.5   70.6    5596.80     185.40        F   0.0917     na     na
4C_55.16                 4940    08:34:54.91    +55:34:21.0    0.180   19.6   18.8    0.0    8283.10     248.50        F   0.2420     na     na
ABELL_0013               4945    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0940     na     na
ABELL_0085                904    00:41:50.38    -09:18:13.7    2.980   16.2   15.3    7.9      56.70       2.50        F   0.0558     na     na
ABELL_0119               4180    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0442     na     na
ABELL_0133               2203    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0558     na     na
ABELL_0168               3203    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0450     na     na
ABELL_0168               3204    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0450     na     na
ABELL_0209               3579    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2060     na     na
ABELL_0209                522    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2060     na     na
ABELL_0222               4967    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2130     na     na
ABELL_0223              49671    01:37:56.07     -12:49:9.3    2.020   25.1   17.7    0.0      19.80       0.80        F   0.2070     na     na
