# Name                             Obsid        type           z        flux         err     intrlum  intrlumerr    source
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s    ------
1E0657_56                           5356          NF      0.2960      0.0060      0.0003      8.3370      0.4168     SUMSS
1E0657_56                           3184          NF      0.2960      0.0060      0.0003      8.3370      0.4168     SUMSS
1E0657_56                           5361          NF      0.2960      0.0060      0.0003      8.3370      0.4168     SUMSS
ABELL_0168                          3203          NF      0.0450      0.0025      0.0003      0.1301      0.0130      NVSS
ABELL_0168                          3204          NF      0.0450      0.0025      0.0003      0.1301      0.0130      NVSS
ABELL_0209                          3579          NF      0.2060      0.0025      0.0003      3.3840      0.3384      NVSS
ABELL_0209                           522          NF      0.2060      0.0025      0.0003      3.3840      0.3384      NVSS
ABELL_0222                          4967          NF      0.2130      0.0025      0.0003      2.6620      0.2662      NVSS
ABELL_0223                         49671           F      0.2070      0.0198      0.0008     19.7695      0.7988      NVSS
ABELL_0267                          3580          NF      0.2300      0.0025      0.0003      4.3399      0.4340      NVSS
ABELL_0267                          1448          NF      0.2300      0.0025      0.0003      4.3399      0.4340      NVSS
ABELL_0401                           518          NF      0.0745      0.0025      0.0003      0.3723      0.0372      NVSS
ABELL_0401                          2309          NF      0.0745      0.0025      0.0003      0.3723      0.0372      NVSS
ABELL_0478                          1669           F      0.0883      0.0369      0.0015      7.8734      0.3201      NVSS
ABELL_0478                          6102           F      0.0883      0.0369      0.0015      7.8734      0.3201      NVSS
ABELL_1689                           540          NF      0.1843      0.0025      0.0003      2.6378      0.2638      NVSS
ABELL_1689                          1663          NF      0.1843      0.0025      0.0003      2.6378      0.2638      NVSS
ABELL_1689                          5004          NF      0.1843      0.0025      0.0003      2.6378      0.2638      NVSS
ABELL_1795                           493           F      0.0622      0.9245      0.0277     94.2854      2.8250      NVSS
ABELL_1795                          5289           F      0.0625      0.9245      0.0277     95.2389      2.8536      NVSS
ABELL_2029                          4977           F      0.0765      0.5278      0.0182     83.1245      2.8664      NVSS
ABELL_2029                          6101           F      0.0765      0.5278      0.0182     83.1245      2.8664      NVSS
ABELL_2029                           891           F      0.0761      0.5278      0.0182     82.2104      2.8348      NVSS
ABELL_2052                          5807           F      0.0353      5.4993      0.2091    173.5508      6.5989      NVSS
ABELL_2052                           890           F      0.0353      5.4993      0.2091    173.5508      6.5989      NVSS
ABELL_2063                          4187           F      0.0351      0.0146      0.0006      0.4554      0.0187      NVSS
ABELL_2063                          6263           F      0.0351      0.0146      0.0006      0.4554      0.0187      NVSS
ABELL_2142                          5005          NF      0.0898      0.0025      0.0003      0.5529      0.0553      NVSS
ABELL_2142                          1228          NF      0.0898      0.0025      0.0003      0.5529      0.0553      NVSS
ABELL_2142                          1196          NF      0.0898      0.0025      0.0003      0.5529      0.0553      NVSS
ABELL_2204                          6104           F      0.1524      0.0693      0.0025     48.0237      1.7325      NVSS
ABELL_2204                           499           F      0.1524      0.0693      0.0025     48.0237      1.7325      NVSS
ABELL_2256                          1386          NF      0.0579      0.0025      0.0003      0.2195      0.0220      NVSS
ABELL_3158                          3201          NF      0.0580      0.0060      0.0003      0.2374      0.0119     SUMSS
ABELL_3158                          3712          NF      0.0580      0.0060      0.0003      0.2374      0.0119     SUMSS
ABELL_3376                          3202          NF      0.0456      0.0025      0.0003      0.1337      0.0134      NVSS
ABELL_3376                          3450          NF      0.0456      0.0025      0.0003      0.1337      0.0134      NVSS
ABELL_3667                          5751          NF      0.0566      0.0060      0.0003      0.2256      0.0113     SUMSS
ABELL_3667                           889          NF      0.0566      0.0060      0.0003      0.2256      0.0113     SUMSS
ABELL_3667                          5752          NF      0.0566      0.0060      0.0003      0.2256      0.0113     SUMSS
ABELL_3667                          5753          NF      0.0566      0.0060      0.0003      0.2256      0.0113     SUMSS
CID_0072                            7321           F      0.0344      0.0164      0.0010      0.3581      0.0218      NVSS
