#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s
1E0657_56                           3184          OA      0.2960      0.0000     -0.0010     -0.0000     -0.0000
1E0657_56                           5356          OA      0.2960      0.0000     -0.0010     -0.0000     -0.0000
1E0657_56                           5361          OA      0.2960      0.0000     -0.0010     -0.0000     -0.0000
2A_0335+096                          919          OA      0.0347      0.0000     -0.0010     -0.0000     -0.0000
2PIGG_J0011.5-2850                  5797          OA      0.0753      0.0000     -0.0010     -0.0000     -0.0000
2PIGG_J0311.8-2655                  5799          OA      0.0618      0.0000     -0.0010     -0.0000     -0.0000
2PIGG_J2227.0-3041                  5798          OA      0.0729      0.0000     -0.0010     -0.0000     -0.0000
3C_28.0                             3233          OA      0.1952      0.0000     -0.0010     -0.0000     -0.0000
3C_295                              2254           F      0.4641     22.1711      0.0019 157490.0765     13.6527
3C_388                              5295          OA      0.0917      0.0000     -0.0010     -0.0000     -0.0000
4C_55.16                            4940           F      0.2420      8.2546      0.0008  12764.4943      1.2031
ABELL_0013                          4945          OA      0.0940      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0085                           904           F      0.0558      0.0019      0.0002      0.1226      0.0125
ABELL_0119                          4180          NF      0.0442      0.0007      0.0005      0.0279      0.0190
ABELL_0133                          2203          OA      0.0558      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0168                          3203          NF      0.0450      0.0007      0.0001      0.0289      0.0055
ABELL_0168                          3204          NF      0.0450      0.0007      0.0001      0.0289      0.0055
ABELL_0209                          3579          OA      0.2060      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0209                           522          OA      0.2060      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0222                          4967          OA      0.2130      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0223                         49671          OA      0.2070      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0262                          2215          OA      0.0164      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0267                          1448          NF      0.2300      0.0007      0.0001      0.9643      0.1970
ABELL_0267                          3580          NF      0.2300      0.0007      0.0001      0.9643      0.1970
ABELL_0370                           515          NF      0.3747      0.0007      0.0001      2.9852      0.6312
ABELL_0383                          2321          OA      0.1871      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0399                          3230          OA      0.0716      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0401                          2309          OA      0.0745      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0401                           518          OA      0.0745      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0478                          1669          OA      0.0883      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0478                          6102          OA      0.0883      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0496                          3361          OA      0.0328      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0514                          3578          OA      0.0720      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0520                          4215          OA      0.2020      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0576                          3289           F      0.0385      0.0016      0.0001      0.0491      0.0045
ABELL_0586                           530           F      0.1710      0.0059      0.0001      4.1898      0.1007
ABELL_0611                          3194          NF      0.2880      0.0007      0.0001      1.6137      0.3389
ABELL_0644                          2211          OA      0.0698      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0665                          3586          OA      0.1810      0.0000     -0.0010     -0.0000     -0.0000
